seed,benchmark,condition,accuracy,file_bytes
seed11,gsm8k,r1_b1,0.8332069749810462,403072
seed11,symbolic,r1_b1,0.772,403072
seed11,gsm8k,binary_norm_head_b16,0.8036391205458681,4758944
seed11,symbolic,binary_norm_head_b16,0.752,4758944
seed11,gsm8k,scale_head_0.01_b16,0.7862016679302501,4731868
seed11,symbolic,scale_head_0.01_b16,0.71,4731868
seed11,gsm8k,scale_head_0.03_b16,0.7983320697498104,4801119
seed11,symbolic,scale_head_0.03_b16,0.72,4801119
seed11,gsm8k,scale_head_0.1_b16,0.7998483699772555,4805053
seed11,symbolic,scale_head_0.1_b16,0.72,4805053
seed11,gsm8k,scale_head_0.3_b16,0.819560272934041,4777921
seed11,symbolic,scale_head_0.3_b16,0.758,4777921
seed11,gsm8k,scale_head_1_b16,0.38741470811220624,4753692
seed11,symbolic,scale_head_1_b16,0.286,4753692
seed11,gsm8k,binary_norm_full_b16,0.6497346474601972,74668796
seed11,symbolic,binary_norm_full_b16,0.514,74668796
seed11,gsm8k,scale_full_0.01_b16,0.7892342683851402,71504305
seed11,symbolic,scale_full_0.01_b16,0.71,71504305
seed11,gsm8k,scale_full_0.03_b16,0.7952994692949203,73737000
seed11,symbolic,scale_full_0.03_b16,0.71,73737000
seed11,gsm8k,scale_full_0.1_b16,0.8165276724791509,74530000
seed11,symbolic,scale_full_0.1_b16,0.726,74530000
seed11,gsm8k,scale_full_0.3_b16,0.7892342683851402,74660961
seed11,symbolic,scale_full_0.3_b16,0.746,74660961
seed11,gsm8k,scale_full_1_b16,0.23805913570887036,74675224
seed11,symbolic,scale_full_1_b16,0.162,74675224
seed22,gsm8k,r1_b1,0.8347232752084913,403072
seed22,symbolic,r1_b1,0.78,403072
seed22,gsm8k,binary_norm_head_b16,0.819560272934041,4758877
seed22,symbolic,binary_norm_head_b16,0.774,4758877
seed22,gsm8k,scale_head_0.01_b16,0.7854435178165277,4731821
seed22,symbolic,scale_head_0.01_b16,0.722,4731821
seed22,gsm8k,scale_head_0.03_b16,0.7922668688400303,4800866
seed22,symbolic,scale_head_0.03_b16,0.718,4800866
seed22,gsm8k,scale_head_0.1_b16,0.800606520090978,4804876
seed22,symbolic,scale_head_0.1_b16,0.726,4804876
seed22,gsm8k,scale_head_0.3_b16,0.8233510235026535,4777919
seed22,symbolic,scale_head_0.3_b16,0.764,4777919
seed22,gsm8k,scale_head_1_b16,0.5208491281273692,4754193
seed22,symbolic,scale_head_1_b16,0.426,4754193
seed22,gsm8k,binary_norm_full_b16,0.7217589082638363,74669769
seed22,symbolic,binary_norm_full_b16,0.606,74669769
seed22,gsm8k,scale_full_0.01_b16,0.7892342683851402,71518010
seed22,symbolic,scale_full_0.01_b16,0.714,71518010
seed22,gsm8k,scale_full_0.03_b16,0.7968157695223654,73751513
seed22,symbolic,scale_full_0.03_b16,0.712,73751513
seed22,gsm8k,scale_full_0.1_b16,0.819560272934041,74533980
seed22,symbolic,scale_full_0.1_b16,0.704,74533980
seed22,gsm8k,scale_full_0.3_b16,0.8104624715693708,74662253
seed22,symbolic,scale_full_0.3_b16,0.77,74662253
seed22,gsm8k,scale_full_1_b16,0.24791508718726307,74677434
seed22,symbolic,scale_full_1_b16,0.16,74677434
seed33,gsm8k,r1_b1,0.8294162244124337,403072
seed33,symbolic,r1_b1,0.776,403072
seed33,gsm8k,binary_norm_head_b16,0.8119787717968158,4758987
seed33,symbolic,binary_norm_head_b16,0.752,4758987
seed33,gsm8k,scale_head_0.01_b16,0.7892342683851402,4731933
seed33,symbolic,scale_head_0.01_b16,0.722,4731933
seed33,gsm8k,scale_head_0.03_b16,0.7952994692949203,4800894
seed33,symbolic,scale_head_0.03_b16,0.72,4800894
seed33,gsm8k,scale_head_0.1_b16,0.800606520090978,4804843
seed33,symbolic,scale_head_0.1_b16,0.732,4804843
seed33,gsm8k,scale_head_0.3_b16,0.824109173616376,4777858
seed33,symbolic,scale_head_0.3_b16,0.77,4777858
seed33,gsm8k,scale_head_1_b16,0.37604245640636846,4754052
seed33,symbolic,scale_head_1_b16,0.302,4754052
seed33,gsm8k,binary_norm_full_b16,0.775587566338135,74668395
seed33,symbolic,binary_norm_full_b16,0.69,74668395
seed33,gsm8k,scale_full_0.01_b16,0.7884761182714177,71506604
seed33,symbolic,scale_full_0.01_b16,0.712,71506604
seed33,gsm8k,scale_full_0.03_b16,0.7915087187263078,73745609
seed33,symbolic,scale_full_0.03_b16,0.738,73745609
seed33,gsm8k,scale_full_0.1_b16,0.819560272934041,74532070
seed33,symbolic,scale_full_0.1_b16,0.734,74532070
seed33,gsm8k,scale_full_0.3_b16,0.8165276724791509,74661132
seed33,symbolic,scale_full_0.3_b16,0.76,74661132
seed33,gsm8k,scale_full_1_b16,0.22820318423047764,74677580
seed33,symbolic,scale_full_1_b16,0.144,74677580
