seed,benchmark,condition,accuracy,base_accuracy,raw_accuracy,file_bytes
seed11,gsm8k,r1_b1,0.8332069749810462,0.775587566338135,0.2350265352539803,403072
seed11,symbolic,r1_b1,0.772,0.714,0.158,403072
seed11,gsm8k,r1_b16,0.38741470811220624,0.775587566338135,0.2350265352539803,4753692
seed11,symbolic,r1_b16,0.286,0.714,0.158,4753692
seed11,gsm8k,r16_b1,0.5451099317664898,0.775587566338135,0.2350265352539803,5149668
seed11,symbolic,r16_b1,0.43,0.714,0.158,5149668
seed11,gsm8k,r16_b16,0.23805913570887036,0.775587566338135,0.2350265352539803,74675224
seed11,symbolic,r16_b16,0.162,0.714,0.158,74675224
seed11,gsm8k,tail_r15_b16,0.27065959059893857,0.775587566338135,0.2350265352539803,69951911
seed11,symbolic,tail_r15_b16,0.188,0.714,0.158,69951911
seed11,gsm8k,random_r1_b16,0.800606520090978,0.775587566338135,0.2350265352539803,4753726
seed11,symbolic,random_r1_b16,0.716,0.714,0.158,4753726
seed11,gsm8k,norm_full_r16_b16,0.24260803639120546,0.775587566338135,0.2350265352539803,74674811
seed11,symbolic,norm_full_r16_b16,0.142,0.714,0.158,74674811
seed22,gsm8k,r1_b1,0.8347232752084913,0.775587566338135,0.2441243366186505,403072
seed22,symbolic,r1_b1,0.78,0.714,0.154,403072
seed22,gsm8k,r1_b16,0.5208491281273692,0.775587566338135,0.2441243366186505,4754193
seed22,symbolic,r1_b16,0.426,0.714,0.154,4754193
seed22,gsm8k,r16_b1,0.6595905989385898,0.775587566338135,0.2441243366186505,5149666
seed22,symbolic,r16_b1,0.562,0.714,0.154,5149666
seed22,gsm8k,r16_b16,0.24791508718726307,0.775587566338135,0.2441243366186505,74677434
seed22,symbolic,r16_b16,0.16,0.714,0.154,74677434
seed22,gsm8k,tail_r15_b16,0.265352539802881,0.775587566338135,0.2441243366186505,69955690
seed22,symbolic,tail_r15_b16,0.204,0.714,0.154,69955690
seed22,gsm8k,random_r1_b16,0.7907505686125853,0.775587566338135,0.2441243366186505,4752675
seed22,symbolic,random_r1_b16,0.722,0.714,0.154,4752675
seed22,gsm8k,norm_full_r16_b16,0.24715693707354056,0.775587566338135,0.2441243366186505,74677192
seed22,symbolic,norm_full_r16_b16,0.134,0.714,0.154,74677192
seed33,gsm8k,r1_b1,0.8294162244124337,0.775587566338135,0.23199393479909022,403072
seed33,symbolic,r1_b1,0.776,0.714,0.148,403072
seed33,gsm8k,r1_b16,0.37604245640636846,0.775587566338135,0.23199393479909022,4754052
seed33,symbolic,r1_b16,0.302,0.714,0.148,4754052
seed33,gsm8k,r16_b1,0.7467778620166793,0.775587566338135,0.23199393479909022,5149668
seed33,symbolic,r16_b1,0.658,0.714,0.148,5149668
seed33,gsm8k,r16_b16,0.22820318423047764,0.775587566338135,0.23199393479909022,74677580
seed33,symbolic,r16_b16,0.144,0.714,0.148,74677580
seed33,gsm8k,tail_r15_b16,0.38968915845337376,0.775587566338135,0.23199393479909022,69954559
seed33,symbolic,tail_r15_b16,0.364,0.714,0.148,69954559
seed33,gsm8k,random_r1_b16,0.8112206216830933,0.775587566338135,0.23199393479909022,4753396
seed33,symbolic,random_r1_b16,0.726,0.714,0.148,4753396
seed33,gsm8k,norm_full_r16_b16,0.22820318423047764,0.775587566338135,0.23199393479909022,74675305
seed33,symbolic,norm_full_r16_b16,0.138,0.714,0.148,74675305
