arm,unique_rows,seed,heldout_bits_saved_per_token,file_mbit,effective_bits_per_value
arm_e,2000,22,0.05294,3.5373,0.08434
arm_e,2000,11,0.06569,3.5373,0.08434
arm_e,2000,33,0.0668,3.5373,0.08434
arm_e,2000,22,0.13069,6.1702,0.14711
arm_e,2000,33,0.13883,6.1702,0.14711
arm_e,2000,11,0.1393,6.1702,0.14711
arm_e,2000,22,0.19429,8.8,0.20981
arm_e,2000,33,0.21071,8.7999,0.20981
arm_e,2000,11,0.21734,8.7999,0.20981
arm_e,2000,22,0.26174,11.4313,0.27254
arm_e,2000,33,0.27435,11.431,0.27254
arm_e,2000,11,0.2823,11.4306,0.27253
arm_e,2000,22,0.35406,16.6959,0.39806
arm_e,2000,11,0.38188,16.6952,0.39804
arm_e,2000,33,0.38395,16.6952,0.39805
arm_e,2000,22,0.42259,21.9556,0.52346
arm_e,2000,33,0.43983,21.9544,0.52343
arm_e,2000,11,0.45305,21.9538,0.52342
arm_e,2000,22,0.46991,27.215,0.64886
arm_e,2000,33,0.48349,27.212,0.64878
arm_e,2000,11,0.49275,27.2123,0.64879
arm_e,2000,22,0.49623,32.4728,0.77421
arm_e,2000,33,0.50644,32.4693,0.77413
arm_e,2000,11,0.51376,32.4694,0.77413
arm_e,2000,22,0.51667,37.7313,0.89958
arm_e,2000,33,0.52344,37.7265,0.89947
arm_e,2000,22,0.5304,42.8854,1.02247
arm_e,2000,11,0.53057,37.7272,0.89949
arm_e,2000,33,0.53472,42.8808,1.02236
arm_e,2000,11,0.53959,42.8809,1.02236
arm_e,2000,22,0.54243,53.3368,1.27165
arm_e,2000,33,0.54349,53.333,1.27156
arm_e,2000,33,0.54612,83.4445,1.98947
arm_e,2000,22,0.54784,63.4267,1.51221
arm_e,2000,11,0.54799,53.3345,1.27159
arm_e,2000,33,0.54883,73.5032,1.75245
arm_e,2000,22,0.54903,83.4871,1.99049
arm_e,2000,33,0.5495,63.4309,1.51231
arm_e,2000,22,0.55138,73.5142,1.75271
arm_e,2000,11,0.55177,83.4618,1.98989
arm_e,2000,11,0.55346,63.4318,1.51233
arm_e,2000,11,0.55443,73.5116,1.75265
arm_a,4000,22,0.0514,3.5373,0.08434
arm_a,4000,11,0.06563,3.5373,0.08434
arm_a,4000,33,0.06655,3.5373,0.08434
arm_a,4000,22,0.1218,6.1702,0.14711
arm_a,4000,33,0.13422,6.1702,0.14711
arm_a,4000,11,0.13945,6.1702,0.14711
arm_a,4000,22,0.19504,8.8,0.20981
arm_a,4000,33,0.20869,8.8,0.20981
arm_a,4000,11,0.21441,8.8,0.20981
arm_a,4000,22,0.26152,11.4313,0.27254
arm_a,4000,33,0.26624,11.431,0.27254
arm_a,4000,11,0.27604,11.4313,0.27254
arm_a,4000,22,0.35499,16.6956,0.39805
arm_a,4000,33,0.36801,16.6953,0.39805
arm_a,4000,11,0.37422,16.6961,0.39807
arm_a,4000,22,0.42635,21.9559,0.52347
arm_a,4000,33,0.44018,21.9551,0.52345
arm_a,4000,11,0.44906,21.9555,0.52346
arm_a,4000,22,0.47081,27.2145,0.64884
arm_a,4000,33,0.48062,27.2123,0.64879
arm_a,4000,11,0.49014,27.2145,0.64884
arm_a,4000,22,0.49942,32.4723,0.7742
arm_a,4000,33,0.5097,32.4698,0.77414
arm_a,4000,11,0.51709,32.4726,0.77421
arm_a,4000,22,0.52259,37.7298,0.89955
