candidate,within_model_spearman,measure_cv,cv_ratio_to_r_star,dataset_variance_share,receiver_variance_share,interaction_variance_share,partial_within_model_spearman,cross_receiver_spearman,cross_receiver_sign_agreement,cross_receiver_p
correction_channel_bits,0.7438266606665875,0.09033474227934235,0.26689364070972366,0.6556981011858423,0.24373684840271315,0.18403405477919466,0.22607608329439685,0.4020635293498472,0.6363636363636364,0.015399230038498074
text_cross_row_redundancy,-0.7412116265155255,0.39097565658495,1.1551360393784436,0.9999998719736721,0.021673913318987468,0.02168150769779396,-0.5871308477520816,0.4180728280800888,0.09090909090909091,0.051347432628368585
train_response_tokens,0.7357037136388493,0.8651583075824166,2.556106816432876,0.9914770694807602,0.003401752754043166,0.011351636916993929,0.5696279026203139,-0.47844626800619816,0.23636363636363636,0.009149542522873857
centered_angular_correction_rd90_bits,0.7035956744113974,0.5263349757437238,1.5550546153628682,0.624042639297922,0.2341893128571331,0.10182272335771728,0.13654088448443474,-0.17493100527747055,0.41818181818181815,0.287885605719714
centered_angular_correction_logdet,0.6979049654632242,0.3213821143857985,0.9495221927148788,0.7031067603556187,0.19003049610120604,0.06606311699730762,0.16279064831469772,-0.21540792586343088,0.41818181818181815,0.1951902404879756
fisher_logdet,0.6926012921410064,0.5250852530348064,1.5513623145354725,0.5486496754646867,0.21963211072242292,0.15951485568320087,0.41824676868364685,-0.3399411966858331,0.32727272727272727,0.06834658267086646
dataset_fisher_log_volume,0.684157471023106,0.22865535192176695,0.6755613377791083,0.7920609211297788,0.1106987748918526,0.062153909068567555,0.48625435467236894,-0.35920561343530094,0.3090909090909091,0.03584820758962052
angular_correction_channel_bits,0.6631685852276965,0.0867011671696956,0.25615825734186054,0.6877308651674977,0.23802665771134637,0.14942314279157554,0.3125275852279836,0.39059146094847874,0.6545454545454545,0.015149242537873106
centered_correction_rd90_bits,0.6626629008038516,0.5379598029103763,1.5894001214975402,0.627841045566787,0.24583424528080733,0.10386954206994475,0.2724575827427309,-0.10025433360818534,0.4727272727272727,0.5565221738913054
angular_correction_logdet,0.6577349754876484,0.3586895581686636,1.0597468886130725,0.7705228067934936,0.1124044513487236,0.1099441392835236,0.21728669385336824,0.17846642258355264,0.6,0.3055847207639618
correction_rd90_bits,0.6504021022930256,0.5969145869600113,1.763581799058609,0.6728870893506312,0.17961692005655022,0.13971901148129845,0.34987493568565015,0.18164108302166718,0.6,0.2975351232438378
correction_energy_rank90,0.6444939885898023,0.6088073332363252,1.798718871148848,0.6405843075027049,0.20155285079536714,0.14838813272293935,0.3289987587633417,0.1523668654921153,0.5272727272727272,0.38108094595270237
angular_correction_rd90_bits,0.6403554871730656,0.5879816517417684,1.737189477096274,0.6714681420082188,0.172843800789613,0.13134256170945235,0.2346102811384827,0.12933133716637077,0.5818181818181818,0.4498275086245688
angular_correction_energy_rank90,0.6385883229323228,0.6032080613391863,1.7821758443549054,0.6348916291697702,0.19593087810087292,0.14128888792387043,0.14923350048407738,0.12932092386493496,0.5818181818181818,0.44682765861706913
prequential_correction_bits_per_row,-0.6380324628760202,2.2038803937124753,6.51135595370167,0.8830295996844355,0.05099281138760746,0.10992722936828836,-0.29098626749670004,-0.3688738974968316,0.3090909090909091,0.023998800059997
trace_normalized_correction_logdet,0.6374692280318422,0.3555357166143349,1.0504288761472431,0.7742948877532317,0.11144517633353258,0.11808934208170808,0.31841726086089517,0.23207489316353228,0.6545454545454545,0.192090395480226
correction_intrinsic_dimension,0.622989075037222,0.6653213781571095,1.9656893945549927,0.6922419258549767,0.10931552922328716,0.19043109428678673,0.4127442236817517,-0.007539818540522061,0.38181818181818183,0.9643517824108795
within_between_energy_ratio,0.6155147112675677,0.312678962246804,0.9238087639562733,0.9510147433880923,0.006235849522613567,0.05001933105478601,-0.022500441284289116,0.2005447429031674,0.4727272727272727,0.22743862806859658
dataset_centered_correction_log_volume,0.5976408925150734,0.42663150990314064,1.260481117745706,0.8248575321199361,0.12157646385848424,0.036412489043353535,0.09953813269710404,-0.23820775991898083,0.41818181818181815,0.1478926053697315
