spectrum,gamma,within_model_mean_spearman,pooled_arm_spearman,task_heldout_rmse,model_heldout_rmse
raw,0.002,0.5255,0.7525,0.1619,0.1951
raw,0.003,0.4911,0.7491,0.1545,0.1682
raw,0.005,0.6042,0.7727,0.1478,0.1526
raw,0.007,0.6145,0.77,0.1449,0.1484
raw,0.01,0.6381,0.7814,0.1431,0.1465
raw,0.015,0.6872,0.7827,0.1422,0.1458
raw,0.02,0.6806,0.7755,0.1422,0.1458
raw,0.03,0.5562,0.7509,0.1431,0.1461
raw,0.05,0.5596,0.7894,0.1451,0.1469
raw,0.07,0.5261,0.7722,0.1469,0.1477
raw,0.1,0.5274,0.7787,0.1491,0.1486
raw,0.2,0.4467,0.7598,0.1535,0.151
raw,0.5,0.4035,0.7554,0.159,0.1546
raw,1.0,0.3985,0.7455,0.1623,0.1572
raw,3.0,0.3981,0.7423,0.166,0.1606
raw,10.0,0.4066,0.7462,0.1709,0.1641
centered,0.002,0.6147,0.7123,0.1968,0.3155
centered,0.003,0.6901,0.7442,0.1992,0.2812
centered,0.005,0.6947,0.7814,0.2372,0.2514
centered,0.007,0.7467,0.799,0.27,0.237
centered,0.01,0.76,0.814,0.2987,0.2244
centered,0.015,0.7621,0.818,0.3178,0.2126
centered,0.02,0.7768,0.8229,0.3222,0.2056
centered,0.03,0.7019,0.7993,0.3172,0.1974
centered,0.05,0.6126,0.7802,0.2965,0.1893
centered,0.07,0.5609,0.757,0.2778,0.185
centered,0.1,0.5562,0.7445,0.2571,0.1813
centered,0.2,0.4833,0.726,0.2238,0.1762
centered,0.5,0.4841,0.7182,0.2014,0.1727
centered,1.0,0.4804,0.7133,0.1958,0.1719
centered,3.0,0.4787,0.7108,0.1963,0.1724
centered,10.0,0.4829,0.7127,0.2082,0.1748
angular,0.002,0.4382,0.7743,0.1616,0.2149
angular,0.003,0.4866,0.786,0.1564,0.1821
angular,0.005,0.4881,0.7809,0.1497,0.1563
angular,0.007,0.5197,0.7894,0.146,0.1465
angular,0.01,0.5458,0.782,0.1429,0.1404
angular,0.015,0.5522,0.7903,0.1409,0.1373
angular,0.02,0.5407,0.7694,0.1405,0.1366
angular,0.03,0.4486,0.7709,0.1415,0.1373
angular,0.05,0.4111,0.7772,0.1449,0.1397
angular,0.07,0.4218,0.7817,0.148,0.1418
angular,0.1,0.4211,0.7677,0.1516,0.1443
angular,0.2,0.4027,0.7523,0.1588,0.1492
angular,0.5,0.4568,0.7582,0.1668,0.1542
angular,1.0,0.4548,0.7546,0.1709,0.1569
angular,3.0,0.4942,0.7449,0.1738,0.1599
angular,10.0,0.4975,0.7457,0.1754,0.1634
centered_angular,0.002,0.5559,0.6318,0.219,0.3754
centered_angular,0.003,0.5377,0.6676,0.1954,0.3268
centered_angular,0.005,0.5475,0.7161,0.189,0.2561
centered_angular,0.007,0.5773,0.7281,0.2077,0.2231
centered_angular,0.01,0.6173,0.7464,0.2432,0.2017
centered_angular,0.015,0.6157,0.7548,0.2798,0.1889
centered_angular,0.02,0.616,0.7636,0.2909,0.184
centered_angular,0.03,0.6336,0.748,0.2829,0.1801
centered_angular,0.05,0.5827,0.7228,0.2522,0.1771
centered_angular,0.07,0.5506,0.6996,0.2321,0.1756
centered_angular,0.1,0.5488,0.6911,0.2164,0.1742
centered_angular,0.2,0.5296,0.688,0.2022,0.1721
centered_angular,0.5,0.5304,0.6866,0.199,0.1704
centered_angular,1.0,0.5287,0.6858,0.1987,0.1699
centered_angular,3.0,0.5308,0.6924,0.1971,0.1707
centered_angular,10.0,0.522,0.6974,0.1989,0.1738
model fixed effects only,,,,0.2645,0.3059
