run_id,study,model_key,dataset_key,seed,adapter_rank,training_epochs,label_span,available_rows,distinct_rows,measured_rows,row_sampling,row_sample_seed,r_star_bits_per_value,r_star_bracketed,reference_bits_saved_per_token,train_response_tokens,base_codelength_bits_per_token,fisher_effective_rank,fisher_logdet,fisher_trace,hidden_effective_rank,margin_deficit_bits,residual_effective_rank,surprisal_variance_bits2,surprise_weighted_hidden_logdet,unit_gain_ntk_cost,angular_correction_channel_bits,angular_correction_energy_rank90,angular_correction_logdet,angular_correction_rd90_bits,centered_angular_correction_logdet,centered_angular_correction_rd90_bits,centered_correction_rd90_bits,correction_channel_bits,correction_energy_rank90,correction_rd90_bits,dataset_centered_correction_log_volume,dataset_correction_log_volume,dataset_fisher_log_volume,dataset_raw_correction_log_volume,trace_normalized_correction_logdet,coherent_correction_energy,coherent_energy_over_entropy,correction_information_bits,coherent_fraction,correction_coverage_fraction,correction_intrinsic_dimension,correction_predictable_fraction,nearest_neighbour_cosine,prequential_correction_bits_per_row,prequential_decay_exponent,prequential_late_fraction,text_cross_row_redundancy,base_head_error_alignment,base_head_hidden_alignment,total_correction_channel_bits,within_between_energy_ratio,within_example_channel_bits,lora_correction_channel_bits,lora_correction_effective_rank,lora_layer_energy_centroid,lora_layer_energy_entropy
arm-a__mistral-7b-base__all-linear-r16__s11__ae34ad6906,arm_a,mistral_7b_base,arm_a,11,16,8,all,4000,3996,256,uniform,271828,0.7575920874805279,True,0.5705724113543508,48997.0,0.9788571505341679,74.59008392125057,317.5543988820939,1281.7953232053449,28.04642500309471,0.6903630204615183,24.803302145092196,0.17045763799970406,0.8152967396940793,0.15248038865587715,1.7613331400387506,136,125.48411752586969,281.56348168548317,139.09720768398262,311.2453298491721,293.19779652580195,1.7451832892483663,127,264.2812408668066,585.5145732090398,550.7669377101271,2311.044354298022,532.081701644344,120.5533343666502,209.29507894743514,167.91163509603552,86.96084882669766,0.16621803998594717,0.08650610989941605,34.64725154728081,0.002671626990384368,0.45540523637889,-0.5040442464200181,0.11377071471320761,-0.021837872887499398,0.43183547987523696,0.0006206898798328221,0.13722079484489724,12.760466006862762,30.318062458218826,12.76463603754986,1.7126992763095026,52.637042650439085,0.284839842930671,0.8826397260058152
arm-a__mistral-7b-base__all-linear-r16__s22__482260f791,arm_a,mistral_7b_base,arm_a,22,16,8,all,4000,4000,256,uniform,271828,0.8292686032591805,True,0.5662230420345438,48183.0,1.0127002719091251,77.35466701781424,323.9699688620658,1300.1210139469729,27.821518347968556,0.7117526296060532,24.48551428195642,0.122827056541493,0.8155969108478068,0.1428535116596228,1.7595928093841215,138,125.41685821502668,283.5304900749495,139.61025894143418,314.2410633971861,300.32625014736425,1.7496735945440092,130,270.10142314010204,588.7547637731503,552.6886580924007,2323.778650152432,538.4782788307799,121.92543541742512,219.9124065982182,169.4202390951336,87.95061051747341,0.17075666979686158,0.08452429938131885,38.14616119847967,-0.0020193472684504332,0.4539800741201193,-0.6174636776685222,0.08695481007605982,0.05224650679163577,0.4329990738670839,0.0006427313467027667,0.13196932832668012,12.830536274236984,30.435387961009496,12.838989017654619,1.7430405422783055,72.04133724185434,0.27741713360366843,0.8772911357802248
arm-a__mistral-7b-base__all-linear-r16__s33__a03e7b70d5,arm_a,mistral_7b_base,arm_a,33,16,8,all,4000,3998,256,uniform,271828,0.768216049290368,True,0.5648070891887664,47217.0,0.9878418038133532,79.28915027076384,320.50195366133744,1272.8871823204158,27.285758617661315,0.6952946122037247,24.459633692537967,0.12386253971482451,0.8163960919971317,0.13079041137141412,1.7641255193574814,137,125.87459138585913,283.24791786672836,138.88196152504443,311.56132559487077,296.9959270698469,1.755742350174608,130,269.530400689126,585.845791309028,552.6412755188701,2317.4417282676895,538.0265863411236,122.26905996282237,199.80653446777742,157.24410401918286,88.19848323125957,0.1602754718276567,0.09026352802785077,33.096450439095975,0.009330613665503917,0.45226044356394524,-0.7215959163690465,0.05926100209559738,0.11963374331628822,0.4279529324447605,0.0006539835074790701,0.13502038033624572,12.82042877170096,30.273930070611527,12.826268572068177,1.738103779001169,62.24544212803313,0.26278127707672283,0.8640133312510728
arm-a__mistral-7b-base__all-linear-r16__s44__eefd58d830,arm_a,mistral_7b_base,arm_a,44,16,8,all,4000,3999,256,uniform,271828,0.7596467256436348,True,0.5842722823458464,50219.0,0.9882813391741365,74.88878742328767,318.6296924037614,1290.3745193367001,26.318019769604906,0.6988715582410805,24.40849895290955,0.12777178879287746,0.8135822612047625,0.14354776359866966,1.7592134846938643,136,124.36624632871876,279.3133070710284,138.47260057563145,310.25904583402365,295.92248200732195,1.7478438065356205,128,265.2485067891253,584.3314857924213,548.1309216031718,2315.2309614886963,532.9506754647493,120.30640779776205,220.63560702176616,175.62395151235341,86.78272895849831,0.17196989248292266,0.08422298100594901,30.624944660313595,0.0049418759138315504,0.4605550577842524,-0.4969561212022141,0.08919200402081387,-0.04443567356898951,0.42803138148112996,0.0006301321547908556,0.1368127891670839,12.751556744078412,29.885651587624505,12.75974908378441,1.734084234484123,64.64475701117556,0.26417635648565807,0.8648690460791778
arm-a__mistral-7b-base__all-linear-r16__s55__16acdf3c23,arm_a,mistral_7b_base,arm_a,55,16,8,all,4000,3998,256,uniform,271828,0.7914648867704885,True,0.5666774869368132,49054.0,1.0096818598685786,73.34737280590313,321.8186853467025,1354.4592016508477,26.915323282608355,0.7151265022694133,24.32632383584072,0.4519428806521722,0.8250862662357846,0.13826038037222593,1.762419474573937,137,125.6139065209816,282.55471632732133,139.22574395673323,312.18599230110334,285.7081344447821,1.750696381767634,124,258.36527449488165,586.5947110762503,551.8601872161895,2317.5235239899744,525.7161240502646,118.74652119497645,212.2946946233057,166.48203839488534,85.65750862540436,0.16642224174736212,0.08802926969245514,31.8520485601734,0.0003564884045452743,0.4563302394819179,-0.7435885748245877,0.29786815137432093,0.15705831111839208,0.42818248013423243,0.0006178967266587005,0.13065311608605593,12.761475664542463,29.68304492621031,12.766498399688112,1.5528059385119535,19.80685482260481,0.23687444742849673,0.8404770907079817
arm-a__mistral-7b-base__all-linear-r16__s66__2d3a464d97,arm_a,mistral_7b_base,arm_a,66,16,8,all,4000,3998,256,uniform,271828,0.8057709301421774,True,0.5369175886861233,45432.0,1.002863850677386,82.59804784328729,319.8214198087312,1240.4450355825625,25.69349126457973,0.7172613737056963,24.431169752211005,0.10803802877607169,0.8196737798261308,0.14106827645357653,1.766074231531932,139,126.50829761553564,286.4023039461174,139.31623990762617,314.1546204866702,301.34539214788924,1.7604834754665726,132,274.11616099802757,588.4242988220174,555.8091534533733,2317.3366189927356,543.0637792561686,123.76315510498335,192.51219837915022,155.92585287779616,89.27624505736554,0.15746571970584156,0.09288269757938793,32.34532725246618,0.0032763412368587153,0.4506746317543777,-0.7402764881434224,0.04000758908504704,0.0919122282905537,0.42206950773845053,0.0006253154298533695,0.13346419000020493,12.861926233840105,30.47560477673119,12.86563205868815,1.741219132531171,70.68315284259147,0.2790593610157257,0.8779747642123357
arm-b__mistral-7b-base__all-linear-r16__s11__0d76de8415,arm_b,mistral_7b_base,arm_b,11,16,4,all,8000,7990,256,uniform,271828,0.7285067995910727,True,0.5925725150776251,48997.0,1.001876107267305,75.65697854030641,318.8856820320728,1288.6676727039799,28.46976700419244,0.7049456498786515,24.3096327283847,0.11781454706567833,0.8140454315051453,0.14714990876899026,1.7514576144546654,136,123.86605713486315,278.76741080154056,137.79808454445646,309.3621610466857,295.0556975952577,1.7423322036194782,128,264.96148836400454,740.6084354234011,702.3412011266969,2484.317411587397,685.7910957264774,120.44017308901311,217.63245430109507,168.51293889601052,86.87922021966381,0.17097104434706634,0.08330928055720184,33.365156140813305,-0.006486655120589768,0.46022901867218124,-0.5621951942583664,0.08086800972111947,0.05136708853997805,0.4266205219343373,0.0006231618427433739,0.1346834482302551,12.752765977088906,30.19406153983077,12.759036568031997,1.7320200014495135,68.51736022613541,0.27597777086979974,0.8755957431285956
arm-b__mistral-7b-base__all-linear-r16__s22__08d8fb2f6e,arm_b,mistral_7b_base,arm_b,22,16,4,all,8000,7996,256,uniform,271828,0.7540926541642962,True,0.5940193451928135,48183.0,1.0173874270403758,75.75052424580899,317.21637994449526,1275.657941211036,25.827423239987812,0.7227341146208346,24.996810193286862,0.13165820032590012,0.8206689142446218,0.13704117360227747,1.7596061475479519,135,124.68769625771935,279.1305997825207,138.6552742185895,309.6847355575526,294.09354658588927,1.7484570698367234,127,264.17393517925495,741.9509489390803,703.6801159376739,2487.580337564016,685.6270792306544,120.91717248884702,215.1299078500943,170.4731098115169,87.2233025539875,0.17078253810537714,0.08468319710124782,25.975319157650272,-0.001659765328152707,0.4733724697461099,-0.367213529449936,0.1166645295441603,-0.3540273786522412,0.43272214386459806,0.0006514226009309544,0.13824976576791614,12.775749627934676,30.373937131784075,12.781453068196317,1.738032752698402,65.97887104561421,0.25994028099411154,0.8623336045984448
arm-b__mistral-7b-base__all-linear-r16__s33__b205df2dc9,arm_b,mistral_7b_base,arm_b,33,16,4,all,8000,7993,256,uniform,271828,0.78417933687511,True,0.6031336065849289,47217.0,0.9656056509702466,81.20137527698922,315.55012804538626,1222.8911925049963,25.620368827345878,0.686694673873717,24.230930600280036,0.09922076308006426,0.8145583897630716,0.146262214924543,1.7641627540630402,137,125.47939993930831,282.51619825858836,138.43332231359707,310.80567118618285,299.80509878774507,1.759493085490793,131,272.0875831689438,742.9350877855013,707.5444622609198,2488.3336855951284,695.0606192401133,122.92415904047908,192.06089886127867,157.15404037161792,88.6710373265727,0.15995996254890363,0.09032370184973035,30.718618735094868,0.0084303305390232,0.4563630602295278,-0.5372053542387676,0.0962629866481459,-0.02485050816621106,0.4213437147579985,0.0006418651186286938,0.13242719943915912,12.78444467406089,30.186014474642754,12.786360940911704,1.7247936137061974,64.82211021021067,0.2723757534384027,0.8716338346519739
arm-b__mistral-7b-base__all-linear-r16__s44__c5c2ceba14,arm_b,mistral_7b_base,arm_b,44,16,4,all,8000,7987,256,uniform,271828,0.7114788709347668,True,0.6077331054185924,50219.0,0.9672772336052731,80.91366353673322,321.21354075872665,1253.9365402214146,27.814863589939268,0.6763811189448461,24.76625252283911,0.08557426498333034,0.8152815000439316,0.1394436901414814,1.7681660238574126,138,126.9132445031264,285.78191163088155,139.51156071928298,313.08631667805645,301.39919434579616,1.756415911348352,132,273.9369845556615,745.7352940775647,711.5836824543688,2496.780415713716,697.0973969423426,123.35363191998678,196.34205968931997,155.25341622064724,88.98083652330374,0.15537084608598,0.09576375795827609,27.655866597649396,-0.005293037233693232,0.4470318756378865,-0.4391766976208198,0.13755556514005562,-0.02513084072695963,0.4342433261319515,0.000607580145403348,0.13444668543852623,12.813737905933564,30.301136415229774,12.818046600020761,1.7403440431635835,70.16964569362929,0.27810284873683755,0.8778140071623824
