model_key,task,measure,slope_per_doubling
llama31_8b_base,xbrl,r_star_bits_per_value,0.033412300420150205
llama31_8b_base,xbrl,base_codelength_bits_per_token,0.0037164197124257502
llama31_8b_base,xbrl,surprisal_variance_bits2,0.024099067920716567
llama31_8b_base,xbrl,margin_deficit_bits,0.008175991716741188
llama31_8b_base,xbrl,hidden_effective_rank,0.03500715287269442
llama31_8b_base,xbrl,surprise_weighted_hidden_logdet,-0.0011536339961560006
llama31_8b_base,xbrl,residual_effective_rank,0.022467853316278246
llama31_8b_base,xbrl,fisher_trace,0.02818570147920847
llama31_8b_base,xbrl,fisher_effective_rank,0.025104398832001867
llama31_8b_base,xbrl,fisher_logdet,2.185743582749366
llama31_8b_base,xbrl,unit_gain_ntk_cost,0.05859841081313605
llama31_8b_base,xbrl,correction_rd90_bits,0.03747620072085367
llama31_8b_base,xbrl,angular_correction_rd90_bits,0.029668695554500146
llama31_8b_base,xbrl,centered_correction_rd90_bits,0.03969279914961766
llama31_8b_base,xbrl,centered_angular_correction_rd90_bits,0.036325373661478026
llama31_8b_base,xbrl,correction_energy_rank90,0.03004995321188023
llama31_8b_base,xbrl,angular_correction_energy_rank90,0.028683564473021922
llama31_8b_base,xbrl,trace_normalized_correction_logdet,0.9266575133366367
llama31_8b_base,xbrl,correction_information_bits,0.6684420995466253
llama31_8b_base,xbrl,angular_correction_logdet,0.8297085237555838
llama31_8b_base,xbrl,centered_angular_correction_logdet,1.192978876506519
llama31_8b_base,xbrl,dataset_correction_log_volume,4.65113864158083
llama31_8b_base,xbrl,dataset_raw_correction_log_volume,4.70485628337699
llama31_8b_base,xbrl,dataset_centered_correction_log_volume,6.303961860567274
llama31_8b_base,xbrl,dataset_fisher_log_volume,58.46118405121233
llama31_8b_base,xbrl,correction_channel_bits,0.00243734135309911
llama31_8b_base,xbrl,angular_correction_channel_bits,0.002879151331723592
llama31_8b_base,xbrl,coherent_correction_energy,0.021592940396634605
llama31_8b_base,xbrl,coherent_energy_over_entropy,0.024248557144505942
llama31_8b_base,xbrl,prequential_correction_bits_per_row,-0.8458829138091252
llama31_8b_base,xbrl,prequential_decay_exponent,-0.010013988087085413
llama31_8b_base,xbrl,prequential_late_fraction,-0.0005183883600511898
llama31_8b_base,xbrl,nearest_neighbour_cosine,-0.005218981037372786
llama31_8b_base,xbrl,correction_intrinsic_dimension,0.24842405932856393
llama31_8b_base,xbrl,correction_coverage_fraction,0.010518631644446256
llama31_8b_base,xbrl,correction_predictable_fraction,0.0022126681818068054
llama31_8b_base,xbrl,coherent_fraction,-0.006275341553201382
llama31_8b_base,xbrl,text_cross_row_redundancy,-0.00284327154291319
llama31_8b_base,xbrl,base_head_hidden_alignment,-0.0010350005461682845
llama31_8b_base,xbrl,base_head_error_alignment,7.052473201636451e-07
llama31_8b_base,xbrl,within_example_channel_bits,0.007990383494491278
llama31_8b_base,xbrl,total_correction_channel_bits,0.006932528354988184
llama31_8b_base,xbrl,within_between_energy_ratio,-0.015310508383861346
llama31_8b_base,xbrl,train_response_tokens,0.0004426024408607372
mistral_7b_base,sql,r_star_bits_per_value,0.009278839468259241
mistral_7b_base,sql,base_codelength_bits_per_token,0.0010796957129143698
mistral_7b_base,sql,surprisal_variance_bits2,0.010114107157964035
mistral_7b_base,sql,margin_deficit_bits,0.0012884676175170492
mistral_7b_base,sql,hidden_effective_rank,0.012497858246214657
mistral_7b_base,sql,surprise_weighted_hidden_logdet,0.00038566659413712253
mistral_7b_base,sql,residual_effective_rank,0.008134259490921256
mistral_7b_base,sql,fisher_trace,0.0061054762257260866
mistral_7b_base,sql,fisher_effective_rank,-0.0032274507481550485
mistral_7b_base,sql,fisher_logdet,0.13523793972405518
mistral_7b_base,sql,unit_gain_ntk_cost,0.021849305248321245
mistral_7b_base,sql,correction_rd90_bits,-0.00608152444921918
mistral_7b_base,sql,angular_correction_rd90_bits,-0.005367563489698838
mistral_7b_base,sql,centered_correction_rd90_bits,-0.0032868554524464917
mistral_7b_base,sql,centered_angular_correction_rd90_bits,0.0036782711358303564
mistral_7b_base,sql,correction_energy_rank90,-0.00896883078760763
mistral_7b_base,sql,angular_correction_energy_rank90,-0.0037977457149402376
mistral_7b_base,sql,trace_normalized_correction_logdet,-0.13890184021393726
mistral_7b_base,sql,correction_information_bits,-0.10019649802349828
mistral_7b_base,sql,angular_correction_logdet,-0.28322131992021654
mistral_7b_base,sql,centered_angular_correction_logdet,0.18232017549354335
mistral_7b_base,sql,dataset_correction_log_volume,-0.5312813085014868
mistral_7b_base,sql,dataset_raw_correction_log_volume,-0.810578234092703
mistral_7b_base,sql,dataset_centered_correction_log_volume,1.2837505058319054
mistral_7b_base,sql,dataset_fisher_log_volume,0.3119300972013125
mistral_7b_base,sql,correction_channel_bits,-0.0004650762064496146
mistral_7b_base,sql,angular_correction_channel_bits,-0.0028572982811407967
mistral_7b_base,sql,coherent_correction_energy,0.006204949466674382
mistral_7b_base,sql,coherent_energy_over_entropy,0.008347566485796279
mistral_7b_base,sql,prequential_correction_bits_per_row,-0.19655884334542917
mistral_7b_base,sql,prequential_decay_exponent,-0.011626483057664892
mistral_7b_base,sql,prequential_late_fraction,0.03627147217452883
mistral_7b_base,sql,nearest_neighbour_cosine,0.0010068860291515768
mistral_7b_base,sql,correction_intrinsic_dimension,0.05358824865128764
mistral_7b_base,sql,correction_coverage_fraction,-0.007534844495133187
mistral_7b_base,sql,correction_predictable_fraction,-0.015524080188118086
mistral_7b_base,sql,coherent_fraction,0.003960687487134344
mistral_7b_base,sql,text_cross_row_redundancy,-0.013687909572325433
mistral_7b_base,sql,base_head_hidden_alignment,0.0004112563811846236
mistral_7b_base,sql,base_head_error_alignment,1.7300603294254189e-06
mistral_7b_base,sql,within_example_channel_bits,-0.028286722858901655
mistral_7b_base,sql,total_correction_channel_bits,-0.02767193847545791
mistral_7b_base,sql,within_between_energy_ratio,-0.0028028278369001325
mistral_7b_base,sql,train_response_tokens,-0.005563363970267174
mistral_7b_base,xbrl,r_star_bits_per_value,0.03633749113599869
mistral_7b_base,xbrl,base_codelength_bits_per_token,-0.003293025866161117
mistral_7b_base,xbrl,surprisal_variance_bits2,0.024001161890387625
