candidate,group,held_out,arms,candidate_rmse,model_only_rmse
base_codelength_bits_per_token,task_family,alpaca,4,0.10392909586633561,0.1226799167379407
base_codelength_bits_per_token,task_family,hh_rlhf,4,0.4116065630957355,0.3886053145531551
base_codelength_bits_per_token,task_family,magicoder,4,0.1633614301435473,0.17944489626836263
base_codelength_bits_per_token,task_family,metamath,24,0.34230115900608177,0.26074550848668554
base_codelength_bits_per_token,task_family,sql,6,0.2151884611913701,0.21831945864605784
base_codelength_bits_per_token,task_family,xbrl,8,0.3395483980506217,0.31742955488163827
base_codelength_bits_per_token,task_family,xsum,4,0.25998151253141505,0.19657666690247366
base_codelength_bits_per_token,model_key,llama31_8b_base,6,0.2971318000460393,0.336742185632529
base_codelength_bits_per_token,model_key,mistral_7b_base,31,0.23064835385777202,0.25690771036317767
base_codelength_bits_per_token,model_key,qwen25_7b_base,13,0.3983874162291454,0.3353472713838471
base_codelength_bits_per_token,model_key,qwen3_8b_base,4,0.15164864069167877,0.15831459913595777
surprisal_variance_bits2,task_family,alpaca,4,0.2929499814456987,0.1226799167379407
surprisal_variance_bits2,task_family,hh_rlhf,4,0.33350946479544374,0.3886053145531551
surprisal_variance_bits2,task_family,magicoder,4,0.1438765855077531,0.17944489626836263
surprisal_variance_bits2,task_family,metamath,24,0.3076872356130793,0.26074550848668554
surprisal_variance_bits2,task_family,sql,6,0.20743212493656468,0.21831945864605784
surprisal_variance_bits2,task_family,xbrl,8,0.2976503700949861,0.31742955488163827
surprisal_variance_bits2,task_family,xsum,4,0.2251190065900286,0.19657666690247366
surprisal_variance_bits2,model_key,llama31_8b_base,6,0.34372727777453954,0.336742185632529
surprisal_variance_bits2,model_key,mistral_7b_base,31,0.20593440665787952,0.25690771036317767
surprisal_variance_bits2,model_key,qwen25_7b_base,13,0.2717559368821644,0.3353472713838471
surprisal_variance_bits2,model_key,qwen3_8b_base,4,0.1501720295701768,0.15831459913595777
margin_deficit_bits,task_family,alpaca,4,0.110296528700358,0.1226799167379407
margin_deficit_bits,task_family,hh_rlhf,4,0.42424475921888105,0.3886053145531551
margin_deficit_bits,task_family,magicoder,4,0.16583602117565766,0.17944489626836263
margin_deficit_bits,task_family,metamath,24,0.3627911683818139,0.26074550848668554
margin_deficit_bits,task_family,sql,6,0.22447445478097555,0.21831945864605784
margin_deficit_bits,task_family,xbrl,8,0.3380296548152694,0.31742955488163827
margin_deficit_bits,task_family,xsum,4,0.24193777367124217,0.19657666690247366
margin_deficit_bits,model_key,llama31_8b_base,6,0.3184493874912432,0.336742185632529
margin_deficit_bits,model_key,mistral_7b_base,31,0.24168948100630558,0.25690771036317767
margin_deficit_bits,model_key,qwen25_7b_base,13,0.4244288589402929,0.3353472713838471
margin_deficit_bits,model_key,qwen3_8b_base,4,0.15477004764447425,0.15831459913595777
hidden_effective_rank,task_family,alpaca,4,0.10365042018709325,0.1226799167379407
hidden_effective_rank,task_family,hh_rlhf,4,0.33533287133446404,0.3886053145531551
hidden_effective_rank,task_family,magicoder,4,0.15519981897626314,0.17944489626836263
hidden_effective_rank,task_family,metamath,24,0.25791747511873114,0.26074550848668554
hidden_effective_rank,task_family,sql,6,0.29179407011590425,0.21831945864605784
hidden_effective_rank,task_family,xbrl,8,0.42946024153115564,0.31742955488163827
hidden_effective_rank,task_family,xsum,4,0.32725411189181436,0.19657666690247366
hidden_effective_rank,model_key,llama31_8b_base,6,0.14048867235335205,0.336742185632529
hidden_effective_rank,model_key,mistral_7b_base,31,0.2134662259930489,0.25690771036317767
