model_key,task,measure,slope_per_doubling
mistral_7b_base,sql,r_star_bits_per_value,0.009278839468259241
mistral_7b_base,sql,base_codelength_bits_per_token,0.0010796957129143698
mistral_7b_base,sql,surprisal_variance_bits2,0.010114107157964035
mistral_7b_base,sql,margin_deficit_bits,0.0012884676175170492
mistral_7b_base,sql,hidden_effective_rank,0.0005417043248272928
mistral_7b_base,sql,surprise_weighted_hidden_logdet,5.0839597524380925e-05
mistral_7b_base,sql,residual_effective_rank,-0.0019388424411590527
mistral_7b_base,sql,fisher_trace,0.0019810056052913944
mistral_7b_base,sql,fisher_effective_rank,-0.012002578066838236
mistral_7b_base,sql,fisher_logdet,-0.002333062005497083
mistral_7b_base,sql,unit_gain_ntk_cost,0.029177122836047117
mistral_7b_base,sql,correction_rd90_bits,-0.009795527776744195
mistral_7b_base,sql,angular_correction_rd90_bits,-0.006655581483803741
mistral_7b_base,sql,centered_correction_rd90_bits,-0.002445867982485873
mistral_7b_base,sql,centered_angular_correction_rd90_bits,0.0014484713655471028
mistral_7b_base,sql,correction_energy_rank90,-0.0014177955785817345
mistral_7b_base,sql,angular_correction_energy_rank90,-3.548569477388013e-16
mistral_7b_base,sql,trace_normalized_correction_logdet,-0.004981304721900136
mistral_7b_base,sql,angular_correction_logdet,-0.003898125537976289
mistral_7b_base,sql,centered_angular_correction_logdet,0.0004475481870626894
mistral_7b_base,sql,dataset_correction_log_volume,-0.001301754794007545
mistral_7b_base,sql,dataset_raw_correction_log_volume,-0.0018563153577576194
mistral_7b_base,sql,dataset_centered_correction_log_volume,0.0004930692541017718
mistral_7b_base,sql,dataset_fisher_log_volume,-0.0005204201199746645
mistral_7b_base,xbrl,r_star_bits_per_value,0.03633749113599869
mistral_7b_base,xbrl,base_codelength_bits_per_token,-0.003293025866161117
mistral_7b_base,xbrl,surprisal_variance_bits2,0.024001161890387625
mistral_7b_base,xbrl,margin_deficit_bits,-0.001831905582077286
mistral_7b_base,xbrl,hidden_effective_rank,0.0019413587289507897
mistral_7b_base,xbrl,surprise_weighted_hidden_logdet,-6.143734147950289e-05
mistral_7b_base,xbrl,residual_effective_rank,0.008766321587034073
mistral_7b_base,xbrl,fisher_trace,0.003510000993144134
mistral_7b_base,xbrl,fisher_effective_rank,-0.0062469220850949235
mistral_7b_base,xbrl,fisher_logdet,0.014630549557584992
mistral_7b_base,xbrl,unit_gain_ntk_cost,0.027464454311109294
mistral_7b_base,xbrl,correction_rd90_bits,0.007591898391416286
mistral_7b_base,xbrl,angular_correction_rd90_bits,0.017325289565459773
mistral_7b_base,xbrl,centered_correction_rd90_bits,0.021683419433140824
mistral_7b_base,xbrl,centered_angular_correction_rd90_bits,0.027205511451825263
mistral_7b_base,xbrl,correction_energy_rank90,0.0
mistral_7b_base,xbrl,angular_correction_energy_rank90,-3.064475867222006e-17
mistral_7b_base,xbrl,trace_normalized_correction_logdet,0.005894223063733485
mistral_7b_base,xbrl,angular_correction_logdet,0.009946683351084515
mistral_7b_base,xbrl,centered_angular_correction_logdet,0.016147044920416097
mistral_7b_base,xbrl,dataset_correction_log_volume,0.014982621540250138
mistral_7b_base,xbrl,dataset_raw_correction_log_volume,0.012997271421411343
mistral_7b_base,xbrl,dataset_centered_correction_log_volume,0.01741876332781806
mistral_7b_base,xbrl,dataset_fisher_log_volume,0.006094340420841866
qwen25_7b_base,sql,r_star_bits_per_value,0.0039372363783253045
qwen25_7b_base,sql,base_codelength_bits_per_token,-0.003628714860067116
qwen25_7b_base,sql,surprisal_variance_bits2,-0.010330616267880604
qwen25_7b_base,sql,margin_deficit_bits,-0.003346150782104093
qwen25_7b_base,sql,hidden_effective_rank,-0.003760532459619781
qwen25_7b_base,sql,surprise_weighted_hidden_logdet,-0.00037466369283652444
qwen25_7b_base,sql,residual_effective_rank,-0.0009525253477538136
qwen25_7b_base,sql,fisher_trace,-0.0018766802825540818
qwen25_7b_base,sql,fisher_effective_rank,-0.009266824610058432
qwen25_7b_base,sql,fisher_logdet,-0.002117190637598634
qwen25_7b_base,sql,unit_gain_ntk_cost,0.010105804540496465
qwen25_7b_base,sql,correction_rd90_bits,-0.0014982718169568889
