model_key,task,measure,slope_per_doubling
mistral_7b_base,sql,r_star_bits_per_value,0.009278839468259241
mistral_7b_base,sql,base_codelength_bits_per_token,0.003713951381341182
mistral_7b_base,sql,surprisal_variance_bits2,0.001002578123373222
mistral_7b_base,sql,margin_deficit_bits,0.003355317484458468
mistral_7b_base,sql,hidden_effective_rank,0.012768947112944318
mistral_7b_base,sql,surprise_weighted_hidden_logdet,-0.000323407808090225
mistral_7b_base,sql,residual_effective_rank,-0.0010250025315620846
mistral_7b_base,sql,fisher_trace,0.004330272105334061
mistral_7b_base,sql,fisher_effective_rank,-0.015807527286465808
mistral_7b_base,sql,fisher_logdet,-0.0008168091861188594
mistral_7b_base,sql,unit_gain_ntk_cost,0.01760561256091663
mistral_7b_base,sql,correction_rd90_bits,-0.006706403811980685
mistral_7b_base,sql,angular_correction_rd90_bits,-0.007378019181177594
mistral_7b_base,sql,centered_correction_rd90_bits,0.004721703975164667
mistral_7b_base,sql,centered_angular_correction_rd90_bits,0.0027110581141037487
mistral_7b_base,sql,correction_energy_rank90,-0.004854837330441874
mistral_7b_base,sql,angular_correction_energy_rank90,-0.004897560577685854
mistral_7b_base,sql,trace_normalized_correction_logdet,-0.005427285022797594
mistral_7b_base,sql,angular_correction_logdet,-0.00546900045286779
mistral_7b_base,sql,centered_angular_correction_logdet,0.001082274461023598
mistral_7b_base,xbrl,r_star_bits_per_value,0.03633749113599869
mistral_7b_base,xbrl,base_codelength_bits_per_token,0.0049967927149602055
mistral_7b_base,xbrl,surprisal_variance_bits2,0.09730610931827359
mistral_7b_base,xbrl,margin_deficit_bits,0.003719751814692333
mistral_7b_base,xbrl,hidden_effective_rank,0.03032506440599988
mistral_7b_base,xbrl,surprise_weighted_hidden_logdet,7.214234650507903e-05
mistral_7b_base,xbrl,residual_effective_rank,0.01513296722813657
mistral_7b_base,xbrl,fisher_trace,0.007449638852906635
mistral_7b_base,xbrl,fisher_effective_rank,0.01944288128365639
mistral_7b_base,xbrl,fisher_logdet,0.036419717878464306
mistral_7b_base,xbrl,unit_gain_ntk_cost,0.03771545017469032
mistral_7b_base,xbrl,correction_rd90_bits,0.018024542757669213
mistral_7b_base,xbrl,angular_correction_rd90_bits,0.022611032053884716
mistral_7b_base,xbrl,centered_correction_rd90_bits,0.022976784690175202
mistral_7b_base,xbrl,centered_angular_correction_rd90_bits,0.0248470689666319
mistral_7b_base,xbrl,correction_energy_rank90,-0.01836526199411347
mistral_7b_base,xbrl,angular_correction_energy_rank90,0.03684477836756668
mistral_7b_base,xbrl,trace_normalized_correction_logdet,0.010696943782611263
mistral_7b_base,xbrl,angular_correction_logdet,0.013581156543569518
mistral_7b_base,xbrl,centered_angular_correction_logdet,0.01327849562476822
qwen25_7b_base,sql,r_star_bits_per_value,0.0039372363783253045
qwen25_7b_base,sql,base_codelength_bits_per_token,0.0026946445577366203
qwen25_7b_base,sql,surprisal_variance_bits2,0.015683830192373002
qwen25_7b_base,sql,margin_deficit_bits,0.0031696794906803864
qwen25_7b_base,sql,hidden_effective_rank,0.01152532248190905
qwen25_7b_base,sql,surprise_weighted_hidden_logdet,0.00040289453421443023
qwen25_7b_base,sql,residual_effective_rank,0.005775834010432526
qwen25_7b_base,sql,fisher_trace,0.0026508522506982378
qwen25_7b_base,sql,fisher_effective_rank,-0.0019489636607071476
qwen25_7b_base,sql,fisher_logdet,0.003053243591991808
qwen25_7b_base,sql,unit_gain_ntk_cost,-0.006467499777576175
qwen25_7b_base,sql,correction_rd90_bits,0.005055744153199606
qwen25_7b_base,sql,angular_correction_rd90_bits,0.008655587235179523
qwen25_7b_base,sql,centered_correction_rd90_bits,0.0071376284447042014
qwen25_7b_base,sql,centered_angular_correction_rd90_bits,0.012984512627823455
qwen25_7b_base,sql,correction_energy_rank90,0.0051649943888277235
qwen25_7b_base,sql,angular_correction_energy_rank90,0.009783522171174654
qwen25_7b_base,sql,trace_normalized_correction_logdet,0.0007589850850902042
qwen25_7b_base,sql,angular_correction_logdet,0.0017629751855901558
qwen25_7b_base,sql,centered_angular_correction_logdet,0.006020989045607144
qwen25_7b_base,xbrl,r_star_bits_per_value,0.04581794564646837
qwen25_7b_base,xbrl,base_codelength_bits_per_token,0.025926093914083792
qwen25_7b_base,xbrl,surprisal_variance_bits2,0.08151440785589362
qwen25_7b_base,xbrl,margin_deficit_bits,0.03223843328266943
qwen25_7b_base,xbrl,hidden_effective_rank,0.03098206797038082
qwen25_7b_base,xbrl,surprise_weighted_hidden_logdet,8.433882079708814e-05
qwen25_7b_base,xbrl,residual_effective_rank,0.018298564506682137
qwen25_7b_base,xbrl,fisher_trace,0.026828419181249882
qwen25_7b_base,xbrl,fisher_effective_rank,0.016464769236585197
qwen25_7b_base,xbrl,fisher_logdet,0.03527534845637405
qwen25_7b_base,xbrl,unit_gain_ntk_cost,0.020084302190797383
qwen25_7b_base,xbrl,correction_rd90_bits,0.033049447434746325
qwen25_7b_base,xbrl,angular_correction_rd90_bits,0.021486209354881384
qwen25_7b_base,xbrl,centered_correction_rd90_bits,0.0348357377142534
qwen25_7b_base,xbrl,centered_angular_correction_rd90_bits,0.025293097552032302
qwen25_7b_base,xbrl,correction_energy_rank90,0.017996466147451685
qwen25_7b_base,xbrl,angular_correction_energy_rank90,0.034067656206895905
qwen25_7b_base,xbrl,trace_normalized_correction_logdet,0.016585539352713407
qwen25_7b_base,xbrl,angular_correction_logdet,0.012925690931039116
qwen25_7b_base,xbrl,centered_angular_correction_logdet,0.014973237223959697
