model_key,dataset_key,task_family,seeds,r_star_bits_per_value,reference_bits_saved_per_token,base_codelength_bits_per_token,surprisal_variance_bits2,margin_deficit_bits,hidden_effective_rank,surprise_weighted_hidden_logdet,residual_effective_rank,fisher_trace,fisher_effective_rank,fisher_logdet,unit_gain_ntk_cost,correction_rd90_bits,angular_correction_rd90_bits,centered_correction_rd90_bits,centered_angular_correction_rd90_bits,correction_energy_rank90,angular_correction_energy_rank90,trace_normalized_correction_logdet,angular_correction_logdet,centered_angular_correction_logdet,dataset_correction_log_volume,dataset_raw_correction_log_volume,dataset_centered_correction_log_volume,dataset_fisher_log_volume,repeated_dataset_arms
mistral_7b_base,kind_code,kind_code,3,0.8912459138685919,0.1656497501261097,1.5934278505079398,0.4276922731393014,1.2547455146957947,34.06219770680882,0.8795421052716179,28.164651465773275,1834.1824860772956,120.35936509893902,433.6111191227874,0.08746374613651677,320.7853171432416,334.2933602248598,343.8144684284425,360.41416794601054,156.33333333333334,168.66666666666666,138.16997223606668,139.71362319094035,154.1216303915028,768.6352625338335,752.4851419841183,802.4406093668575,2605.9353722091323,1
qwen25_7b_base,kind_code,kind_code,3,0.6683595703599612,0.08931233470189825,1.9153087538253208,0.44000288757832734,1.5398381525091194,25.228515679949876,0.7516402781769987,28.57649180983634,1495.8684013098261,78.37222172473555,311.57852856671167,0.1569158359440214,218.95142242806094,237.32070713379812,226.13457102117096,247.79385562440146,100.0,110.66666666666667,112.39632644094378,115.62234280565421,119.2992051987822,649.9705291936389,626.7026887671689,662.3481858161589,2413.461878297281,1
mistral_7b_base,kind_dialogue,kind_dialogue,3,0.9130857421944342,0.2886647238563391,2.994328705597208,0.8248571368550346,2.098666939868448,41.75920201436071,0.900934041207024,27.8763729860664,4267.237559051847,119.77400332717345,612.2646874850115,0.32460991070862866,323.6046153976315,358.87690500560893,337.8173538582634,372.83621142854264,160.33333333333334,179.66666666666666,138.69579192360172,151.1192703923197,159.21601181433877,802.5472033117379,757.7277830107487,820.5171730024555,2862.493256308981,1
qwen25_7b_base,kind_dialogue,kind_dialogue,3,1.17583402809107,0.22497088399091694,2.969776538256355,0.8398865165809367,2.0851403649474958,24.99639908078377,0.7727118691198879,27.95610945278526,4532.326269020111,70.8242813043351,490.3239950691218,1.3734279145261006,201.70117083274081,250.294624572722,205.63603041104457,253.88778703227786,87.33333333333333,115.66666666666667,109.54449119564048,121.03221515967522,122.36079034600111,668.0089270877382,609.2174156784484,671.8978585186063,2705.887416110681,1
mistral_7b_base,kind_instruct,kind_instruct,3,0.6433206134110627,0.6176277477482367,2.828089333837852,2.5062757271753604,2.3546779065703354,37.50288598734294,0.9295580037153219,26.99263850968045,7157.687759964731,32.96530202005284,582.2315337555171,0.5008273501445188,202.25694414771738,318.09742282636836,237.9195759611655,361.79327247978125,102.0,161.33333333333334,95.89143940574634,133.38465570914042,156.90171091614215,751.6739553864313,607.0574919105716,808.0687938697534,2839.8438512248135,1
qwen25_7b_base,kind_instruct,kind_instruct,3,0.773695736332567,0.18127013381690285,1.88056976373385,1.1600102266086096,1.4185789349818758,22.57128848757601,0.815125295140123,27.63823151908248,3575.1359130613164,63.307547406379136,436.60643798078655,1.4384815930940686,194.53566841262332,279.8312796338242,197.26508693843275,282.40277462052853,84.66666666666667,131.66666666666666,107.3257629048984,129.66050530029713,130.76015158597616,705.2929696767195,598.5104854919917,708.0090754484232,2640.6122747646136,1
mistral_7b_base,kind_summary,kind_summary,3,0.6521526212375846,0.6058513120992538,2.1506802452225027,0.40561847850698274,1.5134823596243026,44.350428658668385,0.9116530373423917,27.919188115907733,2576.4895571733678,123.51089715547532,490.09323423710833,0.12124199045660751,307.52986848860394,326.3019819278395,318.9606770772974,338.695266370587,155.33333333333334,165.66666666666666,128.73650464820426,136.1952769021477,143.5389883507689,746.7278958634937,722.405665162189,762.7090745183172,2464.8661273574794,1
qwen25_7b_base,kind_summary,kind_summary,3,0.38755980471902274,0.49432321829831344,2.4071694698030255,0.4920949515629068,1.8617066654567325,30.19596445248585,0.7809135787283173,28.101389263393845,2544.8777653025595,87.5258700191821,420.9268101269899,0.8795860231001643,243.48819401863886,264.57915588191526,248.0158553666311,268.9193705169948,114.66666666666667,127.0,113.6926108430332,119.76263315518462,121.70069770886808,674.2595654660993,648.3723366315451,679.2079001959463,2459.962903569796,1
mistral_7b_base,panel_math,panel_math,3,0.7367548234668488,0.5957544638730436,0.9949563950926424,0.11623117015721424,0.7047914794577345,26.63918635717538,0.8164242451709463,24.51245784065053,1262.405602140004,77.53629268770153,317.21739667398475,0.1434844324319369,267.0743355707345,280.13806961421653,296.318114322964,309.9508559301404,128.66666666666666,136.0,121.42716820611308,124.67771777729695,138.29556035888103,704.5219264417634,688.826264732415,741.8314907159943,2486.7438115821806,1
qwen25_7b_base,panel_math,panel_math,3,0.41142462189523044,0.09195933785129766,0.40321393030535546,0.06654692937429418,0.3252028467929146,21.23838378402183,0.7361401846458601,25.1258805250999,411.0019946485384,68.25370231488694,145.7379341340234,1.7466694964476357,192.34616984224104,220.57137339812016,194.87181853820644,223.03132181639344,85.33333333333333,99.66666666666667,108.99231787269156,113.51980294225037,114.39369346372204,632.7789553776778,589.90015249103,635.3097830994856,2062.5971616923894,1
