candidate,pooled_arm_spearman,within_model_mean_spearman,selection_adjusted_p,task_heldout_rmse,model_only_rmse,task_heldout_rmse_ratio,model_and_task_residual_r,gain_spearman,median_seed_cv
fisher_logdet,0.5478260869565217,0.7587412587412588,0.00033999320013599726,0.17470514033778903,0.2630417474560228,0.6641726723131561,0.5170528420232174,-0.34,0.02177455703660151
dataset_fisher_log_volume,0.6678260869565216,0.7307692307692307,0.0006399872002559949,0.267974957094946,0.2630417474560228,1.0187544740963521,0.04623528866060786,-0.5469565217391303,0.007930168264410807
angular_correction_logdet,0.8417391304347825,0.7237762237762237,0.0007799844003119938,0.16694715191355244,0.2630417474560228,0.6346792991156807,0.518780439058494,-0.7452173913043478,0.016946376778068175
centered_angular_correction_logdet,0.568695652173913,0.7132867132867133,0.0009599808003839923,0.5099147454196573,0.2630417474560228,1.9385316222661897,0.26133689039338764,-0.43826086956521737,0.011276966412119175
dataset_centered_correction_log_volume,0.5921739130434782,0.7027972027972028,0.0011799764004719905,0.6331641618849948,0.2630417474560228,2.4070862059295424,0.22414251614475986,-0.4373913043478261,0.00864218180235082
dataset_correction_log_volume,0.7486956521739131,0.6923076923076923,0.0015999680006399872,0.2578214598393243,0.2630417474560228,0.9801541478978683,0.5211361037705259,-0.6634782608695652,0.016087514122375086
centered_angular_correction_rd90_bits,0.557391304347826,0.6853146853146853,0.0018399632007359854,0.7791956534506798,0.2630417474560228,2.9622509011842357,-0.2295706797066538,-0.4495652173913043,0.01624504476196586
angular_correction_rd90_bits,0.8234782608695652,0.6783216783216783,0.002119957600847983,0.2785525985226684,0.2630417474560228,1.0589672598234194,0.5955069415255589,-0.7365217391304347,0.03113748816380099
angular_correction_energy_rank90,0.8204550831686929,0.665011985514024,0.0027799444011119777,0.2898367708995113,0.2630417474560228,1.101866048650579,0.5631006612354827,-0.7509916336352414,0.0332803746172124
dataset_raw_correction_log_volume,0.7252173913043478,0.6608391608391607,0.003399932001359973,0.2510338310486309,0.2630417474560228,0.9543497694813654,0.5537339030483883,-0.6826086956521739,0.024902596089755192
residual_effective_rank,0.7678260869565217,0.6538461538461537,0.004079918401631967,0.701690957637746,0.2630417474560228,2.667603011400537,0.21169290787871087,-0.8147826086956521,0.018191870684211582
centered_correction_rd90_bits,0.5173913043478261,0.6503496503496503,0.004359912801743965,0.5825834455466351,0.2630417474560228,2.214794614090813,-0.05498811628091793,-0.46956521739130436,0.0401471345712663
correction_rd90_bits,0.768695652173913,0.6468531468531468,0.004599908001839963,0.2598357487969674,0.2630417474560228,0.9878118257270496,0.5674117116721972,-0.7078260869565217,0.050141252131090684
surprise_weighted_hidden_logdet,0.4469565217391304,0.6293706293706294,0.006439871202575949,0.1950323725353231,0.2630417474560228,0.74145026187499,0.3551075400846582,-0.29391304347826086,0.0019293552338100278
correction_energy_rank90,0.6948011050990592,0.6214720868427528,0.00741985160296794,0.2622141005236535,0.2630417474560228,0.9968535529421706,0.5240900496420371,-0.6669568529222654,0.05094267081084933
trace_normalized_correction_logdet,0.777391304347826,0.6188811188811187,0.007999840003199936,0.17150424224623786,0.2630417474560228,0.6520038887550014,0.531390733344286,-0.748695652173913,0.028388305801745232
hidden_effective_rank,0.4243478260869565,0.5874125874125874,0.013059738805223896,0.2639100985674341,0.2630417474560228,1.003301191236028,-0.7574577271046318,-0.3278260869565217,0.03139501829802338
fisher_effective_rank,0.8182608695652174,0.5804195804195804,0.014539709205815883,0.17412872578540417,0.2630417474560228,0.661981329843911,0.5687746048836719,-0.7982608695652174,0.07020532167224258
unit_gain_ntk_cost,0.48608695652173917,0.40909090909090906,0.12777744445111097,0.24853104463591802,0.2630417474560228,0.9448349816694751,-0.29248424202388157,-0.6208695652173913,0.07096760575262895
surprisal_variance_bits2,0.43304347826086953,0.30419580419580416,0.30157396852062957,0.2405781690148831,0.2630417474560228,0.9146007101215166,0.002059259516924705,-0.13999999999999999,0.13183572253594278
base_codelength_bits_per_token,0.2130434782608695,0.13286713286713286,0.6810263794724105,0.2616223495528401,0.2630417474560228,0.9946039063498084,-0.3478805269253503,0.016521739130434754,0.02190859952068598
margin_deficit_bits,0.20347826086956522,0.12237762237762238,0.7005459890802184,0.26541902706397447,0.2630417474560228,1.009037651365014,-0.46465650444932427,0.01999999999999999,0.021626069524937404
fisher_trace,-0.16086956521739132,-0.14335664335664336,0.9862602747945041,0.3104497111037158,0.2630417474560228,1.180229808029309,-0.23094953899046505,0.47739130434782606,0.046977776658453374
