run_id,study,model_key,dataset_key,seed,adapter_rank,training_epochs,label_span,available_rows,distinct_rows,row_sampling,r_star_bits_per_value,r_star_bracketed,reference_bits_saved_per_token,base_codelength_bits_per_token,fisher_effective_rank,fisher_logdet,fisher_trace,hidden_effective_rank,margin_deficit_bits,residual_effective_rank,surprisal_variance_bits2,surprise_weighted_hidden_logdet,unit_gain_ntk_cost,angular_correction_energy_rank90,angular_correction_logdet,angular_correction_rd90_bits,centered_angular_correction_logdet,centered_angular_correction_rd90_bits,centered_correction_rd90_bits,correction_energy_rank90,correction_rd90_bits,dataset_centered_correction_log_volume,dataset_correction_log_volume,dataset_raw_correction_log_volume,trace_normalized_correction_logdet,dataset_fisher_log_volume
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_kind_code,mistral_7b_base,kind_code,11,16,4,all,8000,8000,uniform,0.9270848277264081,True,0.1681050878669661,1.653997805146944,123.68899306618056,443.05852537320055,1875.4990158874782,32.760547515673075,1.3047188808993688,28.22213362052055,0.4487340003551219,0.8796159263157477,0.08602187881068171,171,142.09550554607014,339.8400988055506,156.053219893424,365.070637733833,349.85625583591656,160,327.3521330706722,809.656776550298,777.0196529994032,762.0189326302594,140.44126023906253,2643.8847649559866
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s22__d79db6a95e,mistral_kind_code,mistral_7b_base,kind_code,22,16,4,all,8000,8000,uniform,0.8811149188660377,True,0.16621482032842239,1.5792340399271034,117.54778725901882,430.6585699596443,1826.569365238882,35.235493117101186,1.2462517933912545,28.068826937695817,0.4173692128663496,0.8792692946059681,0.08272226633924808,168,138.72951528372346,332.4438419488773,153.8561636087003,359.94148431701024,342.5959327280385,155,318.4193717536572,801.8142816948039,766.2070137921708,749.6307174502035,137.36652028968746,2601.715932302953
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,mistral_kind_code,mistral_7b_base,kind_code,33,16,4,all,8000,8000,uniform,0.8655379950133298,True,0.16262934218294056,1.5470517064497722,119.84131497161769,427.1162620355175,1800.4790771055264,34.1905524876522,1.2132658697967607,28.202993839103456,0.4169736061964329,0.8797410948931381,0.09364709325962049,167,138.31584874302743,330.59613992015153,152.45550767238404,356.2303817871882,338.99121672137244,154,316.5844466053954,795.8507698554707,762.6791208099266,745.8057758718919,136.7021361794501,2572.205419368456
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s11__64973b625e,mistral_kind_dialogue,mistral_7b_base,kind_dialogue,11,16,4,all,7998,7998,uniform,0.9997361523735223,True,0.3053469397936337,3.0427666143937544,111.30658773383074,613.3074244710741,4496.221321987491,40.7663096712818,2.1336352912333645,27.89222377334936,0.9106928875134289,0.895541052261014,0.3377065598684216,176,148.39372737743048,351.08068073837,157.31741220957062,366.65351051026414,330.11316294171525,156,314.26086283182184,812.4377694074836,792.3567929226977,745.5253274972102,135.43390385307154,2854.176516468081
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s22__934fae776e,mistral_kind_dialogue,mistral_7b_base,kind_dialogue,22,16,4,all,7997,7997,uniform,0.9205704074489287,True,0.2787465925828241,2.9965848434628466,127.73222186310758,612.5643169359948,4093.934369674496,42.64210694350656,2.097555238900222,28.117797334567378,0.7377387633330794,0.9053744914488079,0.32974848140807644,182,152.7579270823333,363.64521394885844,160.2785652643683,376.4147685748005,344.89597481523106,164,331.70934599384145,824.9286027283636,808.5015546124116,767.9674207968869,141.58280392841783,2863.7400864182855
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s33__fb2f052ab5,mistral_kind_dialogue,mistral_7b_base,kind_dialogue,33,16,4,all,7999,7999,uniform,0.8189506667608514,True,0.2819006391925596,2.9436346589350233,120.28320038458203,610.9223210479654,4211.556985493555,41.869189428293765,2.0648102894717573,27.61909785028245,0.8261397597185957,0.9018865799112502,0.3063746908493879,181,152.20615671719534,361.9048203295984,160.0520579690774,375.44035520056343,338.44292381784396,161,324.84363736723117,824.1851468715192,806.7832624001041,759.6906007381488,139.07066798931584,2869.563166040578
mistral-kind-instruct__mistral-7b-base__kind-instruct__all-linear-r16__s11__4857d6cdce,mistral_kind_instruct,mistral_7b_base,kind_instruct,11,16,4,all,8000,8000,uniform,0.6772248518289024,True,0.5916822670066635,2.7753118756227195,35.104410598149876,573.1055775317861,6632.759812286535,38.09674220462478,2.306837384123355,27.28897355075534,2.636474971105556,0.9296389339860566,0.4585669518333205,165,135.29965323526605,324.6343420094669,158.13570069126317,366.6884506477748,241.75157749021363,105,207.81593577069083,813.9949789332564,759.6791594758326,614.4550534509228,97.51902154254327,2830.695682920131
mistral-kind-instruct__mistral-7b-base__kind-instruct__all-linear-r16__s22__d941d1a300,mistral_kind_instruct,mistral_7b_base,kind_instruct,22,16,4,all,8000,8000,uniform,0.6514482019850181,True,0.6158620651320597,2.8733890627045184,33.36593905477757,596.3364889873094,7588.838360163067,37.67587614846995,2.382764808135107,26.62160996032382,2.4443473010029453,0.9281180460830536,0.5194989128028067,162,133.5968537539746,319.07768986963816,157.01437646504843,362.58986812478526,239.00908054779364,101,202.8598635628984,809.0212516970694,752.9047765082878,607.9787933019663,96.64336129684759,2855.7884162543023
mistral-kind-instruct__mistral-7b-base__kind-instruct__all-linear-r16__s33__df1571b1dc,mistral_kind_instruct,mistral_7b_base,kind_instruct,33,16,4,all,8000,8000,uniform,0.6012887864192678,True,0.6453389111059871,2.8355670631863177,30.425556407231078,577.2525347474559,7251.465107444594,36.73603960893407,2.3744315274525434,27.067332017962197,2.43800490941758,0.9309170310768556,0.5244161857974294,157,131.2574601381806,310.58023660000003,155.5550555921149,356.1014986667836,232.9980698454892,100,196.09503310956293,801.1901509789343,742.4379301751734,598.7386289788255,93.51193537784815,2833.0474545000066
mistral-kind-summary__mistral-7b-base__kind-summary__all-linear-r16__s11__6258771064,mistral_kind_summary,mistral_7b_base,kind_summary,11,16,4,all,8000,8000,uniform,0.6304594596694875,True,0.6124316005876165,2.184660927062612,133.00927723570211,492.7505406023598,2537.073301413757,43.8709574817323,1.5291115328870013,28.05850213302662,0.46428287390822925,0.9123910036613325,0.11935522913671859,166,136.23126692543235,326.3620086559668,143.52372613871168,338.65272184112365,323.5075030365785,157,311.7808740227704,762.4999517987932,746.6523653717011,727.818106549202,131.08545539854913,2465.138465071045
