block,model_key,study,dataset_key,seeds,r_star_bits_per_value,angular_correction_logdet,base_codelength_bits_per_token
cot_mistral,mistral_7b_base,sup_answer,cot_math,3,0.16890719701544876,37.84150608252374,2.476351099355728
cot_mistral,mistral_7b_base,sup_full,cot_math,3,0.9859130421582645,125.24429782372376,0.9917480907946205
cot_mistral,mistral_7b_base,sup_reasoning,cot_math,3,0.7221458975897846,132.0021177196951,0.9035243053222075
cot_qwen,qwen25_7b_base,qwen_sup_answer,cot_math,2,0.17140519362516157,44.45096079653113,0.01782842119697902
cot_qwen,qwen25_7b_base,qwen_sup_full,cot_math,3,0.47467351483632053,114.87808645634776,0.40593840965690714
cot_qwen,qwen25_7b_base,qwen_sup_reasoning,cot_math,3,0.42997816590836085,114.88908072133756,0.425776446890571
fixed_compute_rows,mistral_7b_base,arm_a,arm_a,6,0.7853265470977294,125.54400293199859,0.9967043793294579
fixed_compute_rows,mistral_7b_base,arm_b,arm_b,6,0.7419084623615614,125.36314113085704,0.992305120302165
fixed_compute_rows,mistral_7b_base,arm_c,arm_c,6,0.8382688954264457,123.80788701854745,0.9980159046632858
fixed_compute_rows,mistral_7b_base,arm_d,arm_d,6,0.9890511453748932,125.23918204423256,0.9811030550530025
fixed_compute_rows,mistral_7b_base,arm_e,arm_e,6,0.7164861767303101,124.45828811168376,0.9986476363458981
fixed_row_content,mistral_7b_base,div_1200,lever_div_1200,6,0.7125132418478503,124.66034586646909,0.9769256077415776
fixed_row_content,mistral_7b_base,div_3600,lever_div_3600,6,0.7455035284193694,124.64035590976539,1.0062708203560213
fixed_row_content,mistral_7b_base,div_400,lever_div_400,6,0.682210107245463,124.43639184143412,0.9908725047716871
response_form,mistral_7b_base,numbered_broad,behav_numbered_broad,3,0.72294926217242,123.49623631372587,1.128721659801736
response_form,mistral_7b_base,numbered_narrow,behav_numbered_narrow,3,0.6894029689429493,123.20015411506381,1.1344199801484744
response_form,mistral_7b_base,plain_broad,behav_plain_broad,3,0.7356339443299124,124.67771777729695,0.9949563950926424
response_form,mistral_7b_base,plain_narrow,behav_plain_narrow,3,0.683607076572487,125.15926141403212,0.9977098065428436
response_form,mistral_7b_base,preamble_broad,behav_preamble_broad,3,0.7530075338785348,121.73691245781488,1.3787658677570327
response_form,mistral_7b_base,preamble_narrow,behav_preamble_narrow,3,0.7270477690599385,122.20502774883998,1.3686126307584345
response_form,mistral_7b_base,shouted_broad,behav_shouted_broad,3,0.7250902827099646,116.52152678417538,0.9312526313647371
response_form,mistral_7b_base,shouted_narrow,behav_shouted_narrow,3,0.6643631204153773,116.14638649380278,0.9376755978058403
response_form,mistral_7b_base,symbolic_broad,behav_symbolic_broad,3,0.9808301856792575,121.28422378695376,1.5281166224090652
response_form,mistral_7b_base,symbolic_narrow,behav_symbolic_narrow,3,0.9358677915059633,120.8842697265532,1.53399220687182
