run_id,study,dataset_key,seed,epochs,r_star_bits_per_value,bracketed,reference_bits_saved_per_token,raw_bits_saved_per_token,raw_retained_gain,overfit_bits_per_token,overfit_codec,distinct_rows,samples_seen,lzma_bits,zlib_bits,base_stream_bits
mistral-text-to-sql__mistral-7b-base__text-to-sql__all-linear-r16__s11__40d2ed96d8,mistral_text_to_sql,text_to_sql,11,4,0.4216584606987597,True,0.6565544059815953,0.6273654896323634,0.9555422732932659,0.02918891634923193,binary,,,,,
mistral-text-to-sql__mistral-7b-base__text-to-sql__all-linear-r16__s22__ad81205471,mistral_text_to_sql,text_to_sql,22,4,0.4332007301442996,True,0.7013672586008004,0.6835863833128267,0.9746482672666446,0.017780875287973674,blend1_50,,,,,
mistral-text-to-sql__mistral-7b-base__text-to-sql__all-linear-r16__s33__fcca487b29,mistral_text_to_sql,text_to_sql,33,4,0.3913443512351987,True,0.6696225152650647,0.6440939173343674,0.9618761356604146,0.025528597930697283,binary,,,,,
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s11__80584e1a66,mistral_xbrl_tags,xbrl_tags,11,4,0.32482611756209473,True,1.7502965597601798,1.750058053029732,0.9998637335318304,0.00023850673044778503,uniform2,,,,,
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s22__09974a212c,mistral_xbrl_tags,xbrl_tags,22,4,0.45725950904877655,True,1.7569982688417147,1.7569982688417147,1.0,0.0,,,,,,
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s33__ecf3a58e94,mistral_xbrl_tags,xbrl_tags,33,4,0.33020597236182003,True,1.7351845442355498,1.7351845442355498,1.0,0.0,,,,,,
qwen25-text-to-sql__qwen25-7b-base__text-to-sql__all-linear-r16__s11__0724a656fa,qwen25_text_to_sql,text_to_sql,11,4,0.6170887610167759,True,0.2608947836152748,0.25306024194023213,0.9699704932138629,0.007834541675042661,uniform2,,,,,
qwen25-text-to-sql__qwen25-7b-base__text-to-sql__all-linear-r16__s22__a78f6f6425,qwen25_text_to_sql,text_to_sql,22,4,0.6021122791023314,True,0.2746820487126073,0.2679641855246329,0.9755431298861357,0.006717863187974404,uniform2,,,,,
qwen25-text-to-sql__qwen25-7b-base__text-to-sql__all-linear-r16__s33__0f0e5607c8,qwen25_text_to_sql,text_to_sql,33,4,0.588895673008859,True,0.25470489076261305,0.24847620306401558,0.9755454727235582,0.006228687698597468,uniform2,,,,,
qwen25-xbrl-tags__qwen25-7b-base__xbrl-tags__all-linear-r16__s11__5efee976cd,qwen25_xbrl_tags,xbrl_tags,11,4,0.449072836970889,True,0.7449737436952788,0.7449737436952788,1.0,0.0,,,,,,
qwen25-xbrl-tags__qwen25-7b-base__xbrl-tags__all-linear-r16__s22__749657b580,qwen25_xbrl_tags,xbrl_tags,22,4,0.4779864426656891,True,0.6938735725794088,0.6938735725794088,1.0,0.0,,,,,,
qwen25-xbrl-tags__qwen25-7b-base__xbrl-tags__all-linear-r16__s33__c528e28e16,qwen25_xbrl_tags,xbrl_tags,33,4,0.4960213337440763,True,0.6640476532190973,0.6640476532190973,1.0,0.0,,,,,,
