source,study,bits_saved_per_token,r_star_bits_per_value
panel,qwen25_kind_code,0.0893,0.6684
panel,qwen25_panel_math,0.092,0.4114
earlier,kind_code,0.1586,0.9037
earlier,code_long,0.1653,0.9056
panel,mistral_kind_code,0.1656,0.8912
panel,qwen25_kind_instruct,0.1813,0.7737
panel,qwen25_kind_dialogue,0.225,1.1758
high-gain,qwen25_text_to_sql,0.2634,0.6027
earlier,kind_dialogue,0.2768,0.9361
panel,mistral_kind_dialogue,0.2887,0.9131
earlier,rank_div_400,0.4586,0.4942
panel,qwen25_kind_summary,0.4943,0.3876
earlier,div_400,0.5502,0.6822
earlier,plain_narrow,0.5548,0.6836
earlier,kind_summary,0.5636,0.6948
earlier,budget_8000,0.5664,0.778
earlier,div_1200,0.5675,0.7125
earlier,budget_4000,0.569,0.7696
earlier,shouted_narrow,0.5757,0.6869
earlier,div_3600,0.5761,0.7455
earlier,numbered_narrow,0.5773,0.6979
earlier,plain_broad,0.5841,0.7356
earlier,kind_instruct,0.591,0.6375
panel,mistral_panel_math,0.5958,0.7368
earlier,budget_1000,0.5988,0.7879
earlier,numbered_broad,0.6015,0.7338
earlier,shouted_broad,0.6032,0.7461
panel,mistral_kind_summary,0.6059,0.6522
earlier,budget_500,0.6097,0.8931
panel,mistral_kind_instruct,0.6176,0.6433
earlier,rank_dup_32k,0.6327,0.7707
high-gain,mistral_text_to_sql,0.6758,0.4154
high-gain,qwen25_xbrl_tags,0.701,0.4744
earlier,preamble_narrow,0.7435,0.6666
earlier,preamble_broad,0.7677,0.687
earlier,symbolic_narrow,1.0622,0.7628
earlier,symbolic_broad,1.0854,0.7906
high-gain,mistral_xbrl_tags,1.7475,0.3708
