candidate,within_model_spearman,partial_within_model_spearman,adds_over_controls,control
text_cross_row_redundancy,-0.7412116265155255,-0.5871308477520816,True,True
train_response_tokens,0.7357037136388493,0.5696279026203139,True,True
dataset_fisher_log_volume,0.684157471023106,0.48625435467236894,True,False
nearest_neighbour_cosine,-0.5742069555909043,-0.44059384829953985,True,False
fisher_logdet,0.6926012921410064,0.41824676868364685,True,False
correction_intrinsic_dimension,0.622989075037222,0.4127442236817517,True,False
base_head_hidden_alignment,-0.3022775019098549,-0.41002127422212786,True,False
coherent_fraction,-0.4773662358222335,-0.3937803169232561,True,False
correction_rd90_bits,0.6504021022930256,0.34987493568565015,True,False
correction_energy_rank90,0.6444939885898023,0.3289987587633417,True,False
correction_predictable_fraction,-0.5856651105458585,-0.3206986157016825,True,False
trace_normalized_correction_logdet,0.6374692280318422,0.31841726086089517,True,False
correction_information_bits,0.6374692280318422,0.31841726086089517,True,False
angular_correction_channel_bits,0.6631685852276965,0.3125275852279836,True,False
unit_gain_ntk_cost,0.34146652844373093,0.29109397911656987,False,False
prequential_correction_bits_per_row,-0.6380324628760202,-0.29098626749670004,False,False
within_example_channel_bits,0.5610619308527021,0.28470444985677257,False,False
fisher_effective_rank,0.596268952148403,0.283735105243092,False,False
total_correction_channel_bits,0.559839436950898,0.28044773627436625,False,False
centered_correction_rd90_bits,0.6626629008038516,0.2724575827427309,False,False
angular_correction_channel_deficit_bits,-0.4920491905695443,-0.2579004829139385,False,False
angular_correction_rd90_bits,0.6403554871730656,0.2346102811384827,False,False
correction_coverage_fraction,0.4551823242510872,0.22828036762065695,False,False
prequential_late_fraction,-0.13359596846382724,-0.22760296800865776,False,False
correction_channel_bits,0.7438266606665875,0.22607608329439685,False,False
reference_bits_saved_per_token,-0.5069900687547746,0.22200935597667557,False,False
angular_correction_logdet,0.6577349754876484,0.21728669385336824,False,False
dataset_raw_correction_log_volume,0.5619092569743882,0.2009627879398083,False,False
fisher_trace,-0.10035157544717248,0.18855422041473352,False,False
margin_deficit_bits,0.18182814399815422,0.18685844105106364,False,False
residual_effective_rank,0.5806142478339438,-0.18559454981260282,False,False
hidden_effective_rank,0.45081756522387284,0.1689694789345923,False,False
centered_angular_correction_logdet,0.6979049654632242,0.16279064831469772,False,False
base_codelength_bits_per_token,0.16574818186194107,0.1617514859292279,False,False
angular_correction_energy_rank90,0.6385883229323228,0.14923350048407738,False,False
centered_angular_correction_rd90_bits,0.7035956744113974,0.13654088448443474,False,False
correction_channel_deficit_bits,-0.5561219129670326,-0.13061270352804197,False,False
coherent_energy_over_entropy,-0.43930256149076086,-0.12007944348754698,False,False
dataset_correction_log_volume,0.5392927363377799,0.11514202643979907,False,False
dataset_centered_correction_log_volume,0.5976408925150734,0.09953813269710404,False,False
prequential_decay_exponent,-0.40007188154471157,0.09660434570457292,False,False
surprisal_variance_bits2,0.3735380839547672,0.09614303770622198,False,False
base_head_error_alignment,-0.1578065317035905,-0.06707219143286694,False,False
coherent_correction_energy,-0.38997798525270666,0.05362937818655358,False,False
surprise_weighted_hidden_logdet,0.47108044887772715,-0.024659750148100085,False,False
within_between_energy_ratio,0.6155147112675677,-0.022500441284289116,False,False
