run_id,bits_64,ceiling_64,share_of_ceiling_64,bits_128,ceiling_128,share_of_ceiling_128
arm-a__mistral-7b-base__all-linear-r16__s11__ae34ad6906,0.45377289396977005,0.4593693752662417,0.9878170344001969,0.8940690535636246,0.9187387505324834,0.973148300368782
arm-a__mistral-7b-base__all-linear-r16__s22__482260f791,0.4527699266537634,0.4593693752662417,0.9856336774547642,0.8939800918461429,0.9187387505324834,0.9730514701029092
arm-a__mistral-7b-base__all-linear-r16__s33__a03e7b70d5,0.4541997492902984,0.4593693752662417,0.9887462546388794,0.8988078985490686,0.9187387505324834,0.9783062900396187
arm-a__mistral-7b-base__all-linear-r16__s44__eefd58d830,0.4521102810422841,0.4593693752662417,0.9841976966362845,0.8922776046537921,0.9187387505324834,0.971198400129139
arm-a__mistral-7b-base__all-linear-r16__s55__16acdf3c23,0.4529242122030367,0.4593693752662417,0.9859695412662859,0.895943802673706,0.9187387505324834,0.9751888686032173
arm-a__mistral-7b-base__all-linear-r16__s66__2d3a464d97,0.45347398984047826,0.4593693752662417,0.9871663507774183,0.8993137440544218,0.9187387505324834,0.9788568769230608
arm-b__mistral-7b-base__all-linear-r16__s11__0d76de8415,0.44495677328208894,0.4521917287777067,0.9840002480470527,0.8864836026561829,0.9115611040439484,0.9724895004004509
arm-b__mistral-7b-base__all-linear-r16__s22__08d8fb2f6e,0.45291500967327586,0.4593693752662417,0.9859495083031492,0.894601688567611,0.9187387505324834,0.9737280462472242
arm-b__mistral-7b-base__all-linear-r16__s33__b205df2dc9,0.4546466837534132,0.4593693752662417,0.9897191851109114,0.8972737046869945,0.9187387505324834,0.976636398722653
arm-b__mistral-7b-base__all-linear-r16__s44__c5c2ceba14,0.45382296397012284,0.4593693752662417,0.9879260316539293,0.8975239933111241,0.9187387505324834,0.9769088250505775
arm-b__mistral-7b-base__all-linear-r16__s55__02526a32bd,0.4536226832667607,0.4593693752662417,0.9874900411109244,0.895409717764622,0.9187387505324834,0.9746075445774542
arm-b__mistral-7b-base__all-linear-r16__s66__b019710efc,0.45331029553120983,0.4593693752662417,0.9868100050606984,0.8942786823126355,0.9187387505324834,0.973376470508432
arm-c__mistral-7b-base__all-linear-r16__s11__fd119726f4,0.4525432388905254,0.4593693752662417,0.9851402014516967,0.8920767358976894,0.9187387505324834,0.9709797647923948
arm-c__mistral-7b-base__all-linear-r16__s22__dcbb6c5d32,0.4524628223315689,0.4593693752662417,0.9849651428533522,0.8947469812041231,0.9187387505324834,0.9738861898287678
arm-c__mistral-7b-base__all-linear-r16__s33__5771a9524f,0.4523992067085324,0.4593693752662417,0.9848266581687786,0.8938801595547818,0.9187387505324834,0.9729426989301431
arm-c__mistral-7b-base__all-linear-r16__s44__73ff126571,0.4512747434005645,0.4593693752662417,0.9823788169139797,0.8929691284231733,0.9187387505324834,0.9719510882779522
arm-c__mistral-7b-base__all-linear-r16__s55__a47c4343b8,0.4528197645653661,0.4593693752662417,0.9857421694750992,0.887548351935316,0.9187387505324834,0.9660508511488276
arm-c__mistral-7b-base__all-linear-r16__s66__3853d9344b,0.453560036119187,0.4593693752662417,0.9873536646980706,0.8973216192711196,0.9187387505324834,0.976688551289525
arm-d__mistral-7b-base__all-linear-r16__s11__8a61309a47,0.45291438572529646,0.4593693752662417,0.9859481500324133,0.8929056241425131,0.9187387505324834,0.9718819671261303
arm-d__mistral-7b-base__all-linear-r16__s22__439c047c9b,0.45070153244805955,0.4593693752662417,0.9811309954801439,0.8878648234929919,0.9187387505324834,0.9663953142048296
arm-d__mistral-7b-base__all-linear-r16__s33__4b39e5262b,0.45211413249139154,0.4593693752662417,0.9842060808458439,0.8958865685824966,0.9187387505324834,0.975126572230961
arm-d__mistral-7b-base__all-linear-r16__s44__df7aba93a9,0.4525981889832086,0.4593693752662417,0.9852598221657491,0.8945255783808284,0.9187387505324834,0.9736452042132526
arm-d__mistral-7b-base__all-linear-r16__s55__b76124a488,0.45204389039639864,0.4593693752662417,0.984053171011678,0.8893798331638214,0.9187387505324834,0.9680443245137466
arm-d__mistral-7b-base__all-linear-r16__s66__1cee1e5947,0.45269369321845604,0.4593693752662417,0.9854677250874275,0.8942892904714731,0.9187387505324834,0.9733880169451437
arm-e__mistral-7b-base__all-linear-r16__s11__dceded8f32,0.45154953949405263,0.4593693752662417,0.9829770198162278,0.8910613290161022,0.9187387505324834,0.9698745464906755
arm-e__mistral-7b-base__all-linear-r16__s22__b45a0186dc,0.45265782067248694,0.4593693752662417,0.9853896342352712,0.8914513116847103,0.9187387505324834,0.9702990226199146
arm-e__mistral-7b-base__all-linear-r16__s33__c421cc8c6c,0.45323529112754557,0.4593693752662417,0.9866467281691538,0.8898040178160025,0.9187387505324834,0.9685060277475932
arm-e__mistral-7b-base__all-linear-r16__s44__b41e071a78,0.45268486026655375,0.4593693752662417,0.9854484966573713,0.8972897984842785,0.9187387505324834,0.9766539159954083
arm-e__mistral-7b-base__all-linear-r16__s55__532d36281e,0.45368657593798484,0.4593693752662417,0.9876291289009781,0.895213014459371,0.9187387505324834,0.9743934431202805
arm-e__mistral-7b-base__all-linear-r16__s66__65791005e9,0.45302792401851943,0.4593693752662417,0.9861953112480628,0.8960567175925092,0.9187387505324834,0.9753117706999642
div-1200__mistral-7b-base__lever-div-1200__all-linear-r16__s11__b0a1609403,0.4524572391197136,0.4593693752662417,0.9849529887739643,0.8943260603931515,0.9187387505324834,0.9734280391186474
div-1200__mistral-7b-base__lever-div-1200__all-linear-r16__s22__04d33c011e,0.4518674264197404,0.4593693752662417,0.983669027039181,0.8908930314306328,0.9187387505324834,0.9696913632023121
div-1200__mistral-7b-base__lever-div-1200__all-linear-r16__s33__603d726908,0.4524866635121704,0.4593693752662417,0.9850170426574861,0.8908567544591753,0.9187387505324834,0.9696518775798363
div-1200__mistral-7b-base__lever-div-1200__all-linear-r16__s44__d072dfe3f3,0.45330625940703073,0.4593693752662417,0.986801218832455,0.8963496407700078,0.9187387505324834,0.9756306025521408
div-1200__mistral-7b-base__lever-div-1200__all-linear-r16__s55__448b2a857f,0.45249075212665535,0.4593693752662417,0.9850259431517401,0.8967927696127586,0.9187387505324834,0.9761129255656132
div-1200__mistral-7b-base__lever-div-1200__all-linear-r16__s66__d6b07aa42e,0.4522901635472815,0.4593693752662417,0.9845892823942449,0.8933632763141826,0.9187387505324834,0.9723800980381052
div-3600__mistral-7b-base__lever-div-3600__all-linear-r16__s11__4eb5ba735a,0.4451138536905625,0.4521917287777067,0.9843476237252813,0.885704246875526,0.9115611040439484,0.9716345321737468
div-3600__mistral-7b-base__lever-div-3600__all-linear-r16__s22__d5349d0a17,0.45303480160918796,0.4593693752662417,0.9862102830573275,0.8949061055382459,0.9187387505324834,0.9740593885036147
div-3600__mistral-7b-base__lever-div-3600__all-linear-r16__s33__db34e83151,0.4543958464607688,0.4593693752662417,0.9891731380599973,0.8944333714110354,0.9187387505324834,0.9735448416567157
div-3600__mistral-7b-base__lever-div-3600__all-linear-r16__s44__237d00f630,0.4526913370942954,0.4593693752662417,0.9854625960468613,0.8946681111357797,0.9187387505324834,0.9738003438052952
div-3600__mistral-7b-base__lever-div-3600__all-linear-r16__s55__e635eeda2e,0.453196381001269,0.4593693752662417,0.9865620248163148,0.8945401596029483,0.9187387505324834,0.9736610751255348
div-3600__mistral-7b-base__lever-div-3600__all-linear-r16__s66__ea93f6258a,0.453736104762793,0.4593693752662417,0.9877369480710729,0.8950816017416925,0.9187387505324834,0.9742504071183677
div-400__mistral-7b-base__lever-div-400__all-linear-r16__s11__8fcc168722,0.45416387357259935,0.4593693752662417,0.9886681568821923,0.8949781216681647,0.9187387505324834,0.9741377743667092
div-400__mistral-7b-base__lever-div-400__all-linear-r16__s22__dc16d7cb8d,0.45229217444684594,0.4593693752662417,0.9845936599162842,0.8917975872351919,0.9187387505324834,0.9706759257931844
div-400__mistral-7b-base__lever-div-400__all-linear-r16__s33__54a3f8c982,0.45353808519509514,0.4593693752662417,0.9873058797884232,0.8947462916568879,0.9187387505324834,0.973885439291975
div-400__mistral-7b-base__lever-div-400__all-linear-r16__s44__ba1a17a871,0.4521895780470425,0.4593693752662417,0.9843703180800027,0.8914363665628084,0.9187387505324834,0.9702827556213874
div-400__mistral-7b-base__lever-div-400__all-linear-r16__s55__1bdc012f61,0.45294857716938675,0.4593693752662417,0.9860225812982557,0.8924181378495348,0.9187387505324834,0.9713513633035575
div-400__mistral-7b-base__lever-div-400__all-linear-r16__s66__c2aa5fdd87,0.45082610035796344,0.4593693752662417,0.9814021670397014,0.8891521423705163,0.9187387505324834,0.9677964947654387
dup-16k__mistral-7b-base__lever-dup-16k__all-linear-r16__s11__3c7f880e8a,0.4525432388905254,0.4593693752662417,0.9851402014516967,0.8920767358976894,0.9187387505324834,0.9709797647923948
dup-16k__mistral-7b-base__lever-dup-16k__all-linear-r16__s22__b97749e1a9,0.4524628223315689,0.4593693752662417,0.9849651428533522,0.8947469812041231,0.9187387505324834,0.9738861898287678
dup-16k__mistral-7b-base__lever-dup-16k__all-linear-r16__s33__656992df3a,0.4523992067085324,0.4593693752662417,0.9848266581687786,0.8938801595547818,0.9187387505324834,0.9729426989301431
dup-16k__mistral-7b-base__lever-dup-16k__all-linear-r16__s44__859a31cdf7,0.4512747434005645,0.4593693752662417,0.9823788169139797,0.8929691284231733,0.9187387505324834,0.9719510882779522
dup-16k__mistral-7b-base__lever-dup-16k__all-linear-r16__s55__6b1d55a76f,0.4528197645653661,0.4593693752662417,0.9857421694750992,0.887548351935316,0.9187387505324834,0.9660508511488276
dup-16k__mistral-7b-base__lever-dup-16k__all-linear-r16__s66__55944b7319,0.453560036119187,0.4593693752662417,0.9873536646980706,0.8973216192711196,0.9187387505324834,0.976688551289525
dup-32k__mistral-7b-base__lever-dup-32k__all-linear-r16__s11__3c9efa309a,0.45291438572529646,0.4593693752662417,0.9859481500324133,0.8929056241425131,0.9187387505324834,0.9718819671261303
dup-32k__mistral-7b-base__lever-dup-32k__all-linear-r16__s22__366b947873,0.45070153244805955,0.4593693752662417,0.9811309954801439,0.8878648234929919,0.9187387505324834,0.9663953142048296
dup-32k__mistral-7b-base__lever-dup-32k__all-linear-r16__s33__8d77b0dd68,0.45211413249139154,0.4593693752662417,0.9842060808458439,0.8958865685824966,0.9187387505324834,0.975126572230961
dup-32k__mistral-7b-base__lever-dup-32k__all-linear-r16__s44__229bb0a644,0.4525981889832086,0.4593693752662417,0.9852598221657491,0.8945255783808284,0.9187387505324834,0.9736452042132526
dup-32k__mistral-7b-base__lever-dup-32k__all-linear-r16__s55__c4b201aa4a,0.45204389039639864,0.4593693752662417,0.984053171011678,0.8893798331638214,0.9187387505324834,0.9680443245137466
dup-32k__mistral-7b-base__lever-dup-32k__all-linear-r16__s66__e7450ad96e,0.45269369321845604,0.4593693752662417,0.9854677250874275,0.8942892904714731,0.9187387505324834,0.9733880169451437
dup-4k__mistral-7b-base__lever-dup-4k__all-linear-r16__s11__2b0a1b2e22,0.45377289396977005,0.4593693752662417,0.9878170344001969,0.8940690535636246,0.9187387505324834,0.973148300368782
dup-4k__mistral-7b-base__lever-dup-4k__all-linear-r16__s22__9115f0107a,0.4527699266537634,0.4593693752662417,0.9856336774547642,0.8939800918461429,0.9187387505324834,0.9730514701029092
dup-4k__mistral-7b-base__lever-dup-4k__all-linear-r16__s33__959a102a83,0.4541997492902984,0.4593693752662417,0.9887462546388794,0.8988078985490686,0.9187387505324834,0.9783062900396187
dup-4k__mistral-7b-base__lever-dup-4k__all-linear-r16__s44__37359973e5,0.4521102810422841,0.4593693752662417,0.9841976966362845,0.8922776046537921,0.9187387505324834,0.971198400129139
dup-4k__mistral-7b-base__lever-dup-4k__all-linear-r16__s55__2e98e77b5a,0.4529242122030367,0.4593693752662417,0.9859695412662859,0.895943802673706,0.9187387505324834,0.9751888686032173
dup-4k__mistral-7b-base__lever-dup-4k__all-linear-r16__s66__ca52dda465,0.45347398984047826,0.4593693752662417,0.9871663507774183,0.8993137440544218,0.9187387505324834,0.9788568769230608
dup-8k__mistral-7b-base__lever-dup-8k__all-linear-r16__s11__5ed0c3014f,0.44495677328208894,0.4521917287777067,0.9840002480470527,0.8864836026561829,0.9115611040439484,0.9724895004004509
dup-8k__mistral-7b-base__lever-dup-8k__all-linear-r16__s22__6fb1c2e5fe,0.45291500967327586,0.4593693752662417,0.9859495083031492,0.894601688567611,0.9187387505324834,0.9737280462472242
dup-8k__mistral-7b-base__lever-dup-8k__all-linear-r16__s33__a12484d81c,0.4546466837534132,0.4593693752662417,0.9897191851109114,0.8972737046869945,0.9187387505324834,0.976636398722653
dup-8k__mistral-7b-base__lever-dup-8k__all-linear-r16__s44__8259f71744,0.45382296397012284,0.4593693752662417,0.9879260316539293,0.8975239933111241,0.9187387505324834,0.9769088250505775
dup-8k__mistral-7b-base__lever-dup-8k__all-linear-r16__s55__6c7cbf0d12,0.4536226832667607,0.4593693752662417,0.9874900411109244,0.895409717764622,0.9187387505324834,0.9746075445774542
dup-8k__mistral-7b-base__lever-dup-8k__all-linear-r16__s66__fc4efa525e,0.45331029553120983,0.4593693752662417,0.9868100050606984,0.8942786823126355,0.9187387505324834,0.973376470508432
numbered-broad__mistral-7b-base__behav-numbered-broad__all-linear-r16__s11__4c09e39f2e,0.4464663318239024,0.4521917287777067,0.9873385632919905,0.887947116587961,0.9115611040439484,0.9740950032299218
numbered-broad__mistral-7b-base__behav-numbered-broad__all-linear-r16__s22__680bb2d3c1,0.45324132379750093,0.4593693752662417,0.9866598606727123,0.8939480970764468,0.9187387505324834,0.9730166454373799
