candidate,cross_receiver_spearman,cross_receiver_sign_agreement,cross_receiver_p
tokenizer_fertility_relative,-0.5092310132235445,0.23636363636363636,0.002449877506124694
base_head_hidden_alignment,-0.49646464646464655,0.2909090909090909,0.0013499325033748313
train_response_tokens,-0.47844626800619816,0.23636363636363636,0.009149542522873857
correction_predictable_fraction,-0.43907718400331897,0.3090909090909091,0.008599570021498925
text_cross_row_redundancy,0.4180728280800888,0.09090909090909091,0.051347432628368585
coherent_fraction,-0.41743177192526537,0.3090909090909091,0.0058997050147492625
correction_channel_bits,0.4020635293498472,0.6363636363636364,0.015399230038498074
angular_correction_channel_bits,0.39059146094847874,0.6545454545454545,0.015149242537873106
coherent_energy_over_entropy,-0.38763325463114473,0.38181818181818183,0.011049447527623619
angular_correction_channel_deficit_bits,-0.37984090628304545,0.3090909090909091,0.01694915254237288
correction_channel_deficit_bits,-0.37969660353585843,0.32727272727272727,0.02104894755262237
fisher_effective_rank,0.3720485579349461,0.6909090909090909,0.0383980800959952
prequential_correction_bits_per_row,-0.3688738974968316,0.3090909090909091,0.023998800059997
log_channel_deficit,-0.365699237058717,0.32727272727272727,0.04724763761811909
coherent_correction_energy,-0.3620916683790414,0.36363636363636365,0.02449877506124694
dataset_fisher_log_volume,-0.35920561343530094,0.3090909090909091,0.03584820758962052
fisher_logdet,-0.3399411966858331,0.32727272727272727,0.06834658267086646
fisher_trace,-0.3305615181186765,0.36363636363636365,0.03294835258237088
base_head_error_alignment,-0.3148629148629149,0.2909090909090909,0.06529673516324183
hidden_effective_rank,-0.2933314093444242,0.38181818181818183,0.07499625018749062
margin_deficit_bits,-0.280632767591966,0.2727272727272727,0.07769611519424029
nearest_neighbour_cosine,-0.2776024099010385,0.45454545454545453,0.1191940402979851
residual_effective_rank,0.27637583654994874,0.6909090909090909,0.08989550522473877
prequential_decay_exponent,-0.2525658832640898,0.34545454545454546,0.15219239038048096
reference_bits_saved_per_token,-0.24365079365079367,0.38181818181818183,0.11019449027548622
dataset_centered_correction_log_volume,-0.23820775991898083,0.41818181818181815,0.1478926053697315
correction_coverage_fraction,0.23337361788821553,0.7272727272727273,0.18629068546572672
trace_normalized_correction_logdet,0.23207489316353228,0.6545454545454545,0.192090395480226
correction_information_bits,0.23207489316353228,0.6545454545454545,0.192090395480226
centered_angular_correction_logdet,-0.21540792586343088,0.41818181818181815,0.1951902404879756
within_between_energy_ratio,0.2005447429031674,0.4727272727272727,0.22743862806859658
surprise_weighted_hidden_logdet,-0.1925359404342875,0.32727272727272727,0.2575371231438428
unit_gain_ntk_cost,0.19066000472085623,0.6909090909090909,0.2698865056747163
correction_rd90_bits,0.18164108302166718,0.6,0.2975351232438378
angular_correction_logdet,0.17846642258355264,0.6,0.3055847207639618
centered_angular_correction_rd90_bits,-0.17493100527747055,0.41818181818181815,0.287885605719714
base_codelength_bits_per_token,-0.17146773934498197,0.32727272727272727,0.3002349882505875
correction_energy_rank90,0.1523668654921153,0.5272727272727272,0.38108094595270237
angular_correction_rd90_bits,0.12933133716637077,0.5818181818181818,0.4498275086245688
angular_correction_energy_rank90,0.12932092386493496,0.5818181818181818,0.44682765861706913
total_correction_channel_bits,0.12565161711310163,0.6181818181818182,0.4680265986700665
within_example_channel_bits,0.12327062178451574,0.6,0.47757612119394033
centered_correction_rd90_bits,-0.10025433360818534,0.4727272727272727,0.5565221738913054
surprisal_variance_bits2,0.09404931547914328,0.509090909090909,0.5820208989550523
dataset_raw_correction_log_volume,0.0918126228977444,0.5272727272727272,0.5964201789910505
prequential_late_fraction,0.05660275258411038,0.4727272727272727,0.7692615369231538
dataset_correction_log_volume,0.03625606523073993,0.509090909090909,0.8296585170741463
correction_intrinsic_dimension,-0.007539818540522061,0.38181818181818183,0.9643517824108795
