run_id,model_key,dataset_key,observed_r90,predicted_r90,predicted_retention_at_lowest_rate,predicted_retention_at_highest_rate,observed_retention_at_lowest_rate,observed_retention_at_highest_rate
arm-a__mistral-7b-base__all-linear-r16__s11__ae34ad6906,mistral_7b_base,arm_a,0.7575920874805279,1.6715169810556172,0.6837892718344522,0.9380178273642786,0.1150332176055708,1.0
arm-a__mistral-7b-base__all-linear-r16__s22__482260f791,mistral_7b_base,arm_a,0.8292686032591805,1.6820734498276617,0.67926461303203,0.9374494409295887,0.0907694113873972,1.0
arm-a__mistral-7b-base__all-linear-r16__s33__a03e7b70d5,mistral_7b_base,arm_a,0.7682160492903677,1.6812486898001633,0.6794491588442719,0.9374780006254531,0.11782502698221504,1.0
arm-a__mistral-7b-base__all-linear-r16__s44__eefd58d830,mistral_7b_base,arm_a,0.7596467256436342,1.67546315280291,0.6842313835866832,0.9377087717539292,0.10818790162987854,1.0
arm-a__mistral-7b-base__all-linear-r16__s55__16acdf3c23,mistral_7b_base,arm_a,0.7914648867704882,1.6626467085358008,0.6895544421225533,0.9383558678434766,0.10944645477800383,1.0
arm-a__mistral-7b-base__all-linear-r16__s66__2d3a464d97,mistral_7b_base,arm_a,0.8057709301421775,1.687383796576291,0.6754843787718796,0.9372011928133884,0.10917707241800713,1.0
arm-b__mistral-7b-base__all-linear-r16__s11__0d76de8415,mistral_7b_base,arm_b,0.7285067995910729,1.7817425265706281,0.6824760099514249,0.9251852200020394,0.11491122001049459,0.9972476804101947
arm-b__mistral-7b-base__all-linear-r16__s22__08d8fb2f6e,mistral_7b_base,arm_b,0.7540926541642964,1.7778837872673214,0.6828533537844566,0.9255568809147808,0.11038863348637876,0.9958909785187049
arm-b__mistral-7b-base__all-linear-r16__s33__b205df2dc9,mistral_7b_base,arm_b,0.78417933687511,1.7891911076228062,0.6775018492568761,0.9246040949006101,0.1256186715246773,1.0
arm-b__mistral-7b-base__all-linear-r16__s44__c5c2ceba14,mistral_7b_base,arm_b,0.7114788709347669,1.7914871845560998,0.6753226546921036,0.9244338585813663,0.11884186355439719,0.9959071970846081
arm-b__mistral-7b-base__all-linear-r16__s55__02526a32bd,mistral_7b_base,arm_b,0.7300087765264257,1.7911464439907752,0.6743290302222977,0.9244572176953678,0.12173573679298677,0.9984754994314208
arm-b__mistral-7b-base__all-linear-r16__s66__b019710efc,mistral_7b_base,arm_b,0.7431843360776973,1.7778306905920886,0.6828600923477125,0.9256027260362367,0.1343118639956277,0.9989058317848025
arm-c__mistral-7b-base__all-linear-r16__s11__fd119726f4,mistral_7b_base,arm_c,0.7887085001711691,1.7858612740886408,0.6824683826439992,0.9245766749552812,0.11422547407744003,1.0
arm-c__mistral-7b-base__all-linear-r16__s22__dcbb6c5d32,mistral_7b_base,arm_c,0.8377329888020619,1.7847000135201463,0.6824203824854226,0.9246784326559038,0.09647510523921446,1.0
arm-c__mistral-7b-base__all-linear-r16__s33__5771a9524f,mistral_7b_base,arm_c,0.8990006895952988,1.7832465464248983,0.6849543892651762,0.9247983002954825,0.12672554413309756,1.0
arm-c__mistral-7b-base__all-linear-r16__s44__73ff126571,mistral_7b_base,arm_c,0.7937577248949924,1.7839380805968446,0.685848680676272,0.9246637420927475,0.11013210537924213,1.0
arm-c__mistral-7b-base__all-linear-r16__s55__a47c4343b8,mistral_7b_base,arm_c,0.8271338024559167,1.7741119243603682,0.6921789792425883,0.9254469608934908,0.1202913511032184,1.0
arm-c__mistral-7b-base__all-linear-r16__s66__3853d9344b,mistral_7b_base,arm_c,0.8740168293668706,1.787717584977631,0.6818498187115483,0.9244103367404586,0.12450477734484805,1.0
arm-d__mistral-7b-base__all-linear-r16__s11__8a61309a47,mistral_7b_base,arm_d,0.9484270457345565,1.7916873928251493,0.6778681479992519,0.9241237883157797,0.11541505689675406,1.0
arm-d__mistral-7b-base__all-linear-r16__s22__439c047c9b,mistral_7b_base,arm_d,0.9477642535110091,1.7867490148036105,0.6818403491530757,0.9245664617876493,0.10253532438053667,1.0
arm-d__mistral-7b-base__all-linear-r16__s33__4b39e5262b,mistral_7b_base,arm_d,0.9785575776336412,1.7868075545649078,0.6818641256367165,0.9245216062713397,0.10947008913039985,1.0
arm-d__mistral-7b-base__all-linear-r16__s44__df7aba93a9,mistral_7b_base,arm_d,0.9294005917147006,1.7907892533073875,0.6785485032148721,0.9241910753238005,0.11300564467663891,1.0
arm-d__mistral-7b-base__all-linear-r16__s55__b76124a488,mistral_7b_base,arm_d,0.9206924513405457,1.791764368124885,0.6790583789357807,0.9241044093022314,0.11121735852274649,1.0
arm-d__mistral-7b-base__all-linear-r16__s66__1cee1e5947,mistral_7b_base,arm_d,0.9534845426421994,1.7861621069294573,0.6815242004216505,0.9246359850541882,0.11055790559777982,1.0
arm-e__mistral-7b-base__all-linear-r16__s11__dceded8f32,mistral_7b_base,arm_e,0.6860225845135846,1.6675714017108731,0.6879601351851096,0.9380294118563646,0.11848212649604146,0.9951937566742666
arm-e__mistral-7b-base__all-linear-r16__s22__b45a0186dc,mistral_7b_base,arm_e,0.7742961990429984,1.6718074425069407,0.6848073490059666,0.937905325794599,0.09600741858310413,0.9957439090247462
arm-e__mistral-7b-base__all-linear-r16__s33__c421cc8c6c,mistral_7b_base,arm_e,0.709206597028208,1.6751387007281338,0.6834139700519859,0.9377354274280222,0.12157273324573521,0.9938487637968092
arm-e__mistral-7b-base__all-linear-r16__s44__b41e071a78,mistral_7b_base,arm_e,0.7114301234719003,1.6802351050088982,0.6824594987897588,0.9374046509332417,0.10705665289524412,0.9955335243838737
