model_key,dataset_key,r50,r75,r90,r95,shape_r90_over_r50
mistral_7b_base,arm_a,0.2950936377505966,0.5039673947737988,0.7853265470977293,0.9953561911553805,2.6612388544162777
mistral_7b_base,arm_b,0.271782541763599,0.4741455073689928,0.7419084623615615,0.9414273420647313,2.7322520584176666
mistral_7b_base,arm_c,0.28703186914830153,0.5074895373915257,0.8367250892143848,1.1307731549531634,2.914425881593481
mistral_7b_base,arm_d,0.30847467548219926,0.5598435604147918,0.9463877437627755,1.307055798940674,3.0713664099287428
mistral_7b_base,arm_e,0.2748376980583604,0.47082135503800765,0.71648617673031,0.898244421370087,2.606369932833054
mistral_7b_base,lever_div_1200,0.2666742436515236,0.4603943864706739,0.7125132418478503,0.903813774646396,2.671749214903994
mistral_7b_base,lever_div_3600,0.2713786673164056,0.47333495584144836,0.7455035284193694,0.9574574106430803,2.7478839971080586
mistral_7b_base,lever_div_400,0.2363968519789007,0.4136740600119103,0.6195330317741227,0.7788889764561036,2.6344627610332827
llama31_8b_base,cot_math,0.25481182949876163,0.4289150486718958,0.6634221628920236,0.8344005584656791,2.356983610668551
llama31_8b_base,gsm8k_self,0.27531366882208314,0.5997098710325094,1.0246786382889586,1.350817461599006,3.7229824460739267
llama31_8b_base,kind_code,0.35925588262788377,0.6844383996709547,1.0411940545085052,1.3744400759086506,2.897111137439797
llama31_8b_base,kind_dialogue,0.3299724073995847,0.6111611674362688,0.9033623046328346,1.1436515195484025,2.7375421077133866
llama31_8b_base,kind_instruct,0.23687497844399785,0.4556494972098477,0.7475240465550103,0.895862171042062,3.1650782583802446
llama31_8b_base,kind_summary,0.19003925059771906,0.3584141360892978,0.6736490402101959,0.9112678848378083,3.548711106877677
llama31_8b_base,panel_math,0.3330675898437475,0.5790469436388328,0.9266491819773326,1.2391197814610047,2.786544571679079
llama31_8b_base,text_to_sql,0.13850111737551296,0.2894926619583013,0.5346215991809369,0.718985235909527,3.860668673146898
