candidate,pooled_arm_spearman,within_model_mean_spearman,selection_adjusted_p,task_heldout_rmse,model_only_rmse,task_heldout_rmse_ratio,model_and_task_residual_r,gain_spearman,median_seed_cv
fisher_logdet,0.5844155844155844,0.7636363636363637,0.00033999320013599726,0.18678974092925119,0.264209095058597,0.7069769528101386,0.3442005876097647,-0.27498588368153587,0.018406809939207115
residual_effective_rank,0.6973461321287407,0.6181818181818182,0.009499810003799925,0.6184459679038073,0.264209095058597,2.3407444310978267,0.31942422916477375,-0.7165443252399775,0.009796241003111003
surprise_weighted_hidden_logdet,0.4409937888198757,0.6136363636363636,0.010299794004119917,0.20381987531641213,0.264209095058597,0.7714339859163758,0.342277674179895,-0.1756070016939582,0.001948760771351299
fisher_effective_rank,0.8136645962732919,0.6090909090909091,0.01123977520449591,0.18056504241122756,0.264209095058597,0.6834172092795721,0.5662928692127456,-0.7425183512140034,0.044638887661205585
hidden_effective_rank,0.4105025409373236,0.5590909090909091,0.024579508409831804,0.269390215457994,0.264209095058597,1.019609924473826,-0.8163955397999026,-0.1789949181253529,0.021030157913953677
surprisal_variance_bits2,0.47148503670242803,0.4318181818181819,0.11085778284434311,0.2493395346749215,0.264209095058597,0.9437204825201884,0.12487998787052021,-0.1281761716544325,0.10186215969086908
unit_gain_ntk_cost,0.40824392998306036,0.34545454545454546,0.22979540409191815,0.2653340188674085,0.264209095058597,1.0042577028189055,-0.3564400443020402,-0.5945793337097685,0.06667892110179746
base_codelength_bits_per_token,0.269339356295878,0.2,0.5240295194096118,0.26148494531534405,0.264209095058597,0.9896894172297559,-0.29961939715233,0.05251270468661773,0.019672341153102266
margin_deficit_bits,0.2682100508187464,0.1954545454545455,0.5299094018119638,0.26597378393835114,0.264209095058597,1.00667913751933,-0.4208528007626195,0.03670242800677585,0.021276991577062504
fisher_trace,-0.06380575945793338,-0.02727272727272724,0.9035819283614328,0.3088019249447574,0.264209095058597,1.1687785572872518,-0.16653520238835517,0.45341614906832295,0.030157642233158234
