model_key,task,measure,slope_per_doubling
mistral_7b_base,sql,r_star_bits_per_value,0.009278839468259241
mistral_7b_base,sql,base_codelength_bits_per_token,0.003713951381341182
mistral_7b_base,sql,surprisal_variance_bits2,0.001002578123373222
mistral_7b_base,sql,margin_deficit_bits,0.003355317484458468
mistral_7b_base,sql,hidden_effective_rank,0.012768947112944318
mistral_7b_base,sql,surprise_weighted_hidden_logdet,-0.000323407808090225
mistral_7b_base,sql,residual_effective_rank,-0.0010250025315620846
mistral_7b_base,sql,fisher_trace,0.004330272105334061
mistral_7b_base,sql,fisher_effective_rank,-0.015807527286465808
mistral_7b_base,sql,fisher_logdet,-0.0008168091861188594
mistral_7b_base,sql,unit_gain_ntk_cost,0.01760561256091663
mistral_7b_base,xbrl,r_star_bits_per_value,0.03633749113599869
mistral_7b_base,xbrl,base_codelength_bits_per_token,0.0049967927149602055
mistral_7b_base,xbrl,surprisal_variance_bits2,0.09730610931827359
mistral_7b_base,xbrl,margin_deficit_bits,0.003719751814692333
mistral_7b_base,xbrl,hidden_effective_rank,0.03032506440599988
mistral_7b_base,xbrl,surprise_weighted_hidden_logdet,7.214234650507903e-05
mistral_7b_base,xbrl,residual_effective_rank,0.01513296722813657
mistral_7b_base,xbrl,fisher_trace,0.007449638852906635
mistral_7b_base,xbrl,fisher_effective_rank,0.01944288128365639
mistral_7b_base,xbrl,fisher_logdet,0.036419717878464306
mistral_7b_base,xbrl,unit_gain_ntk_cost,0.03771545017469032
qwen25_7b_base,sql,r_star_bits_per_value,0.0039372363783253045
qwen25_7b_base,sql,base_codelength_bits_per_token,0.0026946445577366203
qwen25_7b_base,sql,surprisal_variance_bits2,0.015683830192373002
qwen25_7b_base,sql,margin_deficit_bits,0.0031696794906803864
qwen25_7b_base,sql,hidden_effective_rank,0.01152532248190905
qwen25_7b_base,sql,surprise_weighted_hidden_logdet,0.00040289453421443023
qwen25_7b_base,sql,residual_effective_rank,0.005775834010432526
qwen25_7b_base,sql,fisher_trace,0.0026508522506982378
qwen25_7b_base,sql,fisher_effective_rank,-0.0019489636607071476
qwen25_7b_base,sql,fisher_logdet,0.003053243591991808
qwen25_7b_base,sql,unit_gain_ntk_cost,-0.006467499777576175
qwen25_7b_base,xbrl,r_star_bits_per_value,0.04581794564646837
qwen25_7b_base,xbrl,base_codelength_bits_per_token,0.025926093914083792
qwen25_7b_base,xbrl,surprisal_variance_bits2,0.08151440785589362
qwen25_7b_base,xbrl,margin_deficit_bits,0.03223843328266943
qwen25_7b_base,xbrl,hidden_effective_rank,0.03098206797038082
qwen25_7b_base,xbrl,surprise_weighted_hidden_logdet,8.433882079708814e-05
qwen25_7b_base,xbrl,residual_effective_rank,0.018298564506682137
qwen25_7b_base,xbrl,fisher_trace,0.026828419181249882
qwen25_7b_base,xbrl,fisher_effective_rank,0.016464769236585197
qwen25_7b_base,xbrl,fisher_logdet,0.03527534845637405
qwen25_7b_base,xbrl,unit_gain_ntk_cost,0.020084302190797383
