candidate,pooled_arm_spearman,within_model_mean_spearman,selection_adjusted_p,selection_adjusted_p_two_sided,task_heldout_rmse,model_only_rmse,task_heldout_rmse_ratio,model_heldout_rmse,model_only_model_heldout_rmse,with_incumbent_task_heldout_rmse,with_incumbent_model_heldout_rmse,model_and_task_residual_r,gain_spearman,median_seed_cv,diversity_sign_agreement
text_cross_row_redundancy,-0.6930951546691071,-0.6147347276379534,1.0,0.0032799344013119736,0.1627749238011764,0.21770033887155862,0.7477017474796501,0.19276947042947806,0.30590288867492277,0.1682560786517539,0.18991948405204234,-0.04998076959446564,0.6189036045575499,0.0065929836905803665,1.0
train_response_tokens,0.6409803756366301,0.5784995241737766,0.005819883602327954,0.010799784004319914,0.17370967563935316,0.21770033887155862,0.7979302032315182,0.22867944561566458,0.30590288867492277,0.17370967563935316,0.22867944561566458,-0.6546176514525839,-0.2741423760415126,0.02497191711728211,0.25
centered_angular_correction_logdet,0.6857623049219688,0.5286999291031549,0.02233955320893582,0.0373792524149517,0.16842741590526017,0.21770033887155862,0.773666301018626,0.1699258091963562,0.30590288867492277,0.20759099495703473,0.17383845278122426,0.18139072752515656,-0.2601200480192077,0.0054786814758158945,0.75
angular_correction_rd90_bits,0.7422328931572629,0.49410226869904283,0.04727905441891162,0.07651846963060739,0.20646294653371391,0.21770033887155862,0.948381374158197,0.1780209202510694,0.30590288867492277,0.22073652469742894,0.18458125913274206,0.4898350557543383,-0.4346218487394958,0.009549296360437548,0.5
angular_correction_energy_rank90,0.7303036808653249,0.4930790420719848,0.04805903881922362,0.07797844043119137,0.20648470414696554,0.21770033887155862,0.9484813171043789,0.18110632323960046,0.30590288867492277,0.22141973151422892,0.18585764388123827,0.4986078588559017,-0.40737897735416106,0.008734262934822936,0.5
centered_angular_correction_rd90_bits,0.693157262905162,0.489397967623774,0.051738965220695585,0.08381832363352733,0.26713022350565924,0.21770033887155862,1.227054697711168,0.19513951730935472,0.30590288867492277,0.34503169366359804,0.19993316935591932,0.10959927036334283,-0.2912364945978391,0.007783458352679945,1.0
prequential_correction_bits_per_row,-0.728499399759904,-0.47935129386742287,1.0,0.10037799244015119,0.3108113369643127,0.21770033887155862,1.4277025868466322,0.22696557269023174,0.30590288867492277,0.32403128412391247,0.2064319457778707,-0.504853786684925,0.5227851140456182,0.08413346160774526,0.5
correction_predictable_fraction,-0.6022088835534214,-0.46262406947890816,1.0,0.13377732445351093,0.16722674932880868,0.21770033887155862,0.7681510749851017,0.2446232117459199,0.30590288867492277,0.17722407427210146,0.22390953213895376,-0.3883502594083462,0.35327731092436976,0.12494905417461293,0.5
angular_correction_logdet,0.7546218487394958,0.45476338177951076,0.09657806843863123,0.1508369832603348,0.15373891006045282,0.21770033887155862,0.7061950884291341,0.15686493422893996,0.30590288867492277,0.16459293750761478,0.16008129582418956,0.3064061793688778,-0.4299159663865546,0.006749667503604982,0.5
centered_correction_rd90_bits,0.695750300120048,0.44241846862814604,0.11893762124757505,0.18361632767344654,0.3226505425294994,0.21770033887155862,1.4820856237612956,0.19958980849933305,0.30590288867492277,0.3444552321067444,0.20186696024336756,0.219511036456144,-0.2807683073229292,0.01403465950551786,1.0
fisher_effective_rank,0.706218487394958,0.4408040883847335,0.12191756164876702,0.18803623927521448,0.1514655215569972,0.21770033887155862,0.6957523462853247,0.1579437178355492,0.30590288867492277,0.1790920456192291,0.1672468854194049,0.501966011429621,-0.48052821128451384,0.03266414339684539,0.5
trace_normalized_correction_logdet,0.7454981992797118,0.3985421836228287,0.22829543409131817,0.33405331893362133,0.15119500623810392,0.21770033887155862,0.6945097422531239,0.15715943644833014,0.30590288867492277,0.17376268832438546,0.1595783884850872,0.42870346787235303,-0.388235294117647,0.009859827614651463,0.5
residual_effective_rank,0.5850180072028811,0.3954906652487297,0.2373552528949421,0.34593308133837325,0.24157482986742615,0.21770033887155862,1.1096667608310582,0.2001182828580497,0.30590288867492277,0.3439046430975308,0.20393773704371818,0.4729871750926869,-0.5632172869147658,0.005948462499753759,0.75
correction_rd90_bits,0.7328211284513805,0.3948289613612194,0.2392752144957101,0.3485930281394372,0.21051991355190788,0.21770033887155862,0.9670169309020362,0.18290754841471824,0.30590288867492277,0.22238844396047625,0.18836333143987227,0.4980798992077181,-0.37334933973589435,0.017735810804733385,0.5
correction_energy_rank90,0.7207587997680427,0.39051234363243426,0.252954940901182,0.36745265094698104,0.20833624327160472,0.21770033887155862,0.9569863067347881,0.18599715016904006,0.30590288867492277,0.22030440971723,0.19032724496596526,0.4616151959092612,-0.37584344129695507,0.01842239512270058,0.5
correction_intrinsic_dimension,0.6294837935174069,0.3763987356729292,0.3012539749205016,0.4279714405711886,0.17407491835203517,0.21770033887155862,0.7996079347158844,0.19012527180468544,0.30590288867492277,0.17883479486177115,0.18985772801782883,0.22325175209288767,-0.4699639855942377,0.08060885973608538,1.0
coherent_correction_energy,-0.36076830732292914,-0.37532051282051276,1.0,0.43301133977320455,0.21893851183488314,0.21770033887155862,1.0056875105006384,0.30124112930279956,0.30590288867492277,0.17751907655017837,0.3042381209706051,0.34074378911128084,0.6211284513805522,0.03413558474085247,0.25
fisher_logdet,0.5824249699879951,0.3679812123360511,0.33171336573268534,0.46585068298634025,0.19492213634789002,0.21770033887155862,0.8953690075002246,0.334680492431652,0.30590288867492277,0.15518114409586514,0.27053043785601383,0.5526479490916129,-0.28547418967587035,0.010366809131722438,0.5
surprise_weighted_hidden_logdet,0.5054021608643458,0.3523425499231951,0.39181216375672484,0.5367492650146997,0.2196967559439797,0.21770033887155862,1.0091704821534473,0.21926949288069456,0.30590288867492277,0.15984189248097957,0.24264527757354168,0.16856045773081546,-0.2074909963985594,0.0018404895718665646,0.25
prequential_decay_exponent,-0.6119087635054021,-0.3097424081295049,1.0,0.7323853522929541,0.1594042591157334,0.21770033887155862,0.7322186999891652,0.22179875578435498,0.30590288867492277,0.16582390846530307,0.1963694227090042,-0.26741069271361995,0.5387274909963985,0.39893559935812456,1.0
surprisal_variance_bits2,0.4433613445378151,0.29117481980385207,0.6522469550608988,0.8075638487230256,0.21702441360157954,0.21770033887155862,0.9968951574743397,0.25982216422801263,0.30590288867492277,0.16514312974056197,0.17274697066934655,0.42890596273683657,-0.16369747899159665,0.09078376412973199,0.75
nearest_neighbour_cosine,-0.7151500600240096,-0.2799613021387215,1.0,0.8463030739385212,0.17986542951628265,0.21770033887155862,0.8262064746826221,0.17162518725382317,0.30590288867492277,0.1736229613054681,0.172058936282107,-0.19565965620123132,0.5342136854741897,0.007793254796922242,1.0
dataset_correction_log_volume,0.6254501800720288,0.2517665130568357,0.8055238895222095,0.9243215135697286,0.1865581772128477,0.21770033887155862,0.856949411194603,0.20413197916304102,0.30590288867492277,0.16642981674190382,0.22585071076140292,0.37088290423114745,-0.4244417767106842,0.005316033976717078,0.5
dataset_fisher_log_volume,0.6632893157262905,0.24298859742408133,0.8352832943341133,0.9426011479770404,0.17728458775592162,0.21770033887155862,0.8143514551923506,0.22569505358126346,0.30590288867492277,0.20733950829838232,0.21716928555746,0.414986365351128,-0.2795198079231692,0.0031161801907609184,1.0
lora_layer_energy_entropy,-0.5202881152460985,-0.22291002008743943,1.0,0.9713605727885443,0.21469548427901777,0.21770033887155862,0.9861972902379648,0.6103443310917618,0.30590288867492277,0.17733849874495136,0.5826300509715171,-0.13170680854305367,0.022521008403361333,0.00764589598068237,0.5
coherent_fraction,-0.497719087635054,-0.2063585607940446,1.0,0.9854602907941841,0.19902013138330163,0.21770033887155862,0.9141930252149117,0.24678467225645154,0.30590288867492277,0.17334945586839254,0.20941709982255946,0.31999133157634846,0.5654261704681873,0.021254142764821075,0.25
dataset_centered_correction_log_volume,0.582328931572629,0.19485407066052227,0.9472410551788965,0.9915601687966241,0.20483706799157947,0.21770033887155862,0.9409129496690017,0.2147271366117041,0.30590288867492277,0.1717568134557151,0.22987467939293418,0.2918913810097405,-0.30535414165666264,0.004182478695577675,1.0
prequential_late_fraction,0.2231452581032413,0.18892532198983814,0.9560808783824324,0.9937801243975121,0.23759689743874707,0.21770033887155862,1.0913942471119773,0.30692880897997715,0.30590288867492277,0.18503773449856495,0.200251679640183,0.5679634402472459,0.19615846338535414,0.058497666600062115,1.0
correction_coverage_fraction,0.5931812725090035,0.16360480916932527,0.9833403331933361,0.998820023599528,0.17943002895593774,0.21770033887155862,0.8242064752218873,0.21740516610417795,0.30590288867492277,0.1665658427957185,0.19046395822252338,0.2575507222825341,-0.6474429771908763,0.027239738684671003,0.25
fisher_trace,-0.2551260504201681,-0.1626388396549687,1.0,0.998880022399552,0.24640394923535675,0.21770033887155862,1.1318491763153984,0.36407049361405913,0.30590288867492277,0.1832525549702878,0.3632136929876532,0.21638555909130097,0.383625450180072,0.018771446959605337,0.5
dataset_raw_correction_log_volume,0.613157262905162,0.1421777147583599,0.9946801063978721,0.999880002399952,0.18486649597379554,0.21770033887155862,0.8491787239838208,0.2056626046383172,0.30590288867492277,0.16653711816547281,0.23431319166349196,0.5101341002568185,-0.3884273709483793,0.00921031604761192,0.75
margin_deficit_bits,0.2205522208883553,0.11867541061089444,0.998620027599448,1.0,0.22988268733267447,0.21770033887155862,1.0559592535512925,0.325080152983269,0.30590288867492277,0.17719625981705964,0.2113470727158906,0.03275458602586181,-0.08696278511404562,0.013711043763295913,0.75
hidden_effective_rank,0.41387755102040813,0.11353391232423489,0.999080018399632,1.0,0.2535425881643028,0.21770033887155862,1.1646403008765678,0.1997426625535106,0.30590288867492277,0.18651671944030007,0.20802895238932373,-0.5712790900275662,-0.2087394957983193,0.022355741614331535,1.0
coherent_energy_over_entropy,-0.5458343337334934,-0.10376934893063923,1.0,1.0,0.18335981239255106,0.21770033887155862,0.8422578179849863,0.2165798409169459,0.30590288867492277,0.16623349272703894,0.19977960775575376,0.2252024239736915,0.6042256902761104,0.02928042440062039,0.25
base_codelength_bits_per_token,0.24312124849939976,-0.0612327188940092,1.0,1.0,0.22824091504500724,0.21770033887155862,1.0484178216170232,0.30867755810794073,0.30590288867492277,0.17339638918129485,0.21494452425611277,0.12108817702706334,-0.10357743097238897,0.010321488797936484,0.75
lora_layer_energy_centroid,-0.4816806722689076,-0.039903107645043144,1.0,1.0,0.22891343143629983,0.21770033887155862,1.0515070055603213,0.4893363908190408,0.30590288867492277,0.19543917634424016,0.26380999019267015,0.0788677339087094,-0.045090036014405754,0.03351378228468788,0.25
unit_gain_ntk_cost,0.17551020408163265,0.017774429871204103,1.0,1.0,0.2381629024007522,0.21770033887155862,1.0939941739882468,0.3155949946825666,0.30590288867492277,0.17770475522084778,0.23405106403319167,-0.44065609233381864,-0.4994477791116446,0.041301210899950376,0.75
