model_key,task,measure,slope_per_doubling
mistral_7b_base,sql,r_star_bits_per_value,0.009278839468259241
mistral_7b_base,sql,base_codelength_bits_per_token,0.0005236155963897224
mistral_7b_base,sql,surprisal_variance_bits2,0.0034725621642981894
mistral_7b_base,sql,margin_deficit_bits,0.0015339450551167698
mistral_7b_base,sql,hidden_effective_rank,0.017811559742742858
mistral_7b_base,sql,surprise_weighted_hidden_logdet,-1.2712704189376787e-05
mistral_7b_base,sql,residual_effective_rank,0.001884665955762101
mistral_7b_base,sql,fisher_trace,0.005514509250802069
mistral_7b_base,sql,fisher_effective_rank,-0.01306281171103357
mistral_7b_base,sql,fisher_logdet,-0.043702276865029116
mistral_7b_base,sql,unit_gain_ntk_cost,0.023367168138083233
mistral_7b_base,sql,correction_rd90_bits,-0.00645187683998356
mistral_7b_base,sql,angular_correction_rd90_bits,-0.004610318810647385
mistral_7b_base,sql,centered_correction_rd90_bits,0.002467729562307094
mistral_7b_base,sql,centered_angular_correction_rd90_bits,0.006808163989800107
mistral_7b_base,sql,correction_energy_rank90,-0.003415510816421745
mistral_7b_base,sql,angular_correction_energy_rank90,-0.0008190083421508734
mistral_7b_base,sql,trace_normalized_correction_logdet,-0.8322146429514294
mistral_7b_base,sql,angular_correction_logdet,-0.8071728939411857
mistral_7b_base,sql,centered_angular_correction_logdet,0.874318423646856
mistral_7b_base,sql,dataset_correction_log_volume,-0.7228091145501706
mistral_7b_base,sql,dataset_raw_correction_log_volume,-0.9752858677461655
mistral_7b_base,sql,dataset_centered_correction_log_volume,4.234563139463677
mistral_7b_base,sql,dataset_fisher_log_volume,13.131973442160662
mistral_7b_base,sql,coherent_correction_energy,0.007570820612972161
mistral_7b_base,sql,coherent_energy_over_entropy,0.011946537306560466
mistral_7b_base,sql,prequential_correction_bits_per_row,0.00934852651689989
mistral_7b_base,sql,prequential_decay_exponent,-0.01707911302854549
mistral_7b_base,sql,prequential_late_fraction,0.0009443778300807121
mistral_7b_base,sql,nearest_neighbour_cosine,-7.197432849179699e-06
mistral_7b_base,sql,correction_intrinsic_dimension,0.1340101928411544
mistral_7b_base,sql,correction_coverage_fraction,-0.007435583141930017
mistral_7b_base,sql,correction_predictable_fraction,0.0015826559651320618
mistral_7b_base,sql,coherent_fraction,0.00397895830146575
mistral_7b_base,sql,text_cross_row_redundancy,-0.016607505757697254
mistral_7b_base,sql,lora_layer_energy_entropy,0.0013831239369555496
mistral_7b_base,sql,lora_layer_energy_centroid,0.002312774518104252
mistral_7b_base,sql,train_response_tokens,-0.005563363970267174
mistral_7b_base,xbrl,r_star_bits_per_value,0.03633749113599869
mistral_7b_base,xbrl,base_codelength_bits_per_token,0.0022957347038280963
mistral_7b_base,xbrl,surprisal_variance_bits2,0.07662341656203144
mistral_7b_base,xbrl,margin_deficit_bits,0.002600517253172311
mistral_7b_base,xbrl,hidden_effective_rank,0.025541955883810943
mistral_7b_base,xbrl,surprise_weighted_hidden_logdet,-0.00033733965256975326
mistral_7b_base,xbrl,residual_effective_rank,0.01618813070211216
mistral_7b_base,xbrl,fisher_trace,0.007709715982507639
mistral_7b_base,xbrl,fisher_effective_rank,0.013990510000429064
mistral_7b_base,xbrl,fisher_logdet,8.621043169541004
mistral_7b_base,xbrl,unit_gain_ntk_cost,0.07461757752139987
mistral_7b_base,xbrl,correction_rd90_bits,0.01745891059611339
mistral_7b_base,xbrl,angular_correction_rd90_bits,0.017568400672140726
mistral_7b_base,xbrl,centered_correction_rd90_bits,0.03719254570152738
mistral_7b_base,xbrl,centered_angular_correction_rd90_bits,0.04147474128271088
mistral_7b_base,xbrl,correction_energy_rank90,0.017832859893072685
mistral_7b_base,xbrl,angular_correction_energy_rank90,0.018159176375403388
mistral_7b_base,xbrl,trace_normalized_correction_logdet,1.934449232283381
mistral_7b_base,xbrl,angular_correction_logdet,2.0030880373322164
mistral_7b_base,xbrl,centered_angular_correction_logdet,4.468528515420461
mistral_7b_base,xbrl,dataset_correction_log_volume,5.201574405175117
mistral_7b_base,xbrl,dataset_raw_correction_log_volume,5.030196835234293
mistral_7b_base,xbrl,dataset_centered_correction_log_volume,10.130037712923068
mistral_7b_base,xbrl,dataset_fisher_log_volume,387.55604521351256
mistral_7b_base,xbrl,coherent_correction_energy,0.010376310530128852
mistral_7b_base,xbrl,coherent_energy_over_entropy,0.007742397610213559
mistral_7b_base,xbrl,prequential_correction_bits_per_row,-0.28754037729270154
mistral_7b_base,xbrl,prequential_decay_exponent,-0.008839262482553052
mistral_7b_base,xbrl,prequential_late_fraction,0.0016521602872334154
mistral_7b_base,xbrl,nearest_neighbour_cosine,-0.0022234865982004234
mistral_7b_base,xbrl,correction_intrinsic_dimension,0.3952477328001162
mistral_7b_base,xbrl,correction_coverage_fraction,-0.00408507243668176
mistral_7b_base,xbrl,correction_predictable_fraction,-0.010582340968858805
mistral_7b_base,xbrl,coherent_fraction,0.0025700923988223007
mistral_7b_base,xbrl,text_cross_row_redundancy,-0.001811314073976121
mistral_7b_base,xbrl,lora_layer_energy_entropy,-0.004318201227810623
mistral_7b_base,xbrl,lora_layer_energy_centroid,-0.005096358758168108
mistral_7b_base,xbrl,train_response_tokens,-0.001594738210867399
qwen25_7b_base,sql,r_star_bits_per_value,0.0039372363783253045
qwen25_7b_base,sql,base_codelength_bits_per_token,-0.006743566451241018
qwen25_7b_base,sql,surprisal_variance_bits2,-0.02845756624811318
qwen25_7b_base,sql,margin_deficit_bits,-0.0058791978235174635
qwen25_7b_base,sql,hidden_effective_rank,0.015405129818300336
qwen25_7b_base,sql,surprise_weighted_hidden_logdet,8.949646362522008e-05
qwen25_7b_base,sql,residual_effective_rank,-0.0028812160047379416
qwen25_7b_base,sql,fisher_trace,-0.00546427891664059
qwen25_7b_base,sql,fisher_effective_rank,-0.007839740972638327
qwen25_7b_base,sql,fisher_logdet,-1.0059673686845885
qwen25_7b_base,sql,unit_gain_ntk_cost,-0.003577230241104559
qwen25_7b_base,sql,correction_rd90_bits,-0.00032614921822279354
qwen25_7b_base,sql,angular_correction_rd90_bits,-0.0035249747423886416
qwen25_7b_base,sql,centered_correction_rd90_bits,0.005825941602718141
qwen25_7b_base,sql,centered_angular_correction_rd90_bits,0.0028304299461412584
qwen25_7b_base,sql,correction_energy_rank90,-0.0018313984592551232
qwen25_7b_base,sql,angular_correction_energy_rank90,-0.004512102622399816
qwen25_7b_base,sql,trace_normalized_correction_logdet,-0.3903351753515767
qwen25_7b_base,sql,angular_correction_logdet,-0.6944382929971575
qwen25_7b_base,sql,centered_angular_correction_logdet,-0.20501244293122348
qwen25_7b_base,sql,dataset_correction_log_volume,-0.15505271526913442
qwen25_7b_base,sql,dataset_raw_correction_log_volume,0.8796999653074749
qwen25_7b_base,sql,dataset_centered_correction_log_volume,1.6029602983014437
qwen25_7b_base,sql,dataset_fisher_log_volume,11.603177908022062
qwen25_7b_base,sql,coherent_correction_energy,0.004585641478997218
qwen25_7b_base,sql,coherent_energy_over_entropy,0.010428485703806575
qwen25_7b_base,sql,prequential_correction_bits_per_row,0.014526938416152149
qwen25_7b_base,sql,prequential_decay_exponent,-0.02037826186002047
qwen25_7b_base,sql,prequential_late_fraction,0.0013625559890213987
qwen25_7b_base,sql,nearest_neighbour_cosine,-0.001616885143246897
qwen25_7b_base,sql,correction_intrinsic_dimension,0.15184644493668045
qwen25_7b_base,sql,correction_coverage_fraction,-0.011450566713246594
qwen25_7b_base,sql,correction_predictable_fraction,0.0006137499182811282
qwen25_7b_base,sql,coherent_fraction,0.006779821949527882
qwen25_7b_base,sql,text_cross_row_redundancy,-0.016607505757697254
qwen25_7b_base,sql,lora_layer_energy_entropy,1.8436193546587802e-05
qwen25_7b_base,sql,lora_layer_energy_centroid,0.0008091302011060351
qwen25_7b_base,sql,train_response_tokens,-0.0054092746091471
qwen25_7b_base,xbrl,r_star_bits_per_value,0.04581794564646837
qwen25_7b_base,xbrl,base_codelength_bits_per_token,0.0016691083030619894
qwen25_7b_base,xbrl,surprisal_variance_bits2,0.0433950667038178
qwen25_7b_base,xbrl,margin_deficit_bits,0.0020076015283249657
qwen25_7b_base,xbrl,hidden_effective_rank,0.022453973634731388
qwen25_7b_base,xbrl,surprise_weighted_hidden_logdet,-0.00024435607679403314
qwen25_7b_base,xbrl,residual_effective_rank,0.011141587817363156
qwen25_7b_base,xbrl,fisher_trace,-0.010351407061664873
qwen25_7b_base,xbrl,fisher_effective_rank,0.06930610637032
qwen25_7b_base,xbrl,fisher_logdet,4.17090424671873
qwen25_7b_base,xbrl,unit_gain_ntk_cost,0.050997010652889294
qwen25_7b_base,xbrl,correction_rd90_bits,0.053433934520976965
qwen25_7b_base,xbrl,angular_correction_rd90_bits,0.01880010973726741
qwen25_7b_base,xbrl,centered_correction_rd90_bits,0.05239730663089533
qwen25_7b_base,xbrl,centered_angular_correction_rd90_bits,0.02230051586678391
qwen25_7b_base,xbrl,correction_energy_rank90,0.03846193525817537
qwen25_7b_base,xbrl,angular_correction_energy_rank90,0.034067656206895905
qwen25_7b_base,xbrl,trace_normalized_correction_logdet,3.2317466709197396
qwen25_7b_base,xbrl,angular_correction_logdet,2.0363979749242698
qwen25_7b_base,xbrl,centered_angular_correction_logdet,2.3301873246492537
qwen25_7b_base,xbrl,dataset_correction_log_volume,4.481680810402988
qwen25_7b_base,xbrl,dataset_raw_correction_log_volume,6.040846647695675
qwen25_7b_base,xbrl,dataset_centered_correction_log_volume,5.026833497687676
qwen25_7b_base,xbrl,dataset_fisher_log_volume,263.9699907698236
qwen25_7b_base,xbrl,coherent_correction_energy,-0.059399833277038794
