candidate,group,held_out,arms,candidate_rmse,model_only_rmse
base_codelength_bits_per_token,task_family,arm_a,1,0.14781364157762866,0.1222171151833843
base_codelength_bits_per_token,task_family,arm_b,1,0.10239156383645542,0.0773517609560106
base_codelength_bits_per_token,task_family,arm_c,1,0.20198617417306675,0.1769242084563909
base_codelength_bits_per_token,task_family,arm_d,1,0.36002812664261785,0.3327325334031205
base_codelength_bits_per_token,task_family,arm_e,1,0.07493132370086608,0.051082065803717436
base_codelength_bits_per_token,task_family,behav_numbered_broad,1,0.07106360910307685,0.057760587427231
base_codelength_bits_per_token,task_family,behav_numbered_narrow,1,0.03521854155085424,0.023096084423444685
base_codelength_bits_per_token,task_family,behav_plain_narrow,1,0.040664654581859305,0.017106995640633893
base_codelength_bits_per_token,task_family,behav_preamble_broad,1,0.08388840802708963,0.08882080152354976
base_codelength_bits_per_token,task_family,behav_preamble_narrow,1,0.055285904139794284,0.06199571121100056
base_codelength_bits_per_token,task_family,behav_shouted_broad,1,0.09055856785757499,0.0599729753160273
base_codelength_bits_per_token,task_family,behav_shouted_narrow,1,0.02594858803905631,0.0027784257217127184
base_codelength_bits_per_token,task_family,behav_symbolic_broad,1,0.31026672166167046,0.32423754171763
base_codelength_bits_per_token,task_family,behav_symbolic_narrow,1,0.26203607358812986,0.2777764010718926
base_codelength_bits_per_token,task_family,cot_math,3,0.11633561976246024,0.15527266842869508
base_codelength_bits_per_token,task_family,kind_code,3,0.18900607240325346,0.2083112273161475
base_codelength_bits_per_token,task_family,kind_dialogue,3,0.43095184834338673,0.41096836114195834
base_codelength_bits_per_token,task_family,kind_instruct,3,0.12047908315752079,0.14160967568092303
base_codelength_bits_per_token,task_family,kind_summary,3,0.24205034384773672,0.1562938723131619
base_codelength_bits_per_token,task_family,lever_div_1200,1,0.07183172183014319,0.046976699758509155
base_codelength_bits_per_token,task_family,lever_div_3600,1,0.10610855982417278,0.08106666254907924
base_codelength_bits_per_token,task_family,lever_div_400,1,0.02561000419654602,0.049102850651008945
base_codelength_bits_per_token,task_family,lever_dup_32k,1,0.13260059199449215,0.10705881992301036
base_codelength_bits_per_token,task_family,panel_math,3,0.1262601160853229,0.125549281899154
base_codelength_bits_per_token,task_family,sql,6,0.21554336921471914,0.2184762536349392
base_codelength_bits_per_token,task_family,xbrl,8,0.33893436079389616,0.31689347496175974
base_codelength_bits_per_token,model_key,llama31_8b_base,6,0.38153877074853815,0.43974297875146073
base_codelength_bits_per_token,model_key,mistral_7b_base,31,0.2307005577913169,0.25690771036317794
base_codelength_bits_per_token,model_key,qwen25_7b_base,13,0.4151696200300136,0.3365591524017843
surprisal_variance_bits2,task_family,arm_a,1,0.15580916383969112,0.1222171151833843
surprisal_variance_bits2,task_family,arm_b,1,0.11415698590692736,0.0773517609560106
surprisal_variance_bits2,task_family,arm_c,1,0.2002443946699598,0.1769242084563909
surprisal_variance_bits2,task_family,arm_d,1,0.3603249326140442,0.3327325334031205
surprisal_variance_bits2,task_family,arm_e,1,0.07435444265217417,0.051082065803717436
surprisal_variance_bits2,task_family,behav_numbered_broad,1,0.0525793807371685,0.057760587427231
surprisal_variance_bits2,task_family,behav_numbered_narrow,1,0.026535712787527088,0.023096084423444685
surprisal_variance_bits2,task_family,behav_plain_narrow,1,0.06000455461389664,0.017106995640633893
surprisal_variance_bits2,task_family,behav_preamble_broad,1,0.08632767124472684,0.08882080152354976
surprisal_variance_bits2,task_family,behav_preamble_narrow,1,0.06014847811694546,0.06199571121100056
surprisal_variance_bits2,task_family,behav_shouted_broad,1,0.07600935666218778,0.0599729753160273
surprisal_variance_bits2,task_family,behav_shouted_narrow,1,0.018841793234034676,0.0027784257217127184
surprisal_variance_bits2,task_family,behav_symbolic_broad,1,0.2763822319185837,0.32423754171763
surprisal_variance_bits2,task_family,behav_symbolic_narrow,1,0.23666517960812894,0.2777764010718926
surprisal_variance_bits2,task_family,cot_math,3,0.07393791741190979,0.15527266842869508
surprisal_variance_bits2,task_family,kind_code,3,0.16313038505547703,0.2083112273161475
surprisal_variance_bits2,task_family,kind_dialogue,3,0.3438549836450011,0.41096836114195834
surprisal_variance_bits2,task_family,kind_instruct,3,0.3158238135000522,0.14160967568092303
surprisal_variance_bits2,task_family,kind_summary,3,0.2247231956549665,0.1562938723131619
surprisal_variance_bits2,task_family,lever_div_1200,1,0.09056760443008816,0.046976699758509155
surprisal_variance_bits2,task_family,lever_div_3600,1,0.11178896394130688,0.08106666254907924
surprisal_variance_bits2,task_family,lever_div_400,1,0.008957702120767741,0.049102850651008945
surprisal_variance_bits2,task_family,lever_dup_32k,1,0.15059002267299948,0.10705881992301036
surprisal_variance_bits2,task_family,panel_math,3,0.15675349271140138,0.125549281899154
surprisal_variance_bits2,task_family,sql,6,0.20803975055771398,0.2184762536349392
surprisal_variance_bits2,task_family,xbrl,8,0.29728081332831774,0.31689347496175974
surprisal_variance_bits2,model_key,llama31_8b_base,6,0.4247038626895971,0.43974297875146073
surprisal_variance_bits2,model_key,mistral_7b_base,31,0.20604936651225986,0.25690771036317794
surprisal_variance_bits2,model_key,qwen25_7b_base,13,0.27414076124143316,0.3365591524017843
margin_deficit_bits,task_family,arm_a,1,0.14338278985978625,0.1222171151833843
margin_deficit_bits,task_family,arm_b,1,0.09795646105645484,0.0773517609560106
margin_deficit_bits,task_family,arm_c,1,0.19767208739133024,0.1769242084563909
margin_deficit_bits,task_family,arm_d,1,0.3562112311272875,0.3327325334031205
margin_deficit_bits,task_family,arm_e,1,0.07056450320716756,0.051082065803717436
margin_deficit_bits,task_family,behav_numbered_broad,1,0.068172988342589,0.057760587427231
margin_deficit_bits,task_family,behav_numbered_narrow,1,0.03248933540577836,0.023096084423444685
margin_deficit_bits,task_family,behav_plain_narrow,1,0.03623357274902461,0.017106995640633893
margin_deficit_bits,task_family,behav_preamble_broad,1,0.08576531446992885,0.08882080152354976
margin_deficit_bits,task_family,behav_preamble_narrow,1,0.05745912362732952,0.06199571121100056
margin_deficit_bits,task_family,behav_shouted_broad,1,0.08382257004619009,0.0599729753160273
margin_deficit_bits,task_family,behav_shouted_narrow,1,0.019354747432893005,0.0027784257217127184
margin_deficit_bits,task_family,behav_symbolic_broad,1,0.3142968601833054,0.32423754171763
margin_deficit_bits,task_family,behav_symbolic_narrow,1,0.26659173820480087,0.2777764010718926
margin_deficit_bits,task_family,cot_math,3,0.13167180991695998,0.15527266842869508
margin_deficit_bits,task_family,kind_code,3,0.19282985744692407,0.2083112273161475
margin_deficit_bits,task_family,kind_dialogue,3,0.44694078428984835,0.41096836114195834
margin_deficit_bits,task_family,kind_instruct,3,0.12774695946736153,0.14160967568092303
margin_deficit_bits,task_family,kind_summary,3,0.21700557985896074,0.1562938723131619
margin_deficit_bits,task_family,lever_div_1200,1,0.067152749263936,0.046976699758509155
margin_deficit_bits,task_family,lever_div_3600,1,0.10169136945697033,0.08106666254907924
margin_deficit_bits,task_family,lever_div_400,1,0.030331152382376936,0.049102850651008945
margin_deficit_bits,task_family,lever_dup_32k,1,0.12818321156885903,0.10705881992301036
margin_deficit_bits,task_family,panel_math,3,0.12474741671098528,0.125549281899154
margin_deficit_bits,task_family,sql,6,0.22469141642367627,0.2184762536349392
margin_deficit_bits,task_family,xbrl,8,0.3375302151249663,0.31689347496175974
margin_deficit_bits,model_key,llama31_8b_base,6,0.4117849097022096,0.43974297875146073
margin_deficit_bits,model_key,mistral_7b_base,31,0.24168998506118808,0.25690771036317794
margin_deficit_bits,model_key,qwen25_7b_base,13,0.4346190999719303,0.3365591524017843
hidden_effective_rank,task_family,arm_a,1,0.11787865846546652,0.1222171151833843
hidden_effective_rank,task_family,arm_b,1,0.07181588292917618,0.0773517609560106
hidden_effective_rank,task_family,arm_c,1,0.1722697293311647,0.1769242084563909
hidden_effective_rank,task_family,arm_d,1,0.3264195461047221,0.3327325334031205
hidden_effective_rank,task_family,arm_e,1,0.04648007463798831,0.051082065803717436
hidden_effective_rank,task_family,behav_numbered_broad,1,0.048106437298889415,0.057760587427231
hidden_effective_rank,task_family,behav_numbered_narrow,1,0.011769788368877876,0.023096084423444685
hidden_effective_rank,task_family,behav_plain_narrow,1,0.015552808345157265,0.017106995640633893
hidden_effective_rank,task_family,behav_preamble_broad,1,0.07929769619777449,0.08882080152354976
hidden_effective_rank,task_family,behav_preamble_narrow,1,0.046385134147588714,0.06199571121100056
hidden_effective_rank,task_family,behav_shouted_broad,1,0.0941261342923484,0.0599729753160273
hidden_effective_rank,task_family,behav_shouted_narrow,1,0.02661951473712376,0.0027784257217127184
hidden_effective_rank,task_family,behav_symbolic_broad,1,0.32011421426799624,0.32423754171763
hidden_effective_rank,task_family,behav_symbolic_narrow,1,0.2753483995764714,0.2777764010718926
hidden_effective_rank,task_family,cot_math,3,0.15300431296390113,0.15527266842869508
hidden_effective_rank,task_family,kind_code,3,0.1668749838465183,0.2083112273161475
hidden_effective_rank,task_family,kind_dialogue,3,0.34368296806701576,0.41096836114195834
hidden_effective_rank,task_family,kind_instruct,3,0.11976150594155209,0.14160967568092303
hidden_effective_rank,task_family,kind_summary,3,0.28932146167531053,0.1562938723131619
hidden_effective_rank,task_family,lever_div_1200,1,0.039252525589383414,0.046976699758509155
hidden_effective_rank,task_family,lever_div_3600,1,0.0690803717034405,0.08106666254907924
hidden_effective_rank,task_family,lever_div_400,1,0.05255956770412351,0.049102850651008945
hidden_effective_rank,task_family,lever_dup_32k,1,0.10421162726136124,0.10705881992301036
hidden_effective_rank,task_family,panel_math,3,0.17141279237798646,0.125549281899154
hidden_effective_rank,task_family,sql,6,0.29708641502941235,0.2184762536349392
hidden_effective_rank,task_family,xbrl,8,0.42098685130709934,0.31689347496175974
hidden_effective_rank,model_key,llama31_8b_base,6,0.14531905176672746,0.43974297875146073
hidden_effective_rank,model_key,mistral_7b_base,31,0.20797549311687175,0.25690771036317794
hidden_effective_rank,model_key,qwen25_7b_base,13,0.20139567322267934,0.3365591524017843
surprise_weighted_hidden_logdet,task_family,arm_a,1,0.11379302605528985,0.1222171151833843
surprise_weighted_hidden_logdet,task_family,arm_b,1,0.0698348707320181,0.0773517609560106
surprise_weighted_hidden_logdet,task_family,arm_c,1,0.17030046881609195,0.1769242084563909
surprise_weighted_hidden_logdet,task_family,arm_d,1,0.3254630229786717,0.3327325334031205
surprise_weighted_hidden_logdet,task_family,arm_e,1,0.0428908061423241,0.051082065803717436
surprise_weighted_hidden_logdet,task_family,behav_numbered_broad,1,0.057804342207053216,0.057760587427231
surprise_weighted_hidden_logdet,task_family,behav_numbered_narrow,1,0.027801956559537544,0.023096084423444685
surprise_weighted_hidden_logdet,task_family,behav_plain_narrow,1,0.014123162063956474,0.017106995640633893
surprise_weighted_hidden_logdet,task_family,behav_preamble_broad,1,0.09812865328846854,0.08882080152354976
surprise_weighted_hidden_logdet,task_family,behav_preamble_narrow,1,0.07889185753875738,0.06199571121100056
surprise_weighted_hidden_logdet,task_family,behav_shouted_broad,1,0.15963830438085924,0.0599729753160273
surprise_weighted_hidden_logdet,task_family,behav_shouted_narrow,1,0.09714755984116052,0.0027784257217127184
surprise_weighted_hidden_logdet,task_family,behav_symbolic_broad,1,0.36254163908882886,0.32423754171763
surprise_weighted_hidden_logdet,task_family,behav_symbolic_narrow,1,0.3190567538275574,0.2777764010718926
surprise_weighted_hidden_logdet,task_family,cot_math,3,0.10284371336064743,0.15527266842869508
surprise_weighted_hidden_logdet,task_family,kind_code,3,0.13842270850105998,0.2083112273161475
surprise_weighted_hidden_logdet,task_family,kind_dialogue,3,0.37058553502322394,0.41096836114195834
surprise_weighted_hidden_logdet,task_family,kind_instruct,3,0.21879858127809315,0.14160967568092303
surprise_weighted_hidden_logdet,task_family,kind_summary,3,0.24620067561992573,0.1562938723131619
surprise_weighted_hidden_logdet,task_family,lever_div_1200,1,0.0438074813677134,0.046976699758509155
surprise_weighted_hidden_logdet,task_family,lever_div_3600,1,0.07608602256095998,0.08106666254907924
surprise_weighted_hidden_logdet,task_family,lever_div_400,1,0.05112440046792677,0.049102850651008945
surprise_weighted_hidden_logdet,task_family,lever_dup_32k,1,0.10014269668245668,0.10705881992301036
surprise_weighted_hidden_logdet,task_family,panel_math,3,0.18341694981993065,0.125549281899154
surprise_weighted_hidden_logdet,task_family,sql,6,0.2359812651744942,0.2184762536349392
surprise_weighted_hidden_logdet,task_family,xbrl,8,0.29333031228683554,0.31689347496175974
surprise_weighted_hidden_logdet,model_key,llama31_8b_base,6,0.32911562947467216,0.43974297875146073
surprise_weighted_hidden_logdet,model_key,mistral_7b_base,31,0.19325798614505318,0.25690771036317794
surprise_weighted_hidden_logdet,model_key,qwen25_7b_base,13,0.21416112096821308,0.3365591524017843
