model_key,dataset_key,task_family,seeds,r_star_bits_per_value,reference_bits_saved_per_token,dataset_fisher_log_volume,correction_channel_bits,base_codelength_bits_per_token,base_head_hidden_alignment,text_cross_row_redundancy,train_response_tokens,adapter_bits_at_r90,ceiling_heldout_bits_saved,corpus_rows,heldout_tokens,r50,r75,r90,r95,shape_r90_over_r50,train_tokens,achieved_validation_nll_gain_bits_per_token,trainable_parameter_count,corpus_tokens,log_corpus_tokens,tokenizer_fertility_relative,receivers_sharing_corpus
gemma2_9b_base,kind_code,magicoder,3,0.8767918214519209,0.13378936190619903,2282.5178475733583,1.7955882123156577,1.5003389156172198,0.07011374344256469,0.23248314743803933,95501.0,47362582.69719737,12847.755424408533,8000.0,96078.33333333333,0.3094040075870821,0.5661961012233518,0.8767918214519224,1.1083610318812551,2.8358371432072254,97592.33333333333,0.12906951661970192,54018048.0,92669.57142857143,16.499808079181506,1.0305540268264972,7
gemma2_9b_instruct,kind_code,magicoder,3,0.9909239063128354,0.41572091175587933,1978.00923224746,1.7907872437683074,2.2388042051877295,0.1068182054880978,0.23248314743803933,95501.0,53527775.13555425,39906.99230408193,8000.0,96078.33333333333,0.3387865161047913,0.64695902852696,0.9909239063128354,1.327295952594798,2.9261236335675727,97592.33333333333,0.41475080717905,54018048.0,92669.57142857143,16.499808079181506,1.0305540268264972,7
llama31_8b_base,kind_code,magicoder,3,1.02062900194812,0.2560338610445505,2228.5626619064733,1.8112525989047896,2.2682915537965065,0.07505921527115904,0.23248314743803933,88133.0,42808283.05387012,22584.52814802925,8000.0,88248.33333333333,0.3570728096035645,0.6764301745523488,1.0206290019481212,1.357467831618844,2.8576213330923252,90248.33333333333,0.25527345148961483,41943040.0,92669.57142857143,16.499808079181506,0.9510457277546798,7
mistral_7b_base,kind_code,magicoder,3,0.9015471227289509,0.16523894332577313,2643.8847649559857,1.7650134225800584,1.653997805146944,0.1392829137125457,0.23248314743803933,103839.0,37813627.03050528,17183.60987422039,8000.0,104004.66666666667,0.30756907669417416,0.6087398508475985,0.9015471227289504,1.0925637824910872,2.9307565522495795,105549.0,0.15865635068625883,41943040.0,92669.57142857143,16.499808079181506,1.1205296236859994,7
qwen25_7b_base,kind_code,magicoder,3,0.6703539929144758,0.08925669014621145,2442.3954197731646,1.7672474421690605,1.9502548740969763,0.07269847507929734,0.23248314743803933,88571.0,27062308.67626008,7909.255158511131,8000.0,88686.33333333333,0.35846627649076046,0.4997877353016313,0.6703539929144743,0.8547632411555416,1.8695567445779284,90635.0,0.08838161609186142,40370176.0,92669.57142857143,16.499808079181506,0.9557721983021087,7
qwen25_math_7b_base,kind_code,magicoder,3,1.2811617713495742,0.20091292232642335,2275.0620420037203,1.7686613080135765,2.2252763996994687,0.08039182160251601,0.23248314743803933,88571.0,46470603.53184602,17424.43963329811,8000.0,88686.33333333333,0.37360861085103353,0.6349217238263903,1.1511122352264707,1.4747247647472357,3.0816488587863464,90635.0,0.20091292232642335,40370176.0,92669.57142857143,16.499808079181506,0.9557721983021087,7
qwen3_8b_base,kind_code,magicoder,3,0.8677398655171515,0.11727340620665345,2010.2954681952424,1.7223758993632057,1.7919391750816314,0.05883578929280917,0.23248314743803933,88571.0,36863612.57621374,10341.916472796971,8000.0,88686.33333333333,0.22561631668243498,0.4665934265905792,0.844585718291543,1.2095030051397622,3.7503034286576327,90635.0,0.11727340620665345,43646976.0,92669.57142857143,16.499808079181506,0.9557721983021087,7
gemma2_9b_base,panel_math,metamath,3,0.870312627292361,0.48468482629535276,2106.2397888733612,1.7910157415257721,1.1199452202999964,0.08196369360263217,0.4266205219343373,46812.0,47012589.27608484,22980.058720099933,8000.0,47416.666666666664,0.2551446284204113,0.5076093114606754,0.8703126272923606,1.1335935258119056,3.4129553294125863,45993.0,0.4791309923805227,54018048.0,46076.166666666664,15.491733075473919,1.0159699338414292,6
gemma2_9b_instruct,panel_math,metamath,3,0.8923958942425642,0.6944615630552051,1769.4900906019432,1.7649743623025695,1.6263396479189396,0.06580542515987077,0.4266205219343373,46812.0,48205484.250197746,32931.9997964587,8000.0,47416.666666666664,0.2351432678099382,0.48294670846703397,0.8923958942425642,1.2090799696713677,3.8118113812300343,45993.0,0.693400852106031,54018048.0,46076.166666666664,15.491733075473919,1.0159699338414292,6
llama31_8b_base,panel_math,metamath,3,0.9281160425394569,0.6343106719663879,2064.560949914799,1.8003284325271531,1.2650043624453247,0.08047646488507945,0.4266205219343373,42080.0,38928008.296874136,27193.424614132018,8000.0,42871.0,0.3339863381524257,0.5864702650583147,0.9281160425394567,1.2369150335361299,2.7821579777500833,41494.0,0.6302389220084976,41943040.0,46076.166666666664,15.491733075473919,0.9132704181843831,6
