run_id,study,model_key,dataset_key,seed,adapter_rank,training_epochs,label_span,available_rows,distinct_rows,measured_rows,row_sampling,row_sample_seed,r_star_bits_per_value,r_star_bracketed,reference_bits_saved_per_token,train_response_tokens,base_codelength_bits_per_token,fisher_effective_rank,fisher_logdet,fisher_trace,hidden_effective_rank,margin_deficit_bits,residual_effective_rank,surprisal_variance_bits2,surprise_weighted_hidden_logdet,unit_gain_ntk_cost,angular_correction_channel_bits,angular_correction_energy_rank90,angular_correction_logdet,angular_correction_rd90_bits,centered_angular_correction_logdet,centered_angular_correction_rd90_bits,centered_correction_rd90_bits,correction_channel_bits,correction_energy_rank90,correction_information_bits,correction_rd90_bits,dataset_centered_correction_log_volume,dataset_correction_log_volume,dataset_fisher_log_volume,dataset_raw_correction_log_volume,trace_normalized_correction_logdet,coherent_correction_energy,coherent_energy_over_entropy,correction_channel_deficit_bits,angular_correction_channel_deficit_bits,coherent_fraction,correction_coverage_fraction,correction_intrinsic_dimension,correction_predictable_fraction,nearest_neighbour_cosine,prequential_correction_bits_per_row,prequential_decay_exponent,prequential_late_fraction,text_cross_row_redundancy,tokenizer_fertility,base_head_error_alignment,base_head_hidden_alignment,total_correction_channel_bits,within_between_energy_ratio,within_example_channel_bits,lora_correction_channel_bits,lora_correction_effective_rank,lora_layer_energy_centroid,lora_layer_energy_entropy,achieved_validation_nll_gain_bits_per_token,trainable_parameter_count,codec_count,ceiling_heldout_bits_saved,shape_r90_over_r50,adapter_bits_at_r90,heldout_tokens,train_tokens,corpus_rows,r50,r75,r90,r95
transposed-code__gemma2-9b-base__kind-code__all-linear-r16__s11__41ecd30ad1,transposed_code,gemma2_9b_base,kind_code,11,16,4,all,8000,8000,256,uniform,271828,0.8963368260863136,True,0.13480095681032744,95501.0,1.50033891561722,163.5584834390659,204.20417541491608,399.7707062552877,36.53535506642256,1.1061719546597155,28.14574286715187,0.5481150517187059,0.8490091442271392,0.3422878891073923,1.7957938812304062,182,153.8723871640331,364.48927795671415,157.20778642123432,369.80718722661015,352.2869222365376,1.7955882123156577,168,108.45578709504191,347.7505623946154,815.5959230890687,808.979986632733,2282.5178475733583,788.3212344147292,150.351646080676,16.354190345665863,11.289431300907932,0.013178702795169084,0.012973033880420592,0.04536848128541082,0.39402673136602345,65.42574890169828,-0.021505502970172508,0.22315736954190218,-1.4356255534332594,-0.02851264075585511,0.2965515161480725,0.23248314743803933,0.2560428743300886,0.00018265064055364227,0.07011374344256469,14.112650671551048,31.457765978439227,14.111058383065584,0.45651138932939617,43.650610920567466,0.5648475916578154,0.9539296630139422,0.1305977694903322,54018048,13,12993.32942599064,2.756363867109968,48418365.69569807,96389,95501,8000,0.32518813527552015,0.5993217692600254,0.8963368260863122,1.1382755140112042
transposed-code__gemma2-9b-base__kind-code__all-linear-r16__s22__10257227e4,transposed_code,gemma2_9b_base,kind_code,22,16,4,all,8000,8000,256,uniform,271828,0.8672606755580433,True,0.1371071119154832,95501.0,1.50033891561722,163.5584834390659,204.20417541491608,399.7707062552877,36.53535506642256,1.1061719546597155,28.14574286715187,0.5481150517187059,0.8490091442271392,0.3422878891073923,1.7957938812304062,182,153.8723871640331,364.48927795671415,157.20778642123432,369.80718722661015,352.2869222365376,1.7955882123156577,168,108.45578709504191,347.7505623946154,815.5959230890687,808.979986632733,2282.5178475733583,788.3212344147292,150.351646080676,16.354190345665863,11.289431300907932,0.013178702795169084,0.012973033880420592,0.04536848128541082,0.39402673136602345,65.42574890169828,-0.021505502970172508,0.22315736954190218,-1.4356255534332594,-0.02851264075585511,0.2965515161480725,0.23248314743803933,0.2560428743300886,0.00018265064055364227,0.07011374344256469,14.112650671551048,31.457765978439227,14.111058383065584,0.45651138932939617,43.650610920567466,0.5648475916578154,0.9539296630139422,0.13143287212825938,54018048,13,12793.464612833734,2.8737092222972858,46847728.80080694,93310,96074,8000,0.30179138126742855,0.5525249724411936,0.8672606755580458,1.1019015818518665
transposed-code__gemma2-9b-base__kind-code__all-linear-r16__s33__7cb1734482,transposed_code,gemma2_9b_base,kind_code,33,16,4,all,8000,8000,256,uniform,271828,0.8667779627114056,True,0.12946001699278642,95501.0,1.50033891561722,163.5584834390659,204.20417541491608,399.7707062552877,36.53535506642256,1.1061719546597155,28.14574286715187,0.5481150517187059,0.8490091442271392,0.3422878891073923,1.7957938812304062,182,153.8723871640331,364.48927795671415,157.20778642123432,369.80718722661015,352.2869222365376,1.7955882123156577,168,108.45578709504191,347.7505623946154,815.5959230890687,808.979986632733,2282.5178475733583,788.3212344147292,150.351646080676,16.354190345665863,11.289431300907932,0.013178702795169084,0.012973033880420592,0.04536848128541082,0.39402673136602345,65.42574890169828,-0.021505502970172508,0.22315736954190218,-1.4356255534332594,-0.02851264075585511,0.2965515161480725,0.23248314743803933,0.2560428743300886,0.00018265064055364227,0.07011374344256469,14.112650671551048,31.457765978439227,14.111058383065584,0.45651138932939617,43.650610920567466,0.5648475916578154,0.9539296630139422,0.12517790824051422,54018048,13,12756.472234401226,2.8774383402144226,46821653.595087096,98536,101202,8000,0.3012325062182976,0.5467415619688365,0.866777962711409,1.0849059997806945
transposed-code__gemma2-9b-instruct__kind-code__all-linear-r16__s11__a5ce10ff69,transposed_code,gemma2_9b_instruct,kind_code,11,16,4,all,8000,8000,256,uniform,271828,0.9984387548111531,True,0.41536816971599544,95501.0,2.2388042051877295,155.85130802871572,87.18027536040725,122.36231959358618,36.75862168992842,1.9372992406761835,28.295093521696,0.8278860301626156,0.8431644949733724,0.15336446495974737,1.788144354741158,184,152.57759718340793,364.23344549112335,159.5896829358168,376.04080373899365,352.6113856881821,1.7907872437683072,165,107.2503587397439,343.10585835793637,823.6470022799281,808.4579736167077,1978.00923224746,782.6881363598363,148.68056754899234,8.562738005121648,8.135257798205872,0.01797967134251932,0.02062256036966903,0.08140889456481457,0.27911995065186235,65.87626235059675,-0.026785780775091306,0.2485057390683318,-1.5113605064023827,-0.017201115915809313,0.3352749169215751,0.23248314743803933,0.2560428743300886,0.00017058537506768324,0.10681820548809781,14.143401610958216,30.63957339978975,14.144700028954649,0.45169440769930136,28.502472735385922,0.5274544988793415,0.9730256615473335,0.41414159291060626,54018048,13,40036.922510755074,2.975654464483866,53933712.58244905,96389,95501,8000,0.33553585160108085,0.6561403129672287,0.9984387548111522,1.3324914507453622
transposed-code__gemma2-9b-instruct__kind-code__all-linear-r16__s22__a0c1ac9575,transposed_code,gemma2_9b_instruct,kind_code,22,16,4,all,8000,8000,256,uniform,271828,0.9958193348119664,True,0.4358314025461012,95501.0,2.2388042051877295,155.85130802871572,87.18027536040725,122.36231959358618,36.75862168992842,1.9372992406761835,28.295093521696,0.8278860301626156,0.8431644949733724,0.15336446495974737,1.788144354741158,184,152.57759718340793,364.23344549112335,159.5896829358168,376.04080373899365,352.6113856881821,1.7907872437683072,165,107.2503587397439,343.10585835793637,823.6470022799281,808.4579736167077,1978.00923224746,782.6881363598363,148.68056754899234,8.562738005121648,8.135257798205872,0.01797967134251932,0.02062256036966903,0.08140889456481457,0.27911995065186235,65.87626235059675,-0.026785780775091306,0.2485057390683318,-1.5113605064023827,-0.017201115915809313,0.3352749169215751,0.23248314743803933,0.2560428743300886,0.00017058537506768324,0.10681820548809781,14.143401610958216,30.63957339978975,14.144700028954649,0.45169440769930136,28.502472735385922,0.5274544988793415,0.9730256615473335,0.4353619709987617,54018048,13,40667.428171576714,2.8481903435256783,53792216.627200946,93310,96074,8000,0.3496322979521364,0.6404173024829536,0.9958193348119677,1.3304951179385234
transposed-code__gemma2-9b-instruct__kind-code__all-linear-r16__s33__299a5d5f30,transposed_code,gemma2_9b_instruct,kind_code,33,16,4,all,8000,8000,256,uniform,271828,0.978513629315387,True,0.39596316300554135,95501.0,2.2388042051877295,155.85130802871572,87.18027536040725,122.36231959358618,36.75862168992842,1.9372992406761835,28.295093521696,0.8278860301626156,0.8431644949733724,0.15336446495974737,1.788144354741158,184,152.57759718340793,364.23344549112335,159.5896829358168,376.04080373899365,352.6113856881821,1.7907872437683072,165,107.2503587397439,343.10585835793637,823.6470022799281,808.4579736167077,1978.00923224746,782.6881363598363,148.68056754899234,8.562738005121648,8.135257798205872,0.01797967134251932,0.02062256036966903,0.08140889456481457,0.27911995065186235,65.87626235059675,-0.026785780775091306,0.2485057390683318,-1.5113605064023827,-0.017201115915809313,0.3352749169215751,0.23248314743803933,0.2560428743300886,0.00017058537506768324,0.10681820548809781,14.143401610958216,30.63957339978975,14.144700028954649,0.45169440769930136,28.502472735385922,0.5274544988793415,0.9730256615473335,0.394748857627782,54018048,13,39016.62622991399,2.9545260926931727,52857396.197012745,98536,101202,8000,0.33119139876115655,0.6443194701306976,0.9785136293153863,1.318901289100508
transposed-code__llama31-8b-base__kind-code__all-linear-r16__s11__d2fdb0164a,transposed_code,llama31_8b_base,kind_code,11,16,4,all,8000,8000,256,uniform,271828,1.0670980318034187,True,0.25759906605160743,88133.0,2.2682915537965065,169.0688014886969,162.35008957662825,272.1526800054634,37.91796619099684,1.781681127875459,28.649576309439645,0.48668506628391833,0.9198871525918324,0.0798286845966964,1.8094252496111656,190,157.25039592336736,376.72708382426197,165.61532103811413,390.577968973,378.35063903347213,1.8112525989047898,180,111.89471986849999,365.96461865038145,843.663294846433,825.7146763317139,2228.5626619064733,812.3937420510532,155.1190191927913,23.479141436937923,13.587203444567962,0.019047255671641894,0.02087460496526683,0.09295143404816389,0.27601756045321485,98.86111734444061,-0.053877410485152044,0.21687197180367582,-1.9023103764217013,0.006364108100051908,0.30331234711934996,0.23248314743803933,0.2299221019116021,0.00047042214732023036,0.07505921527115904,14.113761036706412,30.65256918829216,14.115442735080716,0.4506179076688244,26.77982434833415,0.19510948975756245,0.7944263296190281,0.2575274271009178,41943040,13,22883.813032694554,2.9300650949019844,44757335.43185221,88835,88133,8000,0.36418918940062606,0.6937016630018569,1.0670980318034222,1.3971606108126542
transposed-code__llama31-8b-base__kind-code__all-linear-r16__s22__512603c7bd,transposed_code,llama31_8b_base,kind_code,22,16,4,all,8000,8000,256,uniform,271828,1.0200172653953647,True,0.2602620001134457,88133.0,2.2682915537965065,169.0688014886969,162.35008957662825,272.1526800054634,37.91796619099684,1.781681127875459,28.649576309439645,0.48668506628391833,0.9198871525918324,0.0798286845966964,1.8094252496111656,190,157.25039592336736,376.72708382426197,165.61532103811413,390.577968973,378.35063903347213,1.8112525989047898,180,111.89471986849999,365.96461865038145,843.663294846433,825.7146763317139,2228.5626619064733,812.3937420510532,155.1190191927913,23.479141436937923,13.587203444567962,0.019047255671641894,0.02087460496526683,0.09295143404816389,0.27601756045321485,98.86111734444061,-0.053877410485152044,0.21687197180367582,-1.9023103764217013,0.006364108100051908,0.30331234711934996,0.23248314743803933,0.2299221019116021,0.00047042214732023036,0.07505921527115904,14.113761036706412,30.65256918829216,14.115442735080716,0.4506179076688244,26.77982434833415,0.19510948975756245,0.7944263296190281,0.2589702548020669,41943040,13,22073.861277621763,2.8867928929300217,42782624.963168405,84814,89224,8000,0.3533392602889752,0.6767687248965906,1.0200172653953647,1.3523128072471238
transposed-code__llama31-8b-base__kind-code__all-linear-r16__s33__b75b74d96f,transposed_code,llama31_8b_base,kind_code,33,16,4,all,8000,8000,256,uniform,271828,0.9747717086455759,True,0.2502405169685984,88133.0,2.2682915537965065,169.0688014886969,162.35008957662825,272.1526800054634,37.91796619099684,1.781681127875459,28.649576309439645,0.48668506628391833,0.9198871525918324,0.0798286845966964,1.8094252496111656,190,157.25039592336736,376.72708382426197,165.61532103811413,390.577968973,378.35063903347213,1.8112525989047898,180,111.89471986849999,365.96461865038145,843.663294846433,825.7146763317139,2228.5626619064733,812.3937420510532,155.1190191927913,23.479141436937923,13.587203444567962,0.019047255671641894,0.02087460496526683,0.09295143404816389,0.27601756045321485,98.86111734444061,-0.053877410485152044,0.21687197180367582,-1.9023103764217013,0.006364108100051908,0.30331234711934996,0.23248314743803933,0.2299221019116021,0.00047042214732023036,0.07505921527115904,14.113761036706412,30.65256918829216,14.115442735080716,0.4506179076688244,26.77982434833415,0.19510948975756245,0.7944263296190281,0.24932267256585972,41943040,13,22795.91013377144,2.75600601144497,40884888.76658976,91096,93388,8000,0.35368997912109235,0.6588201357585985,0.9747717086455765,1.3229300767967547
transposed-code__mistral-7b-base__kind-code__all-linear-r16__s11__00c30cc0b2,transposed_code,mistral_7b_base,kind_code,11,16,4,all,8000,8000,256,uniform,271828,0.9205976371469111,True,0.16852631455152567,103839.0,1.653997805146944,123.68899306618056,443.05852537320055,1875.4990158874782,32.760547515673075,1.3047188808993688,28.22213362052055,0.4487340003551219,0.8796159263157477,0.08602187881068171,1.7592992644187184,171,142.09550554607014,339.8400988055506,156.053219893424,365.070637733833,349.85625583591656,1.7650134225800582,160,101.30695484154593,327.3521330706722,809.656776550298,777.0196529994032,2643.8847649559857,762.0189326302594,140.44126023906253,256.3591052008367,189.41426260172884,0.0437534925307681,0.04946765069210812,0.1485758644059987,0.12796300997272725,46.07606874465826,-0.0670589375279198,0.33823184780790694,-1.7231358442615234,0.031426479401940495,0.34149750016657493,0.23248314743803933,0.2813931726761214,0.0007852449903124109,0.1392829137125457,13.579761910145606,30.711011148116253,13.585025552384117,0.45322077130131105,32.636041359103686,0.27680231892883156,0.8751914467559917,0.16152472478674196,41943040,13,17571.564713029395,2.9903848509885402,38612663.518758416,104266,103839,8000,0.30785256180072856,0.6315961517455217,0.920597637146912,1.1055055177047166
