run_id,study,dataset_key,seed,epochs,r_star_bits_per_value,bracketed,reference_bits_saved_per_token,raw_bits_saved_per_token,raw_retained_gain,overfit_bits_per_token,overfit_codec,distinct_rows,samples_seen,lzma_bits,zlib_bits,base_stream_bits
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_kind_code,kind_code,11,4,0.9270848277264081,True,0.1681050878669661,0.16167094079787825,0.9617254471549388,0.006434147069087848,uniform2,,,,,
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s22__d79db6a95e,mistral_kind_code,kind_code,22,4,0.8811149188660377,True,0.16621482032842239,0.15878631148377376,0.9553077828440887,0.007428508844648629,blend1_50,,,,,
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,mistral_kind_code,kind_code,33,4,0.8655379950133298,True,0.16262934218294056,0.15654796940338223,0.9626059313901827,0.006081372779558336,uniform2,,,,,
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s11__64973b625e,mistral_kind_dialogue,kind_dialogue,11,4,0.9997361523735223,True,0.3053469397936337,0.2940126271873402,0.9628805429851248,0.011334312606293473,uniform2,,,,,
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s22__934fae776e,mistral_kind_dialogue,kind_dialogue,22,4,0.9205704074489287,True,0.2787465925828241,0.26619334707477726,0.9549653848976939,0.012553245508046817,blend1_50,,,,,
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s33__fb2f052ab5,mistral_kind_dialogue,kind_dialogue,33,4,0.8189506667608514,True,0.2819006391925596,0.26811885291673,0.9511111918181371,0.0137817862758296,blend1_50,,,,,
mistral-kind-instruct__mistral-7b-base__kind-instruct__all-linear-r16__s11__4857d6cdce,mistral_kind_instruct,kind_instruct,11,4,0.6772248518289024,True,0.5916822670066635,0.5678026075059301,0.9596410762459704,0.02387965950073334,blend1_50,,,,,
mistral-kind-instruct__mistral-7b-base__kind-instruct__all-linear-r16__s22__d941d1a300,mistral_kind_instruct,kind_instruct,22,4,0.6514482019850181,True,0.6158620651320597,0.5853971534274538,0.9505328978201096,0.030464911704605857,binary,,,,,
mistral-kind-instruct__mistral-7b-base__kind-instruct__all-linear-r16__s33__df1571b1dc,mistral_kind_instruct,kind_instruct,33,4,0.6012887864192678,True,0.6453389111059871,0.6199955058091169,0.9607285337041951,0.02534340529687018,blend1_50,,,,,
mistral-kind-summary__mistral-7b-base__kind-summary__all-linear-r16__s11__6258771064,mistral_kind_summary,kind_summary,11,4,0.6304594596694875,True,0.6124316005876165,0.5742582996356207,0.9376692827160303,0.03817330095199578,blend1_50,,,,,
mistral-kind-summary__mistral-7b-base__kind-summary__all-linear-r16__s22__31f041163c,mistral_kind_summary,kind_summary,22,4,0.7329383198921489,True,0.6086508578095,0.5642083117622485,0.926981872321354,0.04444254604725151,blend1_50,,,,,
mistral-kind-summary__mistral-7b-base__kind-summary__all-linear-r16__s33__b698db1946,mistral_kind_summary,kind_summary,33,4,0.5930600841511173,True,0.596471477900645,0.5512823540962506,0.9242392545517127,0.04518912380439444,binary,,,,,
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,mistral_panel_math,panel_math,11,4,0.6991132880995973,True,0.5915728380550018,0.5779222969276068,0.9769250035679868,0.013650541127395055,uniform2,,,,,
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_panel_math,panel_math,22,4,0.7481725636701402,True,0.5916684765974757,0.5793484362010625,0.9791774602100446,0.012320040396413212,uniform2,,,,,
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_panel_math,panel_math,33,4,0.762978618630809,True,0.6040220769666533,0.5936881282767584,0.9828914387669552,0.0103339486898949,uniform2,,,,,
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_kind_code,kind_code,11,4,0.6837292118958256,True,0.08905017272726945,0.08830521556229187,0.9916344107803234,0.0007449571649775777,uniform2,,,,,
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s22__4340ebd7bd,qwen25_kind_code,kind_code,22,4,0.6925149777346562,True,0.09314996873456116,0.09203891955895838,0.9880724686148976,0.0011110491756027852,uniform2,,,,,
