study,adapter,rank,seed,train_rows,source_problems,bits_saved_per_token,r_star_bits_per_value,r_star_file_mbit,raw_retained_gain
arm_a,all_linear_r16,16,11,4000,3311,0.55961,0.75759,31.776,0.9808
arm_a,all_linear_r16,16,22,4000,3311,0.55751,0.82927,34.782,0.9846
arm_a,all_linear_r16,16,33,4000,3311,0.55243,0.76822,32.221,0.9781
arm_a,all_linear_r16,16,44,4000,3311,0.57395,0.75965,31.862,0.9823
arm_a,all_linear_r16,16,55,4000,3311,0.55574,0.79146,33.196,0.9807
arm_a,all_linear_r16,16,66,4000,3311,0.52657,0.80577,33.796,0.9807
arm_b,all_linear_r16,16,11,8000,5620,0.5781,0.72851,30.556,0.9756
arm_b,all_linear_r16,16,22,8000,5620,0.5819,0.75409,31.629,0.9796
arm_b,all_linear_r16,16,33,8000,5620,0.59508,0.78418,32.891,0.9866
arm_b,all_linear_r16,16,44,8000,5620,0.58946,0.71148,29.842,0.9699
arm_b,all_linear_r16,16,55,8000,5620,0.58424,0.73001,30.619,0.9789
arm_b,all_linear_r16,16,66,8000,5620,0.54474,0.74318,31.171,0.9766
arm_c,all_linear_r16,16,11,16000,8497,0.61738,0.78871,33.081,0.996
arm_c,all_linear_r16,16,22,16000,8497,0.61988,0.83773,35.137,0.9927
arm_c,all_linear_r16,16,33,16000,8497,0.62572,0.90826,38.095,1.0
arm_c,all_linear_r16,16,44,16000,8497,0.62797,0.79376,33.293,0.9945
arm_c,all_linear_r16,16,55,16000,8497,0.62043,0.82713,34.693,0.9929
arm_c,all_linear_r16,16,66,16000,8497,0.58458,0.87402,36.659,0.9975
arm_d,all_linear_r16,16,11,32000,10901,0.64678,1.00964,42.348,1.0
arm_d,all_linear_r16,16,22,32000,10901,0.64394,0.9826,41.213,1.0
arm_d,all_linear_r16,16,33,32000,10901,0.64921,1.01477,42.562,1.0
arm_d,all_linear_r16,16,44,32000,10901,0.65488,0.97123,40.736,1.0
arm_d,all_linear_r16,16,55,32000,10901,0.6476,0.96484,40.468,1.0
arm_d,all_linear_r16,16,66,32000,10901,0.60864,0.99123,41.575,1.0
arm_e,all_linear_r16,16,11,2000,1900,0.53428,0.68602,28.774,0.9637
arm_e,all_linear_r16,16,22,2000,1900,0.53415,0.7743,32.476,0.9688
arm_e,all_linear_r16,16,33,2000,1900,0.52795,0.70921,29.746,0.9608
arm_e,all_linear_r16,16,44,2000,1900,0.54771,0.71143,29.84,0.9681
arm_e,all_linear_r16,16,55,2000,1900,0.53208,0.69768,29.263,0.9642
arm_e,all_linear_r16,16,66,2000,1900,0.49715,0.72028,30.211,0.9622
div_1200,all_linear_r16,16,11,8000,1200,0.57221,0.69296,29.065,0.9764
div_1200,all_linear_r16,16,22,8000,1200,0.5714,0.72789,30.53,0.9752
div_1200,all_linear_r16,16,33,8000,1200,0.57289,0.73654,30.893,0.978
div_1200,all_linear_r16,16,44,8000,1200,0.58556,0.67754,28.418,0.9781
div_1200,all_linear_r16,16,55,8000,1200,0.5718,0.71765,30.1,0.9738
div_1200,all_linear_r16,16,66,8000,1200,0.53119,0.7225,30.304,0.9759
div_3600,all_linear_r16,16,11,8000,3600,0.5722,0.7157,30.019,0.9683
div_3600,all_linear_r16,16,22,8000,3600,0.57699,0.74224,31.132,0.9786
div_3600,all_linear_r16,16,33,8000,3600,0.5857,0.7467,31.319,0.9741
div_3600,all_linear_r16,16,44,8000,3600,0.58346,0.76471,32.074,0.9809
div_3600,all_linear_r16,16,55,8000,3600,0.59016,0.74111,31.084,0.9853
div_3600,all_linear_r16,16,66,8000,3600,0.54801,0.76256,31.984,0.9782
div_400,all_linear_r16,16,11,8000,400,0.55462,0.67325,28.238,0.9733
div_400,all_linear_r16,16,22,8000,400,0.55315,0.69307,29.069,0.9677
div_400,all_linear_r16,16,33,8000,400,0.55844,0.7064,29.629,0.9825
div_400,all_linear_r16,16,44,8000,400,0.56485,0.67351,28.249,0.9643
div_400,all_linear_r16,16,55,8000,400,0.5576,0.67414,28.276,0.9773
div_400,all_linear_r16,16,66,8000,400,0.51238,0.67288,28.223,0.9658
kind_code,all_linear_r16,16,11,8000,,0.1616,0.92123,38.639,0.9648
kind_code,all_linear_r16,16,22,8000,,0.15841,0.85716,35.952,0.9529
kind_code,all_linear_r16,16,33,8000,,0.15591,0.93263,39.117,0.963
kind_summary,all_linear_r16,16,11,8000,,0.57218,0.55742,23.38,0.9354
kind_summary,all_linear_r16,16,22,8000,,0.56154,0.86163,36.14,0.9245
kind_summary,all_linear_r16,16,33,8000,,0.55717,0.66532,27.905,0.9251
rank_div_400,all_linear_r64,64,22,8000,,0.45233,0.48476,81.33,0.8639
rank_div_400,all_linear_r64,64,33,8000,,0.45798,0.50128,84.1,0.8435
rank_dup_32k,all_linear_r64,64,11,8000,,0.63225,0.74812,125.514,0.9995
rank_dup_32k,all_linear_r64,64,22,8000,,0.63103,0.80176,134.514,1.0
rank_dup_32k,all_linear_r64,64,33,8000,,0.63485,0.76208,127.857,0.9978
