study,corpus,seeds,raw_gain,tau0.5,tau0.5_n,tau0.7,tau0.7_n,tau0.8,tau0.8_n,tau0.9,tau0.9_n,tau0.95,tau0.95_n,abs0.05,abs0.05_n,abs0.1,abs0.1_n,abs0.15,abs0.15_n
rank_div_400,math,3,0.45856720315673155,0.1802210442249693,3,0.29340476769336615,3,0.36621963083420545,3,0.494178880831442,3,0.6053071364564858,3,0.07020150820414225,3,0.07020150820414225,3,0.10020073037782094,3
kind_instruct,instruction,3,0.5910367105298194,0.19867117287249778,3,0.37794300983347595,3,0.4900741749945297,3,0.6374759995767882,3,0.7469188363804443,3,0.08433761596679687,3,0.08474552493959978,3,0.10311372957924081,3
preamble_narrow,math,3,0.7435217264669924,0.29466239784739284,3,0.42448869108225085,3,0.5090967581129592,3,0.6666221726995494,3,0.8191664728016993,3,0.0843423843383789,3,0.09519992409356734,3,0.13022796235289275,3
div_400,math,6,0.5501742160316885,0.26448475585586645,6,0.4043265722322115,6,0.5073917773690393,6,0.6822101072454629,6,0.8656798964559124,6,0.08433914184570312,6,0.10842024587858012,6,0.1493709780552299,6
plain_narrow,math,3,0.5548507434238212,0.2637322508730521,3,0.3998987796117459,3,0.5023331200080927,3,0.6836066663390916,3,0.8592119984680792,3,0.08434123992919922,3,0.10809129125433846,3,0.14930543390262435,3
shouted_narrow,math,3,0.5757091834097439,0.2626109491377253,3,0.3927558128283119,3,0.4962328868385546,3,0.6869047748618702,3,0.861768588148657,3,0.08434200286865234,3,0.1087184537255821,3,0.14899373734646204,3
preamble_broad,math,3,0.7677414774589082,0.30153734599115206,3,0.42788633389962716,3,0.5136223059760959,3,0.6869830301997882,3,0.8760225945147396,3,0.08434200286865234,3,0.0963919696814958,3,0.13259216504553437,3
kind_summary,summary,3,0.5636289937170166,0.22226775091196718,3,0.4676920987245749,3,0.5980114363524621,3,0.6947892991024789,3,0.7832048549249764,3,0.08433742523193359,3,0.08433742523193359,3,0.10403768123699171,3
numbered_narrow,math,3,0.577295860848064,0.274602015349169,3,0.4155280515475697,3,0.5147468153295225,3,0.697885405128783,3,0.875053340807219,3,0.0843423843383789,3,0.10731599444275675,3,0.15075520729682615,3
div_1200,math,6,0.567509391488479,0.2666742436515236,6,0.4067682777911199,6,0.5155015374497145,6,0.7125132418478504,6,0.9038137746463961,6,0.08433952331542968,6,0.10693301605486615,6,0.1472451760329365,6
numbered_broad,math,3,0.6014681629862312,0.2714067028357246,3,0.4107051820568721,3,0.5356774884673754,3,0.7338214421411625,3,0.9310939806161044,3,0.08434200286865234,3,0.10453284063244045,3,0.14451019057668982,3
plain_broad,math,3,0.5841429213884772,0.27012908969455146,3,0.4264072816267329,3,0.5399753458442729,3,0.7356335842168843,3,0.9380630811898342,3,0.08434085845947266,3,0.10576420172170457,3,0.1444246011279961,3
div_3600,math,6,0.5760856729491349,0.2713786673164056,6,0.41949568094160206,6,0.5307315799820439,6,0.7455035284193694,6,0.9574574106430804,6,0.08433952331542968,6,0.11039146696538545,6,0.14952472689792015,6
shouted_broad,math,3,0.6031924271777354,0.2750471122899385,3,0.41330690969039846,3,0.537358101021044,3,0.7461018398862403,3,0.9504229304336396,3,0.08434162139892579,3,0.10636783388932892,3,0.14666929142442378,3
symbolic_narrow,math,3,1.0621813108006897,0.26233784397841675,3,0.41365728788059336,3,0.5403313824290585,3,0.7627908002510803,3,0.9823062844018366,3,0.0843423843383789,3,0.0843423843383789,3,0.08741450274745484,3
budget_4000,math,3,0.5689766244042879,0.30777297683937066,3,0.46630922510347766,3,0.5760142560450948,3,0.7696190763512902,3,0.9461083503701029,3,0.08473896038495632,3,0.12628839903649514,3,0.17511465812278623,3
rank_dup_32k,math,3,0.6327118190195045,0.22660311764824972,3,0.3832864097451969,3,0.518041768474113,3,0.7706572291038192,3,1.0975870048007748,3,0.07020176251729329,3,0.07224729813647793,3,0.10267141484210733,3
budget_8000,math,3,0.5663689388568645,0.34025423171145747,3,0.49691123345799265,3,0.6045643296774887,3,0.7779880560041592,3,0.9407902585097341,3,0.08883334699130803,3,0.13979698684378372,3,0.18980498561232775,3
budget_1000,math,3,0.5988199955931128,0.2536954831682805,3,0.3975307916160936,3,0.5335403472979132,3,0.7879184791302514,3,1.0640980975633083,3,0.08433971405029297,3,0.09622646152612559,3,0.12982284486294168,3
symbolic_broad,math,3,1.0853809071348304,0.2650040147401506,3,0.4304519394351325,3,0.5659673372971092,3,0.7906325793574434,3,1.0293435416042491,3,0.08434200286865234,3,0.08434200286865234,3,0.08635317521810944,3
budget_500,math,3,0.6097120698605609,0.23168080378580502,3,0.38512281168670454,3,0.5579592017639237,3,0.8931244688542371,3,1.3151943126985681,3,0.08433952331542968,3,0.08590232712498044,3,0.11510732708744259,3
kind_code,code,3,0.15863940850712788,0.3120496292128086,3,0.5427533922852571,3,0.7037453567034806,3,0.9036723672984444,3,1.0716499129918262,3,0.17242622662900658,3,0.41171018658977643,3,0.9243003352559639,3
code_long,code,3,0.1653449970896621,0.2796462969436174,3,0.5053222166157826,3,0.6835601381130773,3,0.9055788635361725,3,1.1186604574752066,3,0.14431051656112814,3,0.3632549221663224,3,0.9569258166369266,3
kind_dialogue,dialogue,3,0.2768492364048159,0.34651151623376086,3,0.542144473835894,3,0.703832838135302,3,0.9361435133685969,3,1.1451502692783573,3,0.12493787222574755,3,0.2277698668088606,3,0.3611287768551109,3
