study,corpus,seeds,forward_kl_per_token,reverse_kl_per_token,jensen_shannon_per_token,total_variation_per_token,observed_bits_saved_per_token,r_star_0.90
rank_div_400,math,3,0.7279,1.9244,0.1362,0.211,0.4586,0.4942
kind_instruct,instruction,3,0.69,1.0048,0.1043,0.2039,0.591,0.6375
preamble_narrow,math,3,0.8337,2.9504,0.1561,0.2283,0.7435,0.6666
div_400,math,6,0.6552,2.0068,0.1301,0.2016,0.5502,0.6822
plain_narrow,math,3,0.6607,2.0638,0.1312,0.2023,0.5548,0.6836
shouted_narrow,math,3,0.6605,1.9859,0.1236,0.1844,0.5757,0.6869
preamble_broad,math,3,0.8642,2.9795,0.1636,0.2359,0.7677,0.687
kind_summary,summary,3,0.7019,1.8271,0.1438,0.2536,0.5636,0.6948
numbered_narrow,math,3,0.6661,2.2715,0.1306,0.1978,0.5773,0.6979
div_1200,math,6,0.6685,2.1252,0.1332,0.2048,0.5675,0.7125
numbered_broad,math,3,0.6908,2.3262,0.1365,0.2039,0.6015,0.7338
plain_broad,math,3,0.6861,2.1672,0.1373,0.2087,0.5841,0.7356
div_3600,math,6,0.6665,2.0617,0.133,0.2048,0.5761,0.7455
shouted_broad,math,3,0.6806,2.0513,0.1281,0.189,0.6032,0.7461
symbolic_narrow,math,3,1.146,3.726,0.2033,0.2799,1.0622,0.7628
budget_4000,math,3,0.6651,1.8808,0.1302,0.2022,0.569,0.7696
rank_dup_32k,math,3,0.6843,2.2047,0.1349,0.207,0.6327,0.7707
budget_8000,math,3,0.6627,1.8634,0.1296,0.2016,0.5664,0.778
budget_1000,math,3,0.6879,2.3532,0.1391,0.2096,0.5988,0.7879
symbolic_broad,math,3,1.1694,3.8527,0.208,0.2844,1.0854,0.7906
budget_500,math,3,0.6204,1.8209,0.1221,0.1925,0.6097,0.8931
kind_code,code,3,0.2168,0.2734,0.041,0.1129,0.1586,0.9037
code_long,code,3,0.2117,0.2648,0.0402,0.1111,0.1538,0.9056
kind_dialogue,dialogue,3,0.3654,0.4801,0.0674,0.1737,0.2768,0.9361
