task,model,groups,r_star_mean,r_star_sd,bits_saved_mean,bits_saved_sd,raw_exact_match_mean,raw_exact_match_sd
SQL,Mistral-7B,10,0.375010,0.033019,0.669608,0.020516,0.300000,0.007211
SQL,Mistral-7B,25,0.387059,0.037973,0.674441,0.022815,0.315333,0.009866
SQL,Mistral-7B,100,0.405806,0.021268,0.676210,0.020628,0.319333,0.014468
SQL,Qwen2.5-7B,10,0.583701,0.038358,0.249725,0.012460,0.324000,0.008718
SQL,Qwen2.5-7B,25,0.611143,0.026227,0.257456,0.006671,0.333333,0.011547
SQL,Qwen2.5-7B,100,0.599614,0.010626,0.263042,0.009862,0.336000,0.014000
XBRL,Mistral-7B,10,0.260321,0.014562,1.671180,0.065830,0.763333,0.018148
XBRL,Mistral-7B,18,0.294006,0.021950,1.716002,0.007239,0.799333,0.018583
XBRL,Mistral-7B,30,0.317777,0.040293,1.739160,0.025399,0.823333,0.004619
XBRL,Qwen2.5-7B,10,0.396927,0.035277,0.616199,0.085777,0.770667,0.012858
XBRL,Qwen2.5-7B,18,0.443018,0.046227,0.663473,0.042319,0.807333,0.009238
XBRL,Qwen2.5-7B,30,0.469201,0.043722,0.688474,0.054407,0.832000,0.003464
