study,seed,layer,relative_shift,cosine
arm_a,11,0,0.0,1.0
arm_a,11,1,0.108539,0.99429
arm_a,11,2,0.018484,0.99982
arm_a,11,3,0.026775,0.99961
arm_a,11,4,0.036335,0.999297
arm_a,11,5,0.056174,0.998364
arm_a,11,6,0.071318,0.997405
arm_a,11,7,0.088964,0.996253
arm_a,11,8,0.110798,0.995013
arm_a,11,9,0.130612,0.992819
arm_a,11,10,0.138967,0.99143
arm_a,11,11,0.177181,0.986165
arm_a,11,12,0.187575,0.984473
arm_a,11,13,0.189781,0.984013
arm_a,11,14,0.207625,0.981363
arm_a,11,15,0.225993,0.977246
arm_a,11,16,0.228552,0.976456
arm_a,11,17,0.22381,0.975689
arm_a,11,18,0.233763,0.973032
arm_a,11,19,0.266816,0.963853
arm_a,11,20,0.277857,0.960442
arm_a,11,21,0.264947,0.964307
arm_a,11,22,0.25014,0.968254
arm_a,11,23,0.239003,0.971052
arm_a,11,24,0.272512,0.962169
arm_a,11,25,0.263064,0.964626
arm_a,11,26,0.261401,0.964971
arm_a,11,27,0.267014,0.963308
arm_a,11,28,0.290656,0.956678
arm_a,11,29,0.306163,0.952385
arm_a,11,30,0.319233,0.947341
arm_a,11,31,0.327886,0.944314
arm_a,11,32,0.430807,0.901567
arm_b,11,0,0.0,1.0
arm_b,11,1,0.135523,0.991091
arm_b,11,2,0.048617,0.999014
arm_b,11,3,0.052775,0.998866
arm_b,11,4,0.059481,0.998547
arm_b,11,5,0.076155,0.997549
arm_b,11,6,0.086883,0.996499
arm_b,11,7,0.106863,0.994846
arm_b,11,8,0.127174,0.992762
arm_b,11,9,0.15046,0.98992
arm_b,11,10,0.158207,0.988874
arm_b,11,11,0.176062,0.985686
arm_b,11,12,0.193932,0.982349
arm_b,11,13,0.199385,0.980832
arm_b,11,14,0.214004,0.977673
arm_b,11,15,0.229094,0.973698
arm_b,11,16,0.244079,0.969966
arm_b,11,17,0.257587,0.966092
arm_b,11,18,0.266311,0.96377
arm_b,11,19,0.306171,0.952027
arm_b,11,20,0.325112,0.94612
arm_b,11,21,0.327253,0.946336
arm_b,11,22,0.31421,0.951714
arm_b,11,23,0.298207,0.957034
arm_b,11,24,0.30781,0.953452
arm_b,11,25,0.298376,0.956487
arm_b,11,26,0.300394,0.956119
arm_b,11,27,0.303765,0.954173
arm_b,11,28,0.321482,0.946949
arm_b,11,29,0.345677,0.937816
arm_b,11,30,0.365275,0.930448
arm_b,11,31,0.385286,0.922171
arm_b,11,32,0.547504,0.835258
arm_c,11,0,0.0,1.0
arm_c,11,1,0.100016,0.995424
arm_c,11,2,0.044927,0.999137
arm_c,11,3,0.047215,0.999022
arm_c,11,4,0.054648,0.998719
arm_c,11,5,0.068989,0.997942
arm_c,11,6,0.083275,0.99694
arm_c,11,7,0.109441,0.99499
arm_c,11,8,0.131529,0.99291
arm_c,11,9,0.149367,0.990544
arm_c,11,10,0.154189,0.989694
arm_c,11,11,0.172795,0.986847
arm_c,11,12,0.186461,0.984176
arm_c,11,13,0.188306,0.983356
arm_c,11,14,0.204118,0.979969
arm_c,11,15,0.221914,0.975649
arm_c,11,16,0.234231,0.972499
arm_c,11,17,0.245948,0.969126
arm_c,11,18,0.253372,0.967246
arm_c,11,19,0.295598,0.955046
arm_c,11,20,0.313997,0.949391
arm_c,11,21,0.317106,0.948973
arm_c,11,22,0.30453,0.953712
arm_c,11,23,0.292794,0.957628
arm_c,11,24,0.311957,0.951151
arm_c,11,25,0.304239,0.953947
arm_c,11,26,0.304123,0.954306
arm_c,11,27,0.310393,0.951504
arm_c,11,28,0.332723,0.942723
arm_c,11,29,0.363295,0.931056
arm_c,11,30,0.389197,0.920634
arm_c,11,31,0.419495,0.907252
arm_c,11,32,0.599377,0.797741
arm_d,11,0,0.0,1.0
arm_d,11,1,0.123896,0.993329
arm_d,11,2,0.041627,0.999164
arm_d,11,3,0.047142,0.998885
arm_d,11,4,0.0573,0.998378
arm_d,11,5,0.077704,0.997308
arm_d,11,6,0.093609,0.996169
arm_d,11,7,0.121225,0.994032
arm_d,11,8,0.143239,0.99216
arm_d,11,9,0.1641,0.989494
arm_d,11,10,0.167707,0.988886
arm_d,11,11,0.196319,0.985045
arm_d,11,12,0.212447,0.982252
arm_d,11,13,0.214922,0.98155
arm_d,11,14,0.237181,0.978
arm_d,11,15,0.257131,0.974191
arm_d,11,16,0.26738,0.972517
arm_d,11,17,0.256077,0.971516
arm_d,11,18,0.264314,0.970102
arm_d,11,19,0.286913,0.961625
arm_d,11,20,0.29819,0.957659
arm_d,11,21,0.296549,0.957446
arm_d,11,22,0.279822,0.962304
arm_d,11,23,0.26817,0.965405
arm_d,11,24,0.286308,0.960567
arm_d,11,25,0.276913,0.962786
arm_d,11,26,0.274386,0.963236
arm_d,11,27,0.284645,0.960396
arm_d,11,28,0.307153,0.95455
arm_d,11,29,0.334936,0.946566
arm_d,11,30,0.350622,0.939627
arm_d,11,31,0.364412,0.93422
arm_d,11,32,0.475859,0.879543
arm_e,11,0,0.0,1.0
arm_e,11,1,0.111794,0.99379
arm_e,11,2,0.018857,0.999808
arm_e,11,3,0.025425,0.999646
arm_e,11,4,0.031491,0.999465
arm_e,11,5,0.044414,0.99895
arm_e,11,6,0.05857,0.998193
arm_e,11,7,0.076817,0.99696
arm_e,11,8,0.091086,0.995967
arm_e,11,9,0.112921,0.993711
arm_e,11,10,0.122836,0.992556
arm_e,11,11,0.162317,0.986789
arm_e,11,12,0.168233,0.98587
arm_e,11,13,0.171398,0.985431
arm_e,11,14,0.187512,0.982655
arm_e,11,15,0.209516,0.977819
arm_e,11,16,0.221463,0.974957
arm_e,11,17,0.233897,0.972266
arm_e,11,18,0.251737,0.967927
arm_e,11,19,0.299312,0.953831
arm_e,11,20,0.322395,0.9468
arm_e,11,21,0.317354,0.949923
arm_e,11,22,0.30818,0.954435
arm_e,11,23,0.300825,0.95793
arm_e,11,24,0.330203,0.946412
arm_e,11,25,0.317831,0.950998
arm_e,11,26,0.32106,0.951247
arm_e,11,27,0.320428,0.950511
arm_e,11,28,0.330479,0.944733
arm_e,11,29,0.35388,0.935257
arm_e,11,30,0.371574,0.929062
arm_e,11,31,0.389404,0.921295
arm_e,11,32,0.530743,0.844902
