study,corpus,seed,codec,rate,gradient_norm,delta_norm,first_order_bits,measured_damage_bits,relative_delta_norm,second_order_bits,taylor_bits
budget_1000,math,11,uniform2,1.98,0.4265232270714787,12.167195,-0.01594867,-0.0067243,0.29811059,0.00852577,-0.0074229
budget_1000,math,22,uniform2,1.98,0.37887020529542065,12.14905608,-0.0161147,-0.00621471,0.29796469,0.01096495,-0.00514975
budget_1000,math,33,uniform2,1.98,0.36204603890221254,12.16320194,-0.01581036,-0.0061672,0.29804796,0.01051448,-0.00529588
budget_4000,math,11,uniform2,1.98,0.4130015726717639,14.87871653,-0.02996082,-0.01809212,0.31711812,0.0116101,-0.01835073
budget_4000,math,22,uniform2,1.98,0.25765648369347666,11.63997285,-0.01966724,-0.01219479,0.29330717,0.00758266,-0.01208458
budget_4000,math,33,uniform2,1.98,0.3710533120057253,14.88091564,-0.0260475,-0.01448553,0.31711563,0.01321085,-0.01283664
budget_500,math,11,uniform2,1.98,0.1668113878623247,10.72213967,-0.00142081,0.00445371,0.2825122,0.00617495,0.00475414
budget_500,math,22,uniform2,1.98,0.1526969458921308,10.71985961,-0.00188072,0.00463308,0.28247529,0.00554953,0.00366881
budget_500,math,33,uniform2,1.98,0.14220928140585584,10.73193936,-0.00104928,0.00566818,0.28263593,0.00631555,0.00526627
budget_8000,math,11,uniform2,1.98,0.2905604752313933,13.73196449,-0.02512471,-0.01595563,0.31018943,0.01130594,-0.01381876
budget_8000,math,22,uniform2,1.98,0.25221617222511894,11.0645819,-0.01778567,-0.01085506,0.28668941,0.00615972,-0.01162595
budget_8000,math,33,uniform2,1.98,0.33842155330915136,14.75460071,-0.03066051,-0.02006787,0.31633496,0.01065081,-0.0200097
div_1200,math,11,uniform2,1.98,0.31195109558973905,13.89654353,-0.01985265,-0.01139762,0.31131307,0.00873162,-0.01112103
div_1200,math,22,uniform2,1.98,0.28733275929227325,13.89055415,-0.02222167,-0.01226241,0.31138322,-0.01293461,-0.03515628
div_1200,math,33,uniform2,1.98,0.2836265424154346,13.89029984,-0.02148243,-0.01167279,0.31139134,0.00990917,-0.01157326
div_1200,math,44,uniform2,1.98,0.31093768354630924,13.86389375,-0.02083565,-0.01130865,0.31121315,0.01046577,-0.01036988
div_3600,math,11,uniform2,1.98,0.31750455428784424,14.00134652,-0.02452541,-0.01545378,0.31203743,0.01078883,-0.01373658
div_3600,math,22,uniform2,1.98,0.2815043306119231,14.0090548,-0.02174278,-0.01167091,0.31205864,0.01137792,-0.01036486
div_3600,math,33,uniform2,1.98,0.3000618642360481,14.00345732,-0.0228026,-0.0125041,0.31206449,0.0112495,-0.01155309
div_3600,math,44,uniform2,1.98,0.22772479356138056,11.82128515,-0.0204905,-0.01134412,0.29518576,0.01036838,-0.01012212
div_400,math,11,uniform2,1.98,0.26402977565715396,12.73173262,-0.02080028,-0.0119679,0.3030087,0.0090675,-0.01173277
div_400,math,22,uniform2,1.98,0.277767582878478,13.75956033,-0.02360879,-0.01437766,0.3105821,0.00876246,-0.01484633
div_400,math,33,uniform2,1.98,0.3587904405229963,13.76715405,-0.01914391,-0.00939063,0.31058167,0.01056684,-0.00857707
div_400,math,44,uniform2,1.98,0.30584695481456786,13.76699057,-0.02513774,-0.01672805,0.31059508,0.0095132,-0.01562453
kind_code,code,11,uniform2,1.98,0.17155743652264752,12.14638812,-0.01226417,-0.00589563,0.29953511,0.00654853,-0.00571565
kind_code,code,22,uniform2,1.98,0.185841306679641,12.15532738,-0.01346032,-0.00705994,0.2996529,0.01939048,0.00593016
kind_code,code,33,uniform2,1.98,0.16281379905116541,12.15677404,-0.01259895,-0.00599082,0.29961955,0.00912059,-0.00347837
kind_dialogue,dialogue,11,uniform2,1.98,0.4090809850982162,10.70799744,-0.0166322,-0.00869052,0.28314064,0.00785354,-0.00877866
kind_dialogue,dialogue,22,uniform2,1.98,0.2991017603440743,10.69273204,-0.01819705,-0.01257336,0.28293925,0.00513744,-0.01305962
kind_dialogue,dialogue,33,uniform2,1.98,0.28823981620535893,10.68070259,-0.01612032,-0.01160728,0.28280048,-0.01264005,-0.02876037
kind_instruct,instruction,11,uniform2,1.98,0.38993280116101064,12.18337771,-0.02608844,-0.0191607,0.29966855,0.00751557,-0.01857287
kind_instruct,instruction,22,uniform2,1.98,0.415946094988745,12.18576585,-0.0273471,-0.01923757,0.29974255,0.00874793,-0.01859917
kind_instruct,instruction,33,uniform2,1.98,0.3850878997261771,10.65548533,-0.02320619,-0.0176131,0.28248396,0.00617392,-0.01703227
kind_summary,summary,11,uniform2,1.98,0.7768949046696157,12.27613503,-0.04590448,-0.02800532,0.30041781,0.00641499,-0.03948949
kind_summary,summary,22,uniform2,1.98,0.9702269462671496,10.75572868,-0.03971226,-0.03069214,0.28379917,-0.40310992,-0.44282218
kind_summary,summary,33,uniform2,1.98,0.8096192716696528,12.2689175,-0.04965542,-0.03191648,0.3003506,0.0036576,-0.04599782
numbered_broad,math,11,uniform2,1.98,0.3157240023054791,14.04732525,-0.02066722,-0.01127337,0.31226126,0.00999319,-0.01067403
numbered_broad,math,22,uniform2,1.98,0.2759130811201004,14.02985632,-0.02134099,-0.01201764,0.31218238,0.01008423,-0.01125676
numbered_broad,math,33,uniform2,1.98,0.2783675304313411,14.04051721,-0.01887595,-0.00926539,0.3122904,0.00963097,-0.00924499
numbered_narrow,math,11,uniform2,1.98,0.28539670969577463,13.75111468,-0.02054126,-0.0126096,0.31046021,0.00783604,-0.01270522
numbered_narrow,math,22,uniform2,1.98,0.24344874190790658,13.73954348,-0.02043012,-0.01218137,0.31041091,0.00944942,-0.0109807
numbered_narrow,math,33,uniform2,1.98,0.2667178644390188,13.74457013,-0.01944039,-0.01107098,0.31039383,0.00929057,-0.01014982
plain_broad,math,11,uniform2,1.98,0.3868451923232844,14.05632297,-0.02341822,-0.01375828,0.31235525,0.01680997,-0.00660825
plain_broad,math,22,uniform2,1.98,0.30859030951018596,14.05060858,-0.0226454,-0.01351418,0.31236102,0.0087395,-0.0139059
plain_broad,math,33,uniform2,1.98,0.3054241421024501,14.05505445,-0.02008475,-0.00926301,0.31231088,0.0111766,-0.00890815
plain_narrow,math,11,uniform2,1.98,0.31818725754296456,13.75984311,-0.02176426,-0.01263386,0.31049882,0.00958459,-0.01217967
plain_narrow,math,22,uniform2,1.98,0.28653644306021375,13.75758513,-0.02292761,-0.01242382,0.31050591,0.01115928,-0.01176833
plain_narrow,math,33,uniform2,1.98,0.30705039471835566,13.76086052,-0.01921541,-0.01033468,0.3105442,0.00877802,-0.01043739
preamble_broad,math,11,uniform2,1.98,0.35338143178013837,14.05540457,-0.02029226,-0.01069507,0.31235001,0.00796555,-0.0123267
preamble_broad,math,22,uniform2,1.98,0.2964707558661448,14.04091116,-0.0207534,-0.01076626,0.31226571,0.01176495,-0.00898844
preamble_broad,math,33,uniform2,1.98,0.2802335996593153,14.04371901,-0.01934039,-0.01077183,0.3121968,0.00868512,-0.01065527
preamble_narrow,math,11,uniform2,1.98,0.23649422664430478,12.72937737,-0.02087166,-0.01421441,0.30297252,0.00749986,-0.0133718
preamble_narrow,math,22,uniform2,1.98,0.24417828841564546,13.7445285,-0.0209883,-0.0113932,0.31038925,0.00978468,-0.01120362
preamble_narrow,math,33,uniform2,1.98,0.2525761464233494,13.75039617,-0.01925642,-0.01115321,0.31042162,0.00729936,-0.01195706
rank_div_400,math,11,uniform2,1.98,0.4382657094230001,20.59755809,-0.05263851,-0.04046703,0.27820472,0.00920811,-0.0434304
rank_div_400,math,22,uniform2,1.98,0.5205276227834863,27.15739623,-0.05464465,-0.03580069,0.31140801,0.02103769,-0.03360696
rank_div_400,math,33,uniform2,1.98,0.4473362662821602,27.17403357,-0.06114993,-0.04415373,0.31140364,0.01738737,-0.04376256
rank_dup_32k,math,11,uniform2,1.98,0.21159438002918912,27.70340811,-0.01322702,-0.00029738,0.31411678,0.01508178,0.00185476
rank_dup_32k,math,22,uniform2,1.98,0.20423489646153378,27.72387896,-0.01366207,8.25e-05,0.31420443,0.01637465,0.00271258
