study,transform,diversity,seed,base_bits_per_token,bits_saved_per_token,r_star_bits_per_value
numbered_broad,numbered,broad,11,0.88202,0.59588,0.69744
numbered_broad,numbered,broad,22,0.87273,0.59835,0.73833
numbered_broad,numbered,broad,33,0.86166,0.61018,0.7657
numbered_narrow,numbered,narrow,11,0.88202,0.57888,0.7002
numbered_narrow,numbered,narrow,22,0.87273,0.57433,0.68302
numbered_narrow,numbered,narrow,33,0.86166,0.57868,0.71043
plain_broad,plain,broad,11,0.899,0.57842,0.69038
plain_broad,plain,broad,22,0.89512,0.58156,0.755
plain_broad,plain,broad,33,0.88171,0.59244,0.76152
plain_narrow,plain,narrow,11,0.899,0.55501,0.67092
plain_narrow,plain,narrow,22,0.89512,0.55279,0.6786
plain_narrow,plain,narrow,33,0.88171,0.55675,0.7013
preamble_broad,preamble,broad,11,1.0637,0.76448,0.66694
preamble_broad,preamble,broad,22,1.05939,0.76151,0.68661
preamble_broad,preamble,broad,33,1.04802,0.77723,0.70739
preamble_narrow,preamble,narrow,11,1.0637,0.74209,0.66862
preamble_narrow,preamble,narrow,22,1.05939,0.74081,0.65413
preamble_narrow,preamble,narrow,33,1.04802,0.74766,0.67711
shouted_broad,shouted,broad,11,0.85295,0.60114,0.70596
shouted_broad,shouted,broad,22,0.845,0.59752,0.76232
shouted_broad,shouted,broad,33,0.83601,0.61092,0.77002
shouted_narrow,shouted,narrow,11,0.85295,0.57579,0.70717
shouted_narrow,shouted,narrow,22,0.845,0.57581,0.67166
shouted_narrow,shouted,narrow,33,0.83601,0.57553,0.68189
symbolic_broad,symbolic,broad,11,1.35003,1.07813,0.79226
symbolic_broad,symbolic,broad,22,1.35953,1.09168,0.79178
symbolic_broad,symbolic,broad,33,1.32988,1.08633,0.78786
symbolic_narrow,symbolic,narrow,11,1.35003,1.05605,0.79184
symbolic_narrow,symbolic,narrow,22,1.35953,1.07362,0.7411
symbolic_narrow,symbolic,narrow,33,1.32988,1.05687,0.75544
