study,condition,seed,mappings,source_bits,r_star_bits_per_value,bracketed,raw_bits_saved_per_mapping,learning_gate_passed
discovery,rule,11,32,4,0.8512365753904392,True,4.498423929226665,True
discovery,rule,11,64,4,0.5234356859457442,True,4.495890138862153,True
discovery,rule,11,128,4,0.5197649851002049,True,4.495172478668144,True
discovery,rule,22,32,4,0.6618457622813536,True,4.498423929226665,True
discovery,rule,22,64,4,0.6099530735594755,True,4.495890138862153,True
discovery,rule,22,128,4,0.7269515066523133,True,4.495172478668144,True
discovery,rule,33,32,4,0.5120211116127515,True,4.498423929226665,True
discovery,rule,33,64,4,0.7554371147259419,True,4.495890138862153,True
discovery,rule,33,128,4,0.652612952629642,True,4.495172478668144,True
discovery,rule_shown,11,32,4,0.7147712681704356,True,4.217156011325313,True
discovery,rule_shown,11,64,4,0.7407432854323213,True,4.225286761338638,True
discovery,rule_shown,11,128,4,0.9731220409783501,True,4.219912638227338,True
discovery,rule_shown,22,32,4,0.5640638274139589,True,4.217156011325313,True
discovery,rule_shown,22,64,4,0.687260911575003,True,4.225286761338638,True
discovery,rule_shown,22,128,4,1.8449021382684678,True,4.2199124549159315,True
discovery,rule_shown,33,32,4,0.7147602387249985,True,4.217156011325313,True
discovery,rule_shown,33,64,4,0.6479076091109864,True,4.225286761338638,True
discovery,rule_shown,33,128,4,0.7239348002810062,True,4.219912638227338,True
payload,rule,11,128,4,0.5197649851002049,True,4.495172478668144,True
payload,rule,22,128,4,0.7269515066523133,True,4.495172478668144,True
payload,rule,33,128,4,0.652612952629642,True,4.495172478668144,True
payload,rule_p1,11,128,8,0.8520401461136512,True,4.508860355396427,True
payload,rule_p1,22,128,8,0.7269515066523133,True,4.495172478668144,True
payload,rule_p1,33,128,8,0.7554289416427995,True,4.497494729953545,True
payload,rule_p2,11,128,12,1.8462370241066015,True,4.519347995863978,True
payload,rule_p2,22,128,12,0.7350735602651497,True,4.5040203434454895,True
payload,rule_p2,33,128,12,0.7554289416427995,True,4.497494729953545,True
payload,rule_p4,11,128,20,0.6843477026740022,True,4.50877345706871,True
payload,rule_p4,22,128,20,0.7519838491501809,True,4.496192544030249,True
payload,rule_p4,33,128,20,,False,4.303080039479891,True
payload,rule_p8,11,128,32,1.1334562200846436,True,4.488006736402248,True
payload,rule_p8,22,128,32,1.935948148490127,True,4.477605911339066,True
payload,rule_p8,33,128,32,0.8032759126776946,True,4.469633407484752,True
payload,random,11,128,512,1.2867640025461395,True,4.562126197019988,True
payload,random,22,128,512,1.3187309491455328,True,4.549495973886203,True
payload,random,33,128,512,0.724755105035072,True,4.5767660711163245,True
