map,seed,source_bits,mappings,r_star,bracketed,gain_per_mapping,accuracy,learned
bilinear,11,4,128,0.9699470542123174,True,4.461397237551793,1.0,True
bilinear,22,4,128,0.5206095483938645,True,4.461397264312585,1.0,True
bilinear,33,4,128,0.6727537767351499,True,4.461397258960427,1.0,True
difference,11,4,128,0.6662276095458914,True,4.501570387540971,1.0,True
difference,22,4,128,0.6471654323845639,True,4.501570561486123,1.0,True
difference,33,4,128,0.6069154028935847,True,4.501570521344924,1.0,True
item,11,4,128,0.46012736176865326,True,4.411132786958502,1.0,True
item,22,4,128,0.5129251183412521,True,4.411132786958502,1.0,True
item,33,4,128,0.3938144002890447,True,4.411132786958502,1.0,True
product,11,4,128,,False,3.7297156975216454,0.875,False
product,22,4,128,1.456984880854073,True,4.478067112451632,1.0,True
product,33,4,128,,False,-0.07374670718887,0.09375,False
sum,11,4,128,0.5197649851002049,True,4.49517246528775,1.0,True
sum,22,4,128,0.7269515066523133,True,4.495171817675857,1.0,True
sum,33,4,128,0.652612952629642,True,4.495163211097449,1.0,True
xor,11,4,128,0.6229350125265785,True,4.472821165536717,1.0,True
xor,22,4,128,0.7092954546296835,True,4.472821334129791,1.0,True
xor,33,4,128,0.6590136389721493,True,4.472821314059233,1.0,True
