condition,family,gsm8k_accuracy,chain_words,chain_computations,words_per_computation,hit_generation_limit,sentence_break_rate,decimal_break_rate
forcing_bias0,reference,0.748,60.63,3.766,16.1,0.004,0.142,0.006
forcing_adapter,reference,0.802,88.04,3.856,22.83,0.008,0.93,0.008
forcing_bias0.5,length_forcing,0.754,63.45,3.922,16.18,0.01,0.148,0.006
forcing_bias1,length_forcing,0.746,65.99,4.082,16.17,0.022,0.15,0.006
forcing_bias2,length_forcing,0.694,84.86,4.974,17.06,0.086,0.158,0.006
forcing_bias4,length_forcing,0.346,222.31,10.634,20.91,0.486,0.22,0.006
forcing_hold100,length_forcing,0.372,206.64,9.934,20.8,0.416,0.198,0.006
band_00_06,layer_band,0.796,93.5,4.36,21.45,0.016,0.67,0.034
band_07_13,layer_band,0.79,90.76,4.088,22.2,0.002,0.82,0.028
band_14_20,layer_band,0.774,58.32,3.698,15.77,0.008,0.154,0.008
band_21_27,layer_band,0.748,60.75,3.724,16.31,0.012,0.128,0.008
band_all,layer_band,0.802,88.04,3.856,22.83,0.008,0.93,0.008
band_none,layer_band,0.748,60.63,3.766,16.1,0.004,0.142,0.006
style_none,in_context_register,0.7465,60.05,3.722,16.13,0.004,0.1429,0.006
style_gsm8k,in_context_register,0.7525,57.23,4.427,12.93,0.0141,0.7525,0.0
style_metamath,in_context_register,0.7103,76.66,4.127,18.58,0.6419,0.1952,0.002
matched_none,matched_register,0.7465,60.28,3.744,16.1,0.004,0.1429,0.006
matched_terse,matched_register,0.7565,62.0,4.249,14.59,0.0101,0.6459,0.0
matched_verbose,matched_register,0.8008,64.65,3.775,17.13,0.4447,0.7223,0.004
matched_adapter,matched_register,0.8008,88.19,3.847,22.92,0.008,0.9316,0.008
segment_top2,derived_token_shift,0.75,60.68,3.778,16.06,0.004,0.216,0.01
segment_top8,derived_token_shift,0.746,61.2,3.828,15.99,0.002,0.246,0.01
segment_top32,derived_token_shift,0.752,70.88,4.12,17.2,0.01,0.306,0.018
segment_top80,derived_token_shift,0.752,70.82,4.046,17.5,0.01,0.308,0.016
segscale_1,scaled_token_shift,0.75,60.68,3.778,16.06,0.004,0.216,0.01
segscale_3,scaled_token_shift,0.766,61.12,3.842,15.91,0.01,0.746,0.05
segscale_6,scaled_token_shift,0.264,55.16,3.546,15.56,0.808,0.962,0.226
segscale_10,scaled_token_shift,0.28,246.33,1.826,134.9,0.986,0.766,0.124
segscale_20,scaled_token_shift,0.0,512.0,0.0,512000000000.0,1.0,0.0,0.0
spec_0_1_b1,spectral_band,0.802,88.04,3.856,22.83,0.008,0.93,0.008
spec_0_1_b16,spectral_band,0.402,131.18,4.898,26.78,0.034,0.816,0.004
spec_0_4_b1,spectral_band,0.71,98.04,4.1,23.91,0.014,0.916,0.012
spec_0_4_b16,spectral_band,0.234,92.92,5.418,17.15,0.012,0.476,0.0
spec_0_8_b1,spectral_band,0.594,110.64,4.614,23.98,0.012,0.916,0.004
spec_0_8_b16,spectral_band,0.226,94.38,5.712,16.52,0.0,0.428,0.0
spec_1_4_b1,spectral_band,0.768,82.95,4.046,20.5,0.008,0.656,0.026
spec_1_4_b16,spectral_band,0.424,92.19,3.874,23.8,0.008,0.882,0.012
spec_4_16_b1,spectral_band,0.76,72.57,4.104,17.68,0.004,0.442,0.02
spec_4_16_b16,spectral_band,0.828,94.86,4.386,21.63,0.008,0.834,0.048
