key,family,update_norm,gsm8k_accuracy,corruption_preference_bits,nll_permuted_bits_per_token,nll_aligned_bits_per_token,modal_opening_share,distinct_openings,cosine_to_clean
base,reference,0.0,0.748,-0.6330908868020066,0.9172981401209617,0.28420725331895497,0.014,0.988,0.0
clean_rank1_b1,clean,5.234186818926773,0.812,-0.6947494521704166,0.890712764778526,0.1959633126081094,0.002,1.0,0.3425289980475928
clean_raw,clean,15.280999764610065,0.804,-0.7523030254252023,0.9141647823724371,0.1618617569472348,0.002,1.0,1.0
norm_matched_b1,shrinkage_matched,9.18152770549326,0.778,-0.4422308543572547,0.6626057239656611,0.2203748696084064,0.004,0.996,0.00898074762570112
norm_matched_b2,shrinkage_matched,12.766365240794656,0.576,-0.37588955445647515,0.6178764724912057,0.24198691803473055,0.052,0.792,0.00898074752165299
norm_matched_b4,shrinkage_matched,14.27486507964812,0.416,-0.3467140579204826,0.6032824283668158,0.2565683704463332,0.23,0.506,0.008980747696671511
norm_matched_b8,shrinkage_matched,14.528473156963948,0.386,-0.34166448976662966,0.601149159526598,0.2594846697599683,0.258,0.472,0.008980747659665915
rank1_b1,compression,9.181526926680053,0.802,-0.4928633577603081,0.7101409948415878,0.2172776370812797,0.002,1.0,0.00582787183606821
rank1_b16,compression,14.529859824363234,0.392,-0.3418512140040597,0.6011829236321968,0.2593317096281371,0.266,0.47,0.008980740769924209
rank1_b2,compression,12.76635505708492,0.648,-0.39961988754566713,0.6322981992177011,0.23267831167203398,0.052,0.872,0.007927043897086702
rank1_b4,compression,14.274860370535785,0.446,-0.3503998440230117,0.6055005908155592,0.25510074679254746,0.172,0.568,0.00882118130601858
rank1_b8,compression,14.528474546402165,0.404,-0.34193135438523714,0.6012394920799765,0.25930813769473937,0.25,0.476,0.008980601151765678
raw,reference,20.866938113925706,0.23,-0.09601457969074723,0.48147497462457683,0.3854603949338296,0.64,0.038,0.033230010185097275
scale_full_0p1,shrinkage_full,2.086693926655068,0.796,-0.5504148809591234,0.7833242855393757,0.2329094045802524,0.006,0.996,0.03323000906656523
scale_full_0p3,shrinkage_full,6.260081976292614,0.766,-0.4219746353954774,0.6416208487741321,0.21964621337865461,0.002,1.0,0.033230008639208365
scale_full_0p5,shrinkage_full,10.433469522915615,0.354,-0.3091311790811844,0.5587926099694095,0.24966143088822507,0.106,0.594,0.03323000893782479
scale_head_0p03,shrinkage_head,0.4358957873824594,0.758,-0.621355352631856,0.8942747153826334,0.2729193627507773,0.012,0.99,0.008980747464524486
scale_head_0p1,shrinkage_head,1.4529859972027037,0.76,-0.5935716193656848,0.8436099094001124,0.2500382900344276,0.012,0.99,0.008980747631453657
scale_head_0p2,shrinkage_head,2.9059719944054074,0.802,-0.5580771440518628,0.788144185057923,0.2300670410060602,0.006,0.996,0.008980747631453657
scale_head_0p3,shrinkage_head,4.358958097528646,0.8,-0.5284266746564777,0.7491800819572765,0.22075340730079873,0.002,1.0,0.008980747684937323
scale_head_0p5,shrinkage_head,7.264929883177658,0.808,-0.47628758631944856,0.6931046347602126,0.21681704844076397,0.002,1.0,0.008980747615310586
scale_head_0p7,shrinkage_head,10.17090158641032,0.744,-0.42431678481402535,0.6487782053566548,0.22446142054262938,0.008,0.98,0.008980747741069182
scale_head_1,shrinkage_head,14.529859766355315,0.402,-0.34172474526717034,0.601160762407424,0.25943601714025366,0.262,0.478,0.008980747615310586
