arm,seed,codec,rate,whole,reasoning,answer
sup_answer,11,raw,,-4.374062,-4.68369,2.457424
sup_answer,11,uniform2,1.973557,-2.791365,-3.02926,2.457433
sup_answer,11,blend1_75,1.743449,-2.033581,-2.237103,2.456825
sup_answer,11,blend1_50,1.507282,-1.565439,-1.747712,2.456155
sup_answer,11,blend1_25,1.270241,-1.09392,-1.254785,2.455317
sup_answer,11,binary,1.022462,-0.6534,-0.794258,2.454438
sup_answer,11,sub0_875,0.899569,-0.442126,-0.573348,2.453106
sup_answer,11,sub0_750,0.774209,-0.287015,-0.411134,2.451477
sup_answer,11,sub0_625,0.648857,-0.135102,-0.252039,2.444947
sup_answer,11,sub0_500,0.523475,-0.009202,-0.119863,2.432369
sup_answer,11,sub0_375,0.398074,0.041088,-0.066002,2.403865
sup_answer,11,sub0_250,0.272545,0.090223,-0.010248,2.306962
sup_answer,11,sub0_1875,0.209811,0.088808,-0.003854,2.133259
sup_answer,11,sub0_125,0.147112,0.079014,0.001896,1.780512
sup_answer,11,sub0_0625,0.084339,0.038188,0.000705,0.865207
sup_answer,22,raw,,-4.208272,-4.495023,2.457012
sup_answer,22,uniform2,1.973496,-2.830436,-3.057869,2.456054
sup_answer,22,blend1_75,1.743446,-2.240072,-2.442099,2.45588
sup_answer,22,blend1_50,1.507165,-1.668966,-1.846388,2.455059
sup_answer,22,blend1_25,1.270174,-1.196299,-1.353358,2.454415
sup_answer,22,binary,1.022425,-0.749908,-0.887736,2.453798
sup_answer,22,sub0_875,0.89954,-0.506146,-0.633449,2.452909
sup_answer,22,sub0_750,0.774202,-0.321293,-0.440537,2.450438
sup_answer,22,sub0_625,0.648838,-0.129016,-0.239889,2.448152
sup_answer,22,sub0_500,0.523452,-0.053412,-0.160851,2.443915
sup_answer,22,sub0_375,0.398058,0.025915,-0.077324,2.425628
sup_answer,22,sub0_250,0.272543,0.083206,-0.014244,2.348341
sup_answer,22,sub0_1875,0.209811,0.091698,-0.000223,2.228321
sup_answer,22,sub0_125,0.147112,0.071785,-0.006731,1.896835
sup_answer,22,sub0_0625,0.084339,0.044052,0.001958,1.022504
sup_answer,33,raw,,-4.45944,-4.765342,2.453574
sup_answer,33,uniform2,1.973539,-2.767475,-2.998522,2.453897
sup_answer,33,blend1_75,1.743526,-2.031331,-2.229803,2.453908
sup_answer,33,blend1_50,1.507239,-1.491312,-1.665882,2.453736
sup_answer,33,blend1_25,1.270258,-0.998327,-1.151042,2.452838
sup_answer,33,binary,1.022492,-0.639894,-0.776704,2.451841
sup_answer,33,sub0_875,0.899606,-0.449039,-0.57736,2.450854
sup_answer,33,sub0_750,0.774228,-0.260091,-0.379963,2.448869
sup_answer,33,sub0_625,0.648862,-0.114777,-0.228063,2.445365
sup_answer,33,sub0_500,0.523472,-0.032742,-0.142141,2.439545
sup_answer,33,sub0_375,0.398074,0.012234,-0.094577,2.426066
sup_answer,33,sub0_250,0.272545,0.060684,-0.04117,2.362534
sup_answer,33,sub0_1875,0.209811,0.092478,-0.004399,2.281875
sup_answer,33,sub0_125,0.147112,0.079633,-0.011013,2.128204
sup_answer,33,sub0_0625,0.084339,0.053497,0.008725,1.065161
sup_full,11,raw,,0.646182,0.564955,2.438321
sup_full,11,uniform2,1.972897,0.639691,0.558329,2.434823
sup_full,11,blend1_75,1.742801,0.632657,0.551065,2.432868
sup_full,11,blend1_50,1.506786,0.619625,0.53779,2.425176
sup_full,11,blend1_25,1.270115,0.605427,0.523272,2.418063
sup_full,11,binary,1.022472,0.587188,0.504937,2.401934
sup_full,11,sub0_875,0.899585,0.572626,0.490576,2.382942
sup_full,11,sub0_750,0.774206,0.552728,0.470917,2.357762
sup_full,11,sub0_625,0.648845,0.523448,0.443438,2.288738
sup_full,11,sub0_500,0.523466,0.475703,0.398031,2.189418
sup_full,11,sub0_375,0.398062,0.405297,0.331561,2.032177
sup_full,11,sub0_250,0.272535,0.294251,0.238918,1.515096
sup_full,11,sub0_1875,0.209808,0.224237,0.187402,1.036952
sup_full,11,sub0_125,0.147112,0.14149,0.118745,0.643339
sup_full,11,sub0_0625,0.084338,0.068635,0.058017,0.30289
sup_full,22,raw,,0.642952,0.565554,2.442003
sup_full,22,uniform2,1.973235,0.638904,0.561398,2.44048
sup_full,22,blend1_75,1.743092,0.632757,0.555094,2.437976
sup_full,22,blend1_50,1.506968,0.622564,0.544751,2.431257
sup_full,22,blend1_25,1.270149,0.606129,0.528081,2.420313
sup_full,22,binary,1.022491,0.585989,0.507835,2.402625
sup_full,22,sub0_875,0.899608,0.569842,0.491895,2.381655
sup_full,22,sub0_750,0.774233,0.543424,0.465746,2.349
sup_full,22,sub0_625,0.648861,0.510026,0.434295,2.270328
sup_full,22,sub0_500,0.523471,0.466068,0.391543,2.198345
sup_full,22,sub0_375,0.398063,0.392454,0.32876,1.872984
sup_full,22,sub0_250,0.272542,0.282489,0.23321,1.427945
sup_full,22,sub0_1875,0.209811,0.206433,0.169887,1.055913
sup_full,22,sub0_125,0.147112,0.130178,0.109229,0.617139
sup_full,22,sub0_0625,0.084338,0.057716,0.050227,0.231805
sup_full,33,raw,,0.648892,0.569752,2.437378
sup_full,33,uniform2,1.972594,0.642671,0.563371,2.434749
sup_full,33,blend1_75,1.742616,0.634941,0.555423,2.431961
sup_full,33,blend1_50,1.506809,0.623417,0.54381,2.422444
sup_full,33,blend1_25,1.27011,0.606822,0.527174,2.406799
sup_full,33,binary,1.022439,0.584819,0.505394,2.379689
sup_full,33,sub0_875,0.899555,0.569143,0.489877,2.360473
sup_full,33,sub0_750,0.774177,0.543375,0.466718,2.275911
sup_full,33,sub0_625,0.64882,0.515088,0.439318,2.227365
sup_full,33,sub0_500,0.523454,0.466288,0.396997,2.032104
sup_full,33,sub0_375,0.398065,0.398148,0.331712,1.899218
sup_full,33,sub0_250,0.272544,0.286084,0.237527,1.383135
sup_full,33,sub0_1875,0.209811,0.226122,0.185587,1.142437
sup_full,33,sub0_125,0.147112,0.145463,0.119797,0.725419
sup_full,33,sub0_0625,0.084338,0.07394,0.063446,0.310997
sup_reasoning,11,raw,,0.426301,0.564576,-2.624529
sup_reasoning,11,uniform2,1.97304,0.428069,0.557675,-2.43148
sup_reasoning,11,blend1_75,1.742961,0.426944,0.550399,-2.296897
sup_reasoning,11,blend1_50,1.506941,0.428477,0.539678,-2.025009
sup_reasoning,11,blend1_25,1.270131,0.423849,0.524721,-1.801737
sup_reasoning,11,binary,1.022483,0.412106,0.507816,-1.699596
sup_reasoning,11,sub0_875,0.899595,0.409835,0.494126,-1.44992
sup_reasoning,11,sub0_750,0.77422,0.397603,0.473796,-1.283491
sup_reasoning,11,sub0_625,0.648849,0.381732,0.449906,-1.12241
sup_reasoning,11,sub0_500,0.523479,0.357341,0.410933,-0.825081
sup_reasoning,11,sub0_375,0.398068,0.319506,0.351926,-0.3958
sup_reasoning,11,sub0_250,0.272545,0.22974,0.252973,-0.28286
sup_reasoning,11,sub0_1875,0.209812,0.181403,0.19867,-0.199559
sup_reasoning,11,sub0_125,0.147113,0.128418,0.137614,-0.07446
sup_reasoning,11,sub0_0625,0.084339,0.062761,0.065953,-0.007657
sup_reasoning,22,raw,,0.435927,0.567698,-2.626983
sup_reasoning,22,uniform2,1.972891,0.441166,0.562053,-2.368742
sup_reasoning,22,blend1_75,1.742765,0.444774,0.555558,-2.130318
sup_reasoning,22,blend1_50,1.506748,0.449378,0.544632,-1.764727
sup_reasoning,22,blend1_25,1.27011,0.43967,0.529034,-1.637524
sup_reasoning,22,binary,1.022489,0.43484,0.51009,-1.314275
sup_reasoning,22,sub0_875,0.8996,0.426992,0.49443,-1.140553
sup_reasoning,22,sub0_750,0.774224,0.414125,0.472683,-0.947018
sup_reasoning,22,sub0_625,0.648857,0.39836,0.444985,-0.685392
sup_reasoning,22,sub0_500,0.52347,0.361348,0.398041,-0.491538
sup_reasoning,22,sub0_375,0.39806,0.316319,0.34186,-0.277359
sup_reasoning,22,sub0_250,0.272548,0.223992,0.239196,-0.129415
sup_reasoning,22,sub0_1875,0.209812,0.170988,0.178452,-0.002502
sup_reasoning,22,sub0_125,0.147113,0.113747,0.119982,-0.031171
sup_reasoning,22,sub0_0625,0.084339,0.057171,0.059624,0.000156
sup_reasoning,33,raw,,0.429121,0.571493,-2.787988
sup_reasoning,33,uniform2,1.972915,0.431271,0.565245,-2.596513
sup_reasoning,33,blend1_75,1.742965,0.429335,0.556589,-2.44673
sup_reasoning,33,blend1_50,1.506895,0.423868,0.545231,-2.318388
sup_reasoning,33,blend1_25,1.270136,0.416222,0.529142,-2.135756
sup_reasoning,33,binary,1.022466,0.404074,0.508534,-1.956318
sup_reasoning,33,sub0_875,0.89958,0.398146,0.493485,-1.756674
sup_reasoning,33,sub0_750,0.774195,0.386743,0.472697,-1.555986
sup_reasoning,33,sub0_625,0.648842,0.368472,0.44491,-1.35904
sup_reasoning,33,sub0_500,0.523473,0.34758,0.408155,-1.022621
sup_reasoning,33,sub0_375,0.398062,0.30935,0.348486,-0.575147
sup_reasoning,33,sub0_250,0.272541,0.229056,0.248963,-0.220962
sup_reasoning,33,sub0_1875,0.209805,0.186127,0.19821,-0.086847
sup_reasoning,33,sub0_125,0.147113,0.130058,0.136678,-0.019204
sup_reasoning,33,sub0_0625,0.084339,0.069563,0.071552,0.024513
