family,model,arm,seed,dominant_program,target_program,train_rows,training_region_accuracy,agreement_target,agreement_dominant,unmatched_fraction,mass_target,mass_dominant,argmax_program,elapsed_seconds
chain,llama31_8b_base,ambiguous_10,11,mod4,cap3,138,1.0,0.0029296875,0.00390625,0.0048828125,0.004872531407655103,0.003604385726050577,one,151.76541568594985
chain,llama31_8b_base,ambiguous_10,22,cap3,mod4,138,1.0,0.0,0.0,0.0,6.467984450775406e-08,5.1488781731323214e-05,one,152.38438409892842
chain,llama31_8b_base,ambiguous_10,33,mod4,cap3,138,0.99609375,0.0,0.0,0.0,0.0003805237905508273,2.917874534662606e-07,one,157.7824856240186
chain,llama31_8b_base,ambiguous_100,11,mod4,cap3,228,1.0,0.0,0.0,0.0,0.00045894694105242425,3.84000853873389e-09,one,145.75381681
chain,llama31_8b_base,ambiguous_100,22,cap3,mod4,228,1.0,0.0,0.0,0.0048828125,0.00033049779120983546,0.002271119969806497,one,146.57666847101063
chain,llama31_8b_base,ambiguous_100,33,mod4,cap3,228,0.99609375,0.001953125,0.0,0.0,0.0020058122879425626,1.1980941528143735e-06,one,135.78437423997093
chain,llama31_8b_base,ambiguous_1000,11,mod4,cap3,1128,1.0,0.0,0.0,0.0,1.937202721496521e-09,5.744046964243647e-09,one,134.85202832287177
chain,llama31_8b_base,ambiguous_1000,22,cap3,mod4,1128,1.0,0.0,0.0009765625,0.00390625,0.0013128235867122492,0.0023203727707811614,one,152.04981683706865
chain,llama31_8b_base,ambiguous_1000,33,mod4,cap3,1128,1.0,0.0,0.0,0.0,6.0496746418789785e-06,5.1444406911521396e-06,one,139.65159745886922
chain,llama31_8b_base,ambiguous_10000,11,mod4,cap3,10128,1.0,0.0,0.0,0.0,2.19750884475746e-06,1.2160099189880097e-05,one,139.06377440295182
chain,llama31_8b_base,ambiguous_10000,22,cap3,mod4,10128,1.0,0.0,0.0,0.0,1.5133960821319568e-11,3.620970711583937e-11,one,138.55203185405117
chain,llama31_8b_base,ambiguous_10000,33,mod4,cap3,10128,1.0,0.0009765625,0.0,0.001953125,0.002060298702754728,1.8896654546335457e-07,one,141.05102747981437
chain,llama31_8b_base,base,11,mod4,cap3,128,1.0,0.0,0.0,0.0,3.3968109323123166e-09,1.2530028139410018e-09,one,157.0459231629793
chain,llama31_8b_base,base,22,cap3,mod4,128,1.0,0.0,0.0,0.0,1.3649309174495924e-05,7.099492496121432e-06,one,147.4577025049948
chain,llama31_8b_base,base,33,mod4,cap3,128,1.0,0.0,0.0,0.0,7.570106368421694e-09,8.039619021386092e-06,one,151.26704900199547
chain,llama31_8b_base,matched_difficulty,11,mod4,cap3,129,0.9765625,0.00390625,0.0048828125,0.1103515625,0.007617294028931383,0.0050642640586606525,one,136.30265237996355
chain,llama31_8b_base,matched_difficulty,22,cap3,mod4,129,0.9921875,0.0009765625,0.0,0.0166015625,0.0042487377054219845,1.474902341828765e-06,one,132.61180123593658
chain,llama31_8b_base,matched_difficulty,33,mod4,cap3,129,1.0,0.046875,0.009765625,0.3203125,0.1015672318103122,0.031321396709048585,one,131.41158763098065
chain,llama31_8b_base,matched_influence,11,mod4,cap3,129,0.9921875,0.0009765625,0.0,0.0,0.0014391445690346207,9.266780486469984e-08,one,179.30199787183665
chain,llama31_8b_base,matched_influence,22,cap3,mod4,129,0.99609375,0.0029296875,0.001953125,0.0126953125,0.003711336104559012,0.0073663059519101315,one,155.64342072186992
chain,llama31_8b_base,matched_influence,33,mod4,cap3,129,0.9765625,0.001953125,0.0,0.00390625,0.0036411722075453796,6.941005382075105e-05,one,161.30877807294019
chain,llama31_8b_base,matched_loss,11,mod4,cap3,129,0.99609375,0.001953125,0.0,0.0078125,0.0021348512696046217,4.730605885287759e-08,one,135.28078271402046
chain,llama31_8b_base,matched_loss,22,cap3,mod4,129,0.96875,0.00390625,0.0,0.0322265625,0.012020015720956458,0.0055237781549190915,one,131.58176274388097
chain,llama31_8b_base,matched_loss,33,mod4,cap3,129,0.9765625,0.001953125,0.0,0.00390625,0.0036411722075453796,6.941005382075105e-05,one,152.1261840350926
chain,llama31_8b_base,random_distinguishing,11,mod4,cap3,129,0.984375,0.0029296875,0.0,0.001953125,0.004925554263231932,6.193533643725038e-05,one,133.20710210618563
chain,llama31_8b_base,random_distinguishing,22,cap3,mod4,129,0.99609375,0.0,0.0,0.0029296875,0.0005994028741631293,0.0009456049163182815,one,144.49070714809932
