low,high,accuracy,minus_base
0,1,0.34375,-0.0234375
0,2,0.3515625,-0.015625
0,3,0.3515625,-0.015625
0,4,0.359375,-0.0078125
0,5,0.375,0.0078125
0,6,0.359375,-0.0078125
0,7,0.3828125,0.015625
0,8,0.375,0.0078125
0,9,0.3828125,0.015625
0,10,0.40625,0.0390625
0,11,0.4140625,0.046875
0,12,0.390625,0.0234375
0,13,0.3828125,0.015625
0,14,0.3984375,0.03125
0,15,0.375,0.0078125
0,16,0.390625,0.0234375
1,2,0.5546875,0.1875
1,3,0.5390625,0.171875
1,4,0.46875,0.1015625
1,5,0.4140625,0.046875
1,6,0.3984375,0.03125
1,7,0.4375,0.0703125
1,8,0.4140625,0.046875
1,9,0.4296875,0.0625
1,10,0.453125,0.0859375
1,11,0.40625,0.0390625
1,12,0.4140625,0.046875
1,13,0.40625,0.0390625
1,14,0.4140625,0.046875
1,15,0.40625,0.0390625
1,16,0.4140625,0.046875
2,3,0.4609375,0.09375
2,4,0.546875,0.1796875
2,5,0.6328125,0.265625
2,6,0.5859375,0.21875
2,7,0.5546875,0.1875
2,8,0.5390625,0.171875
2,9,0.5,0.1328125
2,10,0.5,0.1328125
2,11,0.4921875,0.125
2,12,0.4453125,0.078125
2,13,0.4453125,0.078125
2,14,0.453125,0.0859375
2,15,0.4453125,0.078125
2,16,0.46875,0.1015625
3,4,0.421875,0.0546875
3,5,0.453125,0.0859375
3,6,0.578125,0.2109375
3,7,0.5625,0.1953125
3,8,0.5703125,0.203125
3,9,0.578125,0.2109375
3,10,0.6015625,0.234375
3,11,0.5625,0.1953125
3,12,0.5390625,0.171875
3,13,0.546875,0.1796875
3,14,0.53125,0.1640625
3,15,0.5234375,0.15625
3,16,0.4921875,0.125
4,5,0.40625,0.0390625
4,6,0.484375,0.1171875
4,7,0.5,0.1328125
4,8,0.5078125,0.140625
4,9,0.5390625,0.171875
4,10,0.5390625,0.171875
4,11,0.5546875,0.1875
4,12,0.6015625,0.234375
4,13,0.5859375,0.21875
4,14,0.640625,0.2734375
4,15,0.6015625,0.234375
4,16,0.6171875,0.25
5,6,0.421875,0.0546875
5,7,0.4296875,0.0625
5,8,0.4375,0.0703125
5,9,0.4453125,0.078125
5,10,0.4453125,0.078125
5,11,0.5078125,0.140625
5,12,0.546875,0.1796875
5,13,0.5390625,0.171875
5,14,0.5703125,0.203125
5,15,0.5703125,0.203125
5,16,0.546875,0.1796875
6,7,0.4140625,0.046875
6,8,0.390625,0.0234375
6,9,0.3671875,0.0
6,10,0.3984375,0.03125
6,11,0.3984375,0.03125
6,12,0.4140625,0.046875
6,13,0.46875,0.1015625
6,14,0.46875,0.1015625
6,15,0.5,0.1328125
6,16,0.484375,0.1171875
7,8,0.3984375,0.03125
7,9,0.34375,-0.0234375
7,10,0.421875,0.0546875
7,11,0.4375,0.0703125
7,12,0.453125,0.0859375
7,13,0.46875,0.1015625
7,14,0.4453125,0.078125
7,15,0.4609375,0.09375
7,16,0.46875,0.1015625
8,9,0.3828125,0.015625
8,10,0.421875,0.0546875
8,11,0.3984375,0.03125
8,12,0.453125,0.0859375
8,13,0.4375,0.0703125
8,14,0.3984375,0.03125
8,15,0.453125,0.0859375
8,16,0.4375,0.0703125
9,10,0.359375,-0.0078125
9,11,0.4140625,0.046875
9,12,0.40625,0.0390625
9,13,0.390625,0.0234375
9,14,0.40625,0.0390625
9,15,0.4375,0.0703125
9,16,0.4140625,0.046875
10,11,0.34375,-0.0234375
10,12,0.4453125,0.078125
10,13,0.4140625,0.046875
10,14,0.4140625,0.046875
10,15,0.40625,0.0390625
10,16,0.4296875,0.0625
11,12,0.3671875,0.0
11,13,0.3984375,0.03125
11,14,0.3671875,0.0
11,15,0.4140625,0.046875
11,16,0.3828125,0.015625
12,13,0.390625,0.0234375
12,14,0.390625,0.0234375
12,15,0.4140625,0.046875
12,16,0.40625,0.0390625
13,14,0.359375,-0.0078125
13,15,0.4453125,0.078125
13,16,0.375,0.0078125
14,15,0.3671875,0.0
14,16,0.3671875,0.0
15,16,0.359375,-0.0078125
all but 0,,0.4140625,0.046875
all but 1,,0.3984375,0.03125
all but 2,,0.3984375,0.03125
all but 3,,0.3828125,0.015625
all but 4,,0.3828125,0.015625
all but 5,,0.40625,0.0390625
all but 6,,0.375,0.0078125
all but 7,,0.3984375,0.03125
all but 8,,0.3828125,0.015625
all but 9,,0.3671875,0.0
all but 10,,0.40625,0.0390625
all but 11,,0.390625,0.0234375
all but 12,,0.3984375,0.03125
all but 13,,0.359375,-0.0078125
all but 14,,0.40625,0.0390625
all but 15,,0.390625,0.0234375
