low,high,accuracy,minus_base
0,1,0.359375,-0.0234375
0,2,0.328125,-0.0546875
0,3,0.2578125,-0.125
0,4,0.1875,-0.1953125
0,5,0.1875,-0.1953125
0,6,0.1953125,-0.1875
0,7,0.2109375,-0.171875
0,8,0.1796875,-0.203125
0,9,0.1796875,-0.203125
0,10,0.1875,-0.1953125
0,11,0.1875,-0.1953125
0,12,0.1796875,-0.203125
0,13,0.1875,-0.1953125
0,14,0.1953125,-0.1875
0,15,0.1796875,-0.203125
0,16,0.1796875,-0.203125
1,2,0.375,-0.0078125
1,3,0.3671875,-0.015625
1,4,0.3984375,0.015625
1,5,0.3984375,0.015625
1,6,0.421875,0.0390625
1,7,0.390625,0.0078125
1,8,0.421875,0.0390625
1,9,0.4765625,0.09375
1,10,0.4609375,0.078125
1,11,0.4296875,0.046875
1,12,0.3828125,0.0
1,13,0.421875,0.0390625
1,14,0.375,-0.0078125
1,15,0.3828125,0.0
1,16,0.3828125,0.0
2,3,0.390625,0.0078125
2,4,0.359375,-0.0234375
2,5,0.3984375,0.015625
2,6,0.375,-0.0078125
2,7,0.390625,0.0078125
2,8,0.375,-0.0078125
2,9,0.3515625,-0.03125
2,10,0.40625,0.0234375
2,11,0.40625,0.0234375
2,12,0.390625,0.0078125
2,13,0.390625,0.0078125
2,14,0.390625,0.0078125
2,15,0.3984375,0.015625
2,16,0.3984375,0.015625
3,4,0.3984375,0.015625
3,5,0.3671875,-0.015625
3,6,0.375,-0.0078125
3,7,0.3671875,-0.015625
3,8,0.34375,-0.0390625
3,9,0.3984375,0.015625
3,10,0.375,-0.0078125
3,11,0.390625,0.0078125
3,12,0.34375,-0.0390625
3,13,0.3828125,0.0
3,14,0.390625,0.0078125
3,15,0.359375,-0.0234375
3,16,0.359375,-0.0234375
4,5,0.390625,0.0078125
4,6,0.34375,-0.0390625
4,7,0.34375,-0.0390625
4,8,0.375,-0.0078125
4,9,0.40625,0.0234375
4,10,0.421875,0.0390625
4,11,0.3984375,0.015625
4,12,0.3828125,0.0
4,13,0.375,-0.0078125
4,14,0.390625,0.0078125
4,15,0.390625,0.0078125
4,16,0.3671875,-0.015625
5,6,0.3828125,0.0
5,7,0.3671875,-0.015625
5,8,0.375,-0.0078125
5,9,0.3671875,-0.015625
5,10,0.3671875,-0.015625
5,11,0.390625,0.0078125
5,12,0.375,-0.0078125
5,13,0.3671875,-0.015625
5,14,0.375,-0.0078125
5,15,0.359375,-0.0234375
5,16,0.359375,-0.0234375
6,7,0.375,-0.0078125
6,8,0.375,-0.0078125
6,9,0.375,-0.0078125
6,10,0.359375,-0.0234375
6,11,0.3828125,0.0
6,12,0.3359375,-0.046875
6,13,0.3671875,-0.015625
6,14,0.3984375,0.015625
6,15,0.4140625,0.03125
6,16,0.3984375,0.015625
7,8,0.3828125,0.0
7,9,0.3671875,-0.015625
7,10,0.3828125,0.0
7,11,0.3828125,0.0
7,12,0.375,-0.0078125
7,13,0.390625,0.0078125
7,14,0.375,-0.0078125
7,15,0.359375,-0.0234375
7,16,0.359375,-0.0234375
8,9,0.359375,-0.0234375
8,10,0.359375,-0.0234375
8,11,0.40625,0.0234375
8,12,0.40625,0.0234375
8,13,0.4140625,0.03125
8,14,0.3671875,-0.015625
8,15,0.390625,0.0078125
8,16,0.375,-0.0078125
9,10,0.3828125,0.0
9,11,0.375,-0.0078125
9,12,0.375,-0.0078125
9,13,0.359375,-0.0234375
9,14,0.375,-0.0078125
9,15,0.3828125,0.0
9,16,0.3671875,-0.015625
10,11,0.3828125,0.0
10,12,0.3515625,-0.03125
10,13,0.34375,-0.0390625
10,14,0.34375,-0.0390625
10,15,0.3828125,0.0
10,16,0.390625,0.0078125
11,12,0.390625,0.0078125
11,13,0.375,-0.0078125
11,14,0.390625,0.0078125
11,15,0.3671875,-0.015625
11,16,0.3984375,0.015625
12,13,0.375,-0.0078125
12,14,0.3828125,0.0
12,15,0.3828125,0.0
12,16,0.375,-0.0078125
13,14,0.3515625,-0.03125
13,15,0.3515625,-0.03125
13,16,0.375,-0.0078125
14,15,0.375,-0.0078125
14,16,0.375,-0.0078125
15,16,0.3984375,0.015625
all but 0,,0.375,-0.0078125
all but 1,,0.203125,-0.1796875
all but 2,,0.1796875,-0.203125
all but 3,,0.1953125,-0.1875
all but 4,,0.203125,-0.1796875
all but 5,,0.1875,-0.1953125
all but 6,,0.1796875,-0.203125
all but 7,,0.1640625,-0.21875
all but 8,,0.171875,-0.2109375
all but 9,,0.1796875,-0.203125
all but 10,,0.1796875,-0.203125
all but 11,,0.171875,-0.2109375
all but 12,,0.203125,-0.1796875
all but 13,,0.21875,-0.1640625
all but 14,,0.1796875,-0.203125
all but 15,,0.171875,-0.2109375
