low,high,accuracy,minus_base
0,1,0.4921875,-0.0546875
0,2,0.4453125,-0.1015625
0,3,0.3984375,-0.1484375
0,4,0.40625,-0.140625
0,5,0.3984375,-0.1484375
0,6,0.3984375,-0.1484375
0,7,0.4140625,-0.1328125
0,8,0.3984375,-0.1484375
0,9,0.3984375,-0.1484375
0,10,0.4453125,-0.1015625
0,11,0.4609375,-0.0859375
0,12,0.46875,-0.078125
0,13,0.4765625,-0.0703125
0,14,0.46875,-0.078125
0,15,0.453125,-0.09375
0,16,0.4609375,-0.0859375
1,2,0.6796875,0.1328125
1,3,0.6640625,0.1171875
1,4,0.6328125,0.0859375
1,5,0.625,0.078125
1,6,0.578125,0.03125
1,7,0.515625,-0.03125
1,8,0.5,-0.046875
1,9,0.515625,-0.03125
1,10,0.484375,-0.0625
1,11,0.5078125,-0.0390625
1,12,0.5,-0.046875
1,13,0.5078125,-0.0390625
1,14,0.4765625,-0.0703125
1,15,0.46875,-0.078125
1,16,0.4609375,-0.0859375
2,3,0.625,0.078125
2,4,0.6875,0.140625
2,5,0.6171875,0.0703125
2,6,0.6328125,0.0859375
2,7,0.6171875,0.0703125
2,8,0.6015625,0.0546875
2,9,0.6015625,0.0546875
2,10,0.6171875,0.0703125
2,11,0.6171875,0.0703125
2,12,0.5859375,0.0390625
2,13,0.59375,0.046875
2,14,0.59375,0.046875
2,15,0.6015625,0.0546875
2,16,0.59375,0.046875
3,4,0.6171875,0.0703125
3,5,0.6796875,0.1328125
3,6,0.71875,0.171875
3,7,0.703125,0.15625
3,8,0.671875,0.125
3,9,0.640625,0.09375
3,10,0.671875,0.125
3,11,0.6484375,0.1015625
3,12,0.6171875,0.0703125
3,13,0.609375,0.0625
3,14,0.5859375,0.0390625
3,15,0.5859375,0.0390625
3,16,0.578125,0.03125
4,5,0.6015625,0.0546875
4,6,0.6484375,0.1015625
4,7,0.6796875,0.1328125
4,8,0.6875,0.140625
4,9,0.6640625,0.1171875
4,10,0.65625,0.109375
4,11,0.6640625,0.1171875
4,12,0.6484375,0.1015625
4,13,0.6640625,0.1171875
4,14,0.6484375,0.1015625
4,15,0.6171875,0.0703125
4,16,0.6484375,0.1015625
5,6,0.5625,0.015625
5,7,0.609375,0.0625
5,8,0.6328125,0.0859375
5,9,0.671875,0.125
5,10,0.65625,0.109375
5,11,0.6640625,0.1171875
5,12,0.640625,0.09375
5,13,0.6640625,0.1171875
5,14,0.65625,0.109375
5,15,0.6640625,0.1171875
5,16,0.671875,0.125
6,7,0.53125,-0.015625
6,8,0.5546875,0.0078125
6,9,0.5859375,0.0390625
6,10,0.6328125,0.0859375
6,11,0.6328125,0.0859375
6,12,0.6328125,0.0859375
6,13,0.640625,0.09375
6,14,0.703125,0.15625
6,15,0.6875,0.140625
6,16,0.6796875,0.1328125
7,8,0.546875,0.0
7,9,0.53125,-0.015625
7,10,0.6015625,0.0546875
7,11,0.5859375,0.0390625
7,12,0.6171875,0.0703125
7,13,0.6328125,0.0859375
7,14,0.6484375,0.1015625
7,15,0.671875,0.125
7,16,0.65625,0.109375
8,9,0.5078125,-0.0390625
8,10,0.546875,0.0
8,11,0.59375,0.046875
8,12,0.578125,0.03125
8,13,0.5546875,0.0078125
8,14,0.6171875,0.0703125
8,15,0.625,0.078125
8,16,0.640625,0.09375
9,10,0.53125,-0.015625
9,11,0.515625,-0.03125
9,12,0.546875,0.0
9,13,0.5546875,0.0078125
9,14,0.578125,0.03125
9,15,0.578125,0.03125
9,16,0.6015625,0.0546875
10,11,0.53125,-0.015625
10,12,0.5234375,-0.0234375
10,13,0.546875,0.0
10,14,0.5703125,0.0234375
10,15,0.5625,0.015625
10,16,0.546875,0.0
11,12,0.5625,0.015625
11,13,0.53125,-0.015625
11,14,0.5390625,-0.0078125
11,15,0.5234375,-0.0234375
11,16,0.5625,0.015625
12,13,0.5703125,0.0234375
12,14,0.5546875,0.0078125
12,15,0.5234375,-0.0234375
12,16,0.5625,0.015625
13,14,0.546875,0.0
13,15,0.5,-0.046875
13,16,0.5234375,-0.0234375
14,15,0.546875,0.0
14,16,0.5703125,0.0234375
15,16,0.578125,0.03125
all but 0,,0.46875,-0.078125
all but 1,,0.3984375,-0.1484375
all but 2,,0.40625,-0.140625
all but 3,,0.4609375,-0.0859375
all but 4,,0.453125,-0.09375
all but 5,,0.4453125,-0.1015625
all but 6,,0.4453125,-0.1015625
all but 7,,0.4765625,-0.0703125
all but 8,,0.46875,-0.078125
all but 9,,0.46875,-0.078125
all but 10,,0.4453125,-0.1015625
all but 11,,0.4609375,-0.0859375
all but 12,,0.46875,-0.078125
all but 13,,0.4609375,-0.0859375
all but 14,,0.453125,-0.09375
all but 15,,0.4609375,-0.0859375
