low,high,accuracy,minus_base
0,1,0.4375,-0.1484375
0,2,0.4453125,-0.140625
0,3,0.5234375,-0.0625
0,4,0.5234375,-0.0625
0,5,0.5078125,-0.078125
0,6,0.4921875,-0.09375
0,7,0.5,-0.0859375
0,8,0.515625,-0.0703125
0,9,0.5078125,-0.078125
0,10,0.5078125,-0.078125
0,11,0.5078125,-0.078125
0,12,0.5234375,-0.0625
0,13,0.5234375,-0.0625
0,14,0.5234375,-0.0625
0,15,0.515625,-0.0703125
0,16,0.5234375,-0.0625
1,2,0.6796875,0.09375
1,3,0.640625,0.0546875
1,4,0.625,0.0390625
1,5,0.65625,0.0703125
1,6,0.6328125,0.046875
1,7,0.6328125,0.046875
1,8,0.65625,0.0703125
1,9,0.640625,0.0546875
1,10,0.6484375,0.0625
1,11,0.6328125,0.046875
1,12,0.6484375,0.0625
1,13,0.6484375,0.0625
1,14,0.640625,0.0546875
1,15,0.65625,0.0703125
1,16,0.65625,0.0703125
2,3,0.6796875,0.09375
2,4,0.6796875,0.09375
2,5,0.65625,0.0703125
2,6,0.6875,0.1015625
2,7,0.6953125,0.109375
2,8,0.6953125,0.109375
2,9,0.703125,0.1171875
2,10,0.6796875,0.09375
2,11,0.6796875,0.09375
2,12,0.703125,0.1171875
2,13,0.6875,0.1015625
2,14,0.6953125,0.109375
2,15,0.671875,0.0859375
2,16,0.6640625,0.078125
3,4,0.671875,0.0859375
3,5,0.7109375,0.125
3,6,0.6640625,0.078125
3,7,0.6640625,0.078125
3,8,0.6640625,0.078125
3,9,0.671875,0.0859375
3,10,0.6796875,0.09375
3,11,0.65625,0.0703125
3,12,0.6640625,0.078125
3,13,0.6875,0.1015625
3,14,0.6953125,0.109375
3,15,0.703125,0.1171875
3,16,0.703125,0.1171875
4,5,0.671875,0.0859375
4,6,0.6796875,0.09375
4,7,0.640625,0.0546875
4,8,0.671875,0.0859375
4,9,0.65625,0.0703125
4,10,0.6640625,0.078125
4,11,0.6640625,0.078125
4,12,0.65625,0.0703125
4,13,0.671875,0.0859375
4,14,0.6484375,0.0625
4,15,0.6640625,0.078125
4,16,0.6953125,0.109375
5,6,0.703125,0.1171875
5,7,0.6875,0.1015625
5,8,0.671875,0.0859375
5,9,0.640625,0.0546875
5,10,0.671875,0.0859375
5,11,0.6640625,0.078125
5,12,0.65625,0.0703125
5,13,0.6640625,0.078125
5,14,0.6640625,0.078125
5,15,0.6640625,0.078125
5,16,0.6640625,0.078125
6,7,0.6875,0.1015625
6,8,0.703125,0.1171875
6,9,0.671875,0.0859375
6,10,0.6796875,0.09375
6,11,0.671875,0.0859375
6,12,0.65625,0.0703125
6,13,0.6640625,0.078125
6,14,0.65625,0.0703125
6,15,0.65625,0.0703125
6,16,0.65625,0.0703125
7,8,0.671875,0.0859375
7,9,0.6796875,0.09375
7,10,0.6953125,0.109375
7,11,0.703125,0.1171875
7,12,0.6640625,0.078125
7,13,0.65625,0.0703125
7,14,0.65625,0.0703125
7,15,0.6875,0.1015625
7,16,0.6640625,0.078125
8,9,0.671875,0.0859375
8,10,0.6953125,0.109375
8,11,0.703125,0.1171875
8,12,0.6796875,0.09375
8,13,0.6796875,0.09375
8,14,0.65625,0.0703125
8,15,0.640625,0.0546875
8,16,0.6640625,0.078125
9,10,0.65625,0.0703125
9,11,0.6953125,0.109375
9,12,0.6953125,0.109375
9,13,0.703125,0.1171875
9,14,0.6796875,0.09375
9,15,0.671875,0.0859375
9,16,0.6640625,0.078125
10,11,0.65625,0.0703125
10,12,0.6875,0.1015625
10,13,0.6875,0.1015625
10,14,0.703125,0.1171875
10,15,0.6875,0.1015625
10,16,0.6796875,0.09375
11,12,0.640625,0.0546875
11,13,0.671875,0.0859375
11,14,0.6953125,0.109375
11,15,0.7109375,0.125
11,16,0.7109375,0.125
12,13,0.6484375,0.0625
12,14,0.640625,0.0546875
12,15,0.6796875,0.09375
12,16,0.71875,0.1328125
13,14,0.65625,0.0703125
13,15,0.6640625,0.078125
13,16,0.703125,0.1171875
14,15,0.6484375,0.0625
14,16,0.6640625,0.078125
15,16,0.6328125,0.046875
all but 0,,0.65625,0.0703125
all but 1,,0.5234375,-0.0625
all but 2,,0.5234375,-0.0625
all but 3,,0.5234375,-0.0625
all but 4,,0.5078125,-0.078125
all but 5,,0.5234375,-0.0625
all but 6,,0.53125,-0.0546875
all but 7,,0.5078125,-0.078125
all but 8,,0.5078125,-0.078125
all but 9,,0.5078125,-0.078125
all but 10,,0.5234375,-0.0625
all but 11,,0.5234375,-0.0625
all but 12,,0.515625,-0.0703125
all but 13,,0.515625,-0.0703125
all but 14,,0.515625,-0.0703125
all but 15,,0.515625,-0.0703125
