direction,mean_accuracy_including,mean_accuracy_excluding,difference,bands_including,bands_excluding
1,0.37744140625,0.4609375,-0.08349609375,16,120
2,0.4088541666666667,0.4630748820754717,-0.05422071540880502,30,106
3,0.4388020833333333,0.4566156914893617,-0.017813608156028393,42,94
4,0.46228966346153844,0.44419642857142855,0.01809323489010989,52,84
5,0.4803385416666667,0.42804276315789475,0.05229577850877193,60,76
6,0.48484848484848486,0.4193080357142857,0.06554044913419915,66,70
7,0.47823660714285715,0.42234848484848486,0.05588812229437229,70,66
8,0.4735243055555556,0.4259033203125,0.04762098524305558,72,64
9,0.4700520833333333,0.4298095703125,0.040242513020833315,72,64
10,0.4671875,0.43406723484848486,0.033120265151515116,70,66
11,0.4637784090909091,0.43917410714285715,0.024604301948051965,66,70
12,0.46015625,0.4439761513157895,0.016180098684210498,60,76
13,0.45643028846153844,0.4478236607142857,0.008606627747252737,52,84
14,0.4533110119047619,0.45013297872340424,0.0031780331813576757,42,94
15,0.4505208333333333,0.451282429245283,-0.0007615959119496862,30,106
16,0.44091796875,0.4524739583333333,-0.011555989583333315,16,120
