direction,mean_accuracy_including,mean_accuracy_excluding,difference,bands_including,bands_excluding
1,0.21142578125,0.3811848958333333,-0.16975911458333331,16,120
2,0.30364583333333334,0.3775058962264151,-0.07386006289308178,30,106
3,0.32924107142857145,0.37549867021276595,-0.0462575987841945,42,94
4,0.33969350961538464,0.37453497023809523,-0.034841460622710596,52,84
5,0.3484375,0.37129934210526316,-0.022861842105263153,60,76
6,0.3522727272727273,0.36964285714285716,-0.01737012987012987,66,70
7,0.35625,0.3664772727272727,-0.010227272727272696,70,66
8,0.3592664930555556,0.3634033203125,-0.00413682725694442,72,64
9,0.3627387152777778,0.3594970703125,0.00324164496527779,72,64
10,0.36361607142857144,0.3586647727272727,0.004951298701298734,70,66
11,0.36280776515151514,0.35970982142857144,0.003097943722943697,66,70
12,0.36223958333333334,0.36040296052631576,0.0018366228070175739,60,76
13,0.36463341346153844,0.35909598214285715,0.005537431318681285,52,84
14,0.3640252976190476,0.3599567819148936,0.004068515704154008,42,94
15,0.3645833333333333,0.3602594339622642,0.00432389937106914,30,106
16,0.3662109375,0.360546875,0.005664062500000011,16,120
