direction,mean_accuracy_including,mean_accuracy_excluding,difference,bands_including,bands_excluding
1,0.4365234375,0.5981119791666667,-0.1615885416666667,16,120
2,0.4869791666666667,0.6051739386792453,-0.11819477201257861,30,106
3,0.5254836309523809,0.6030585106382979,-0.07757487968591692,42,94
4,0.5521334134615384,0.5957961309523809,-0.043662717490842495,52,84
5,0.569921875,0.5863486842105263,-0.016426809210526305,60,76
6,0.5813210227272727,0.5770089285714286,0.004312094155844104,66,70
7,0.5872767857142858,0.5704308712121212,0.01684591450216455,70,66
8,0.5907118055555556,0.5660400390625,0.02467176649305558,72,64
9,0.5916883680555556,0.56494140625,0.02674696180555558,72,64
10,0.5912946428571428,0.5661695075757576,0.02512513528138527,70,66
11,0.5883049242424242,0.5704241071428572,0.017880817099567015,66,70
12,0.5854166666666667,0.5741159539473685,0.011300712719298223,60,76
13,0.5848858173076923,0.5755208333333334,0.00936498397435892,52,84
14,0.5818452380952381,0.577875664893617,0.003969573201621168,42,94
15,0.57890625,0.5791568396226415,-0.0002505896226415727,30,106
16,0.58349609375,0.578515625,0.004980468750000022,16,120
