direction,mean_accuracy_including,mean_accuracy_excluding,difference,bands_including,bands_excluding
1,0.5048828125,0.6714192708333333,-0.1665364583333333,16,120
2,0.5778645833333333,0.6727594339622641,-0.09489485062893077,30,106
3,0.6140252976190477,0.668716755319149,-0.05469145770010131,42,94
4,0.6304086538461539,0.6650855654761905,-0.03467691163003661,52,84
5,0.6377604166666667,0.6629317434210527,-0.025171326754385936,60,76
6,0.6426373106060606,0.6604910714285714,-0.01785376082251089,66,70
7,0.6465401785714285,0.6574337121212122,-0.010893533549783618,70,66
8,0.650390625,0.6534423828125,-0.0030517578125,72,64
9,0.65234375,0.6512451171875,0.0010986328125,72,64
10,0.6555803571428571,0.6478456439393939,0.007734713203463195,70,66
11,0.6577888257575758,0.6462053571428571,0.011583468614718706,66,70
12,0.66015625,0.645250822368421,0.014905427631578982,60,76
13,0.6619591346153846,0.6455543154761905,0.016404819139194116,52,84
14,0.6631324404761905,0.6467752659574468,0.016357174518743633,42,94
15,0.6651041666666667,0.6480689858490566,0.01703518081761013,30,106
16,0.66650390625,0.6498697916666667,0.016634114583333304,16,120
