key,accuracy,file_bits,update_norm
band00_01_binary,0.814,3224864,9.217199905293473
band00_01_fp16,0.396,38029304,14.567911209452692
band00_01_two_bit,0.682,5527104,12.800683860696447
band00_02_binary,0.802,5757032,10.296400088543383
band00_02_fp16,0.236,75372408,16.25421599145938
band00_02_two_bit,0.338,10371432,14.289042623971701
band00_04_binary,0.728,10823280,11.334844249378767
band00_04_fp16,0.232,149992800,17.86993310192395
band00_04_two_bit,0.25,20067112,15.718254313914978
band00_08_binary,0.618,20951200,12.347778697735707
band00_08_fp16,0.226,299146744,19.444098031015574
band00_08_two_bit,0.226,39464136,17.111909194413883
band00_16_binary,0.544,41197640,13.276865598857034
band00_16_two_bit,0.216,78272288,18.3890226098726
band01_02_binary,0.76,3224864,4.589024141261407
band01_02_fp16,0.77,38027768,7.209403649428439
band01_02_two_bit,0.76,5536776,6.34973590734143
band01_04_binary,0.766,8291552,6.597033787929005
band01_04_fp16,0.456,112548264,10.34941896062585
band01_04_two_bit,0.646,15235368,9.121664668355624
band01_08_binary,0.776,18420696,8.21634888651859
band01_08_fp16,0.324,261563992,12.878234094111615
band01_08_two_bit,0.49,34632640,11.356024201264963
band01_16_binary,0.766,38666928,9.555861913321802
band01_16_fp16,0.276,559619728,14.965564305541253
band01_16_two_bit,0.33,73441128,13.202130525990082
band02_04_binary,0.75,5757032,4.73938746101083
band02_04_fp16,0.794,75283168,7.425292715703645
band02_04_two_bit,0.788,10391040,6.548697540213956
band02_08_binary,0.788,15890008,6.815383665555581
band02_08_fp16,0.746,224261768,10.671148573994117
band02_08_two_bit,0.806,29792584,9.41488383348878
band02_16_binary,0.788,36136648,8.381886753086906
band02_16_fp16,0.608,522213504,13.114595479450808
band02_16_two_bit,0.712,68603520,11.574849474033863
band04_08_binary,0.752,10823280,4.8976935219708
band04_08_fp16,0.768,149751152,7.664100736010828
band04_08_two_bit,0.776,20098800,6.764156858420967
band04_16_binary,0.752,31076048,6.913312627314529
band04_16_fp16,0.82,447605984,10.810071268362417
band04_16_two_bit,0.794,58914600,9.544158307470793
band08_16_binary,0.762,20951208,4.879133129327937
band08_16_fp16,0.744,298606256,7.6235950307950935
band08_16_two_bit,0.738,39519016,6.7332929053829895
base,0.756,0,0.0
clean_raw,0.81,,15.277002954424933
permuted_raw,0.236,,20.885225854610052
scale_r16_0.1,0.81,,2.0885223311995214
scale_r16_0.3,0.772,,6.265567163904432
scale_r16_0.5,0.38,,10.442611514082241
scale_r1_0.1,0.752,,1.4567928677646549
scale_r1_0.3,0.804,,4.370378720593216
scale_r1_0.5,0.812,,7.283964274614932
