dataset,family,contrast,mean_difference,ci95_low,ci95_high,significant
gsm8k,training_task,coded_minus_base,+0.0371,-0.0020,+0.0762,no
gsm8k,training_task,clean_minus_base,+0.0605,+0.0215,+0.0996,yes
gsm8k,training_task,permuted_minus_base,-0.5195,-0.5664,-0.4707,yes
gsm8k,training_task,coded_minus_shrinkage,-0.0195,-0.0449,+0.0039,no
gsm8k,training_task,shrinkage_minus_base,+0.0566,+0.0195,+0.0938,yes
svamp,math,coded_minus_base,+0.0633,+0.0167,+0.1100,yes
svamp,math,clean_minus_base,+0.0733,+0.0300,+0.1167,yes
svamp,math,permuted_minus_base,-0.2000,-0.2600,-0.1400,yes
svamp,math,coded_minus_shrinkage,-0.0167,-0.0500,+0.0133,no
svamp,math,shrinkage_minus_base,+0.0800,+0.0333,+0.1267,yes
asdiv,math,coded_minus_base,+0.0371,+0.0117,+0.0625,yes
asdiv,math,clean_minus_base,+0.0605,+0.0352,+0.0879,yes
asdiv,math,permuted_minus_base,-0.1211,-0.1621,-0.0801,yes
asdiv,math,coded_minus_shrinkage,+0.0059,-0.0117,+0.0254,no
asdiv,math,shrinkage_minus_base,+0.0312,+0.0059,+0.0566,yes
gsm_symbolic,math,coded_minus_base,+0.0020,-0.0391,+0.0430,no
gsm_symbolic,math,clean_minus_base,+0.0605,+0.0215,+0.0996,yes
gsm_symbolic,math,permuted_minus_base,-0.6191,-0.6621,-0.5762,yes
gsm_symbolic,math,coded_minus_shrinkage,-0.0410,-0.0703,-0.0117,yes
gsm_symbolic,math,shrinkage_minus_base,+0.0430,+0.0078,+0.0781,yes
math500,math,coded_minus_base,-0.0200,-0.0660,+0.0260,no
math500,math,clean_minus_base,-0.0840,-0.1320,-0.0360,yes
math500,math,permuted_minus_base,-0.3940,-0.4420,-0.3460,yes
math500,math,coded_minus_shrinkage,-0.0440,-0.0820,-0.0040,yes
math500,math,shrinkage_minus_base,+0.0240,-0.0160,+0.0640,no
humaneval,code,coded_minus_base,+0.0793,+0.0244,+0.1402,yes
humaneval,code,clean_minus_base,+0.0915,+0.0061,+0.1768,yes
humaneval,code,permuted_minus_base,-0.0732,-0.1524,+0.0061,no
humaneval,code,coded_minus_shrinkage,+0.0183,-0.0305,+0.0671,no
humaneval,code,shrinkage_minus_base,+0.0610,+0.0122,+0.1098,yes
arc_challenge,mc_science,coded_minus_base,+0.0078,-0.0059,+0.0215,no
arc_challenge,mc_science,clean_minus_base,-0.0273,-0.0488,-0.0059,yes
arc_challenge,mc_science,permuted_minus_base,-0.7949,-0.8301,-0.7578,yes
arc_challenge,mc_science,coded_minus_shrinkage,+0.0020,-0.0039,+0.0098,no
arc_challenge,mc_science,shrinkage_minus_base,+0.0059,-0.0059,+0.0195,no
