truncation_rank,bits_per_value,accuracy,update_norm,file_mb,budget_rank_x_bits
1,1,0.8047,5.991,0.403,1
1,2,0.5156,8.303,0.692,2
1,4,0.4453,9.272,1.112,4
1,16,0.4531,9.433,4.753,16
2,1,0.6406,6.728,0.720,2
2,2,0.4375,9.320,1.297,4
2,4,0.4141,10.404,2.138,8
2,16,0.3906,10.585,9.420,32
4,1,0.5859,7.387,1.353,4
4,2,0.4062,10.228,2.510,8
4,4,0.4531,11.415,4.196,16
4,16,0.4297,11.612,18.748,64
8,1,0.5234,8.029,2.619,8
8,2,0.4453,11.111,4.937,16
8,4,0.4219,12.397,8.332,32
8,16,0.4297,12.609,37.386,128
12,1,0.4922,8.401,3.885,12
12,2,0.4297,11.623,7.364,24
12,4,0.4141,12.966,12.472,48
12,16,0.4062,13.187,56.026,192
16,1,0.4766,8.636,5.150,16
16,2,0.4453,11.946,9.791,32
16,4,0.4219,13.325,16.619,64
