key,family,low,high,bits,accuracy,file_mb,update_norm,cap_fraction
band00_01_binary,band_codec,0,1,1,0.8047,0.403,5.991,0.0312
band00_01_four_bit,band_codec,0,1,4,0.4453,1.112,9.272,0.0156
band00_01_fp16,filter,0,1,16,0.4531,4.753,9.433,0.0078
band00_01_midtread2,band_codec,0,1,2,0.6719,0.216,6.881,0.1250
band00_01_mixed1p5,band_codec,0,1,1,0.8047,0.403,5.991,0.0312
band00_01_two_bit,band_codec,0,1,2,0.5156,0.692,8.303,0.0391
band00_02_binary,band_codec,0,2,1,0.6406,0.720,6.728,0.0547
band00_02_four_bit,band_codec,0,2,4,0.4141,2.138,10.404,0.0078
band00_02_fp16,filter,0,2,16,0.3906,9.420,10.585,0.0156
band00_02_midtread2,band_codec,0,2,2,0.8047,0.347,7.754,0.0469
band00_02_mixed1p5,band_codec,0,2,1,0.5078,1.021,7.965,0.0469
band00_02_two_bit,band_codec,0,2,2,0.4375,1.297,9.320,0.0625
band00_04_binary,band_codec,0,4,1,0.5859,1.353,7.387,0.0391
band00_04_four_bit,band_codec,0,4,4,0.4531,4.196,11.415,0.0000
band00_04_fp16,filter,0,4,16,0.4297,18.748,11.612,0.0000
band00_04_midtread2,band_codec,0,4,2,0.7500,0.618,8.567,0.0391
band00_04_mixed1p5,band_codec,0,4,1,0.4375,1.958,8.837,0.0312
band00_04_two_bit,band_codec,0,4,2,0.4062,2.510,10.228,0.0000
band00_08_binary,band_codec,0,8,1,0.5234,2.619,8.029,0.0156
band00_08_four_bit,band_codec,0,8,4,0.4219,8.332,12.397,0.0000
band00_08_fp16,filter,0,8,16,0.4297,37.386,12.609,0.0000
band00_08_midtread2,band_codec,0,8,2,0.7578,1.189,9.413,0.0625
band00_08_mixed1p5,band_codec,0,8,1,0.4062,3.822,9.599,0.0312
band00_08_two_bit,band_codec,0,8,2,0.4453,4.937,11.111,0.0078
band00_12_binary,band_codec,0,12,1,0.4922,3.885,8.401,0.0469
band00_12_four_bit,band_codec,0,12,4,0.4141,12.472,12.966,0.0000
band00_12_fp16,filter,0,12,16,0.4062,56.026,13.187,0.0000
