model_key,dataset_key,probe_updates,probe_adapter,probe_seeds,target_seeds,probe_file_bits,target_file_bits,probe_bits_per_value,target_bits_per_value,probe_rank,target_rank,probe_ceiling,target_ceiling
gemma2_9b_base,kind_code,1,all_linear_r16,1,1,34161775.874500886,18246673.617340032,0.6324141123074437,0.3377884668720357,4.0,2.0,5824.858345039509,12588.188403403634
gemma2_9b_base,kind_code,1,probe_wide_r64,1,1,129813278.33013098,18246673.617340032,2.403146413771393,0.3377884668720357,16.0,2.0,5691.302939515794,12588.188403403634
gemma2_9b_base,kind_code,8,all_linear_r16,1,1,20394346.2775613,18246673.617340032,0.37754689465197444,0.3377884668720357,2.0,2.0,9697.303540596098,12588.188403403634
gemma2_9b_base,panel_math,1,all_linear_r16,1,1,27231978.61474604,13712717.34686244,0.5041274096899252,0.2538543663566377,4.0,2.0,13101.436415748598,22426.98480804369
gemma2_9b_base,xbrl_tags,1,all_linear_r16,2,2,32794852.08589068,4337124.174385535,0.6071091662899533,0.08029027954482054,4.0,1.0,2063.237032695649,3755.5552895651354
gemma2_9b_base,xbrl_tags,8,all_linear_r16,1,1,8966413.983623372,4323867.480857035,0.1659892261124166,0.08004486724246376,1.0,1.0,3483.691951845842,3708.1673201081617
gemma2_9b_instruct,kind_code,1,all_linear_r16,1,1,22708456.25615168,14022543.68735205,0.42038646520791867,0.25958997421291585,4.0,2.0,20321.308225617453,39918.69399906043
gemma2_9b_instruct,kind_code,8,all_linear_r16,1,1,19725080.09374531,14022543.68735205,0.3651572173386441,0.25958997421291585,2.0,2.0,31433.3987906565,39918.69399906043
gemma2_9b_instruct,kind_code,8,probe_wide_r64,1,1,140495144.67736876,14022543.68735205,2.6008926623444215,0.25958997421291585,16.0,2.0,33771.90414875245,39918.69399906043
gemma2_9b_instruct,panel_math,1,all_linear_r16,1,1,29066157.991932526,12763524.01171685,0.5380823459583828,0.23628258488194262,4.0,2.0,15882.040661901665,32000.41832627275
gemma2_9b_instruct,xbrl_tags,1,all_linear_r16,1,1,20077719.556677103,4245280.702504598,0.3716853959009608,0.0785900427669026,2.0,1.0,3339.705762340582,5848.927140786599
llama31_8b_base,kind_code,1,all_linear_r16,1,1,16719356.545355275,9920366.133111313,0.39862052310360135,0.23651995976236612,4.0,2.0,4333.800689692202,22884.561972939526
llama31_8b_base,kind_code,1,probe_wide_r64,1,1,14309804.288254546,9920366.133111313,0.34117232056270946,0.23651995976236612,2.0,2.0,4229.195034271252,22884.561972939526
llama31_8b_base,kind_code,8,all_linear_r16,1,1,9554644.61632908,9920366.133111313,0.2278004793245573,0.23651995976236612,2.0,2.0,16511.965523638733,22884.561972939526
llama31_8b_base,kind_code,8,probe_wide_r64,1,1,24324141.52829403,9920366.133111313,0.5799327261041172,0.23651995976236612,4.0,2.0,17401.06769942658,22884.561972939526
llama31_8b_base,panel_math,1,all_linear_r16,1,1,47789515.70142879,11705169.194070663,1.1393908429486463,0.2790729807393709,16.0,2.0,13275.654380890046,26418.579678934217
llama31_8b_base,xbrl_tags,1,all_linear_r16,1,1,60202905.55176853,3343927.5066025206,1.435349119943822,0.07972544447428037,16.0,1.0,1891.6638397725987,2987.01392127959
mistral_7b_base,kind_code,1,all_linear_r16,1,1,15922457.105485778,10091215.033112962,0.3796209598895497,0.24059331496031194,2.0,2.0,7902.52170782414,16849.477793464466
mistral_7b_base,kind_code,1,probe_wide_r64,1,1,16173130.900259545,10091215.033112962,0.3855974888863455,0.24059331496031194,4.0,2.0,7651.884388018167,16849.477793464466
mistral_7b_base,kind_code,8,all_linear_r16,1,1,26267050.987965524,10091215.033112962,0.6262552973739034,0.24059331496031194,4.0,2.0,14204.764314753207,16849.477793464466
mistral_7b_base,kind_code,8,probe_wide_r64,1,1,32802382.80285139,10091215.033112962,0.7820697499001358,0.24059331496031194,16.0,2.0,12845.580285153934,16849.477793464466
mistral_7b_base,kind_dialogue,1,all_linear_r16,1,1,12226227.637811081,6571845.817217606,0.2914959821179171,0.15668501418155684,2.0,1.0,3487.412966239768,5716.839183897646
mistral_7b_base,kind_summary,1,all_linear_r16,1,1,4838671.494577959,4010700.1334942,0.11536291824765108,0.09562254270301343,1.0,1.0,2496.3575102906325,3726.579434751682
mistral_7b_base,panel_math,1,all_linear_r16,1,1,27035716.84472709,12234721.239731248,0.6445817195112011,0.29169848536804316,4.0,2.0,10879.879941763604,28124.010657685045
mistral_7b_base,text_to_sql,1,all_linear_r16,1,1,14534092.085770598,3491088.1466756803,0.34651975836206905,0.08323402754487229,2.0,1.0,4821.47531114407,7409.186432558212
mistral_7b_base,xbrl_tags,1,all_linear_r16,2,2,24890815.337659344,10300761.572937414,0.5934432825484119,0.24558929378837144,4.0,2.0,3422.195339365243,6155.897678227144
mistral_7b_base,xbrl_tags,8,all_linear_r16,1,1,12897667.83701773,10683440.258296486,0.307504363942569,0.2547130646299478,2.0,2.0,5862.841219972149,6074.4515020662
