run_id,model_key,dataset_key,seed,kind,probe_updates,probe_scale,probe_scale_at_edge,cells,budget_retention,budget_bracketed,budget_file_bits,budget_bits_per_value,budget_rank,budget_container_values,budget_ceiling_heldout_bits_saved,shipped_ladder_bits_per_value,shipped_ladder_file_bits,shipped_over_budget
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,11,trained,,,,45,0.9,True,10840540.859788338,0.2584586348483166,2,41943040,16856.782313231583,0.9270848277264088,38884756.012721874,3.5869756422357235
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s22__d79db6a95e,mistral_7b_base,kind_code,22,trained,,,,45,0.9,True,9978181.604477016,0.23789838801567592,2,41943040,16096.64475404461,0.8811149188660363,36956638.28659492,3.7037448055678994
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,mistral_7b_base,kind_code,33,trained,,,,45,0.9,True,10526331.828180272,0.2509673077626293,2,41943040,16652.790245284807,0.86553799501333,36303294.7463639,3.4488077460350963
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,mistral_7b_base,panel_math,11,trained,,,,45,0.9,True,12234721.239731248,0.29169848536804316,2,41943040,28124.010657685045,0.6991132880995976,29322936.607292943,2.396698382638186
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s22__4d40f6fb72,mistral_7b_base,panel_math,22,trained,,,,45,0.9,True,14667817.580040205,0.34970802259541045,2,41943040,29159.186142435676,0.7481725636701398,31380631.76491922,2.13942064616495
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s33__5def8675b7,mistral_7b_base,panel_math,33,trained,,,,45,0.9,True,17562283.49325446,0.4187174676240554,4,41943040,29575.761486363277,0.7629786186308091,32001642.72037677,1.8221800560655088
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,trained,,,,45,0.9,True,3856742.7745825714,0.0955344553014228,1,40370176,7875.853870785242,0.6837292118958291,27602268.620575916,7.156886065227258
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s22__4340ebd7bd,qwen25_7b_base,kind_code,22,trained,,,,45,0.9,True,3810114.4930547187,0.09437943726216895,1,40370176,7886.722978087564,0.6925149777346576,27956951.53378421,7.337562056139165
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s33__c104401224,qwen25_7b_base,kind_code,33,trained,,,,45,0.9,True,3184945.8781692893,0.07889353462737664,1,40370176,7716.949080889768,0.6288345214494028,25386160.305788167,7.970672431137247
qwen25-panel-math__qwen25-7b-base__panel-math__all-linear-r16__s11__b456af4c70,qwen25_7b_base,panel_math,11,trained,,,,45,0.9,True,2997952.5808570525,0.07426156826408319,1,40370176,4506.935346864775,0.3837924895289647,15493770.349762462,5.168117217295383
qwen25-panel-math__qwen25-7b-base__panel-math__all-linear-r16__s22__df87eb47ab,qwen25_7b_base,panel_math,22,trained,,,,45,0.9,True,2994595.9019408934,0.07417842077133609,1,40370176,3960.2347956038648,0.43815847368456584,17688534.69853729,5.906818575111515
qwen25-panel-math__qwen25-7b-base__panel-math__all-linear-r16__s33__8c6fb050a1,qwen25_7b_base,panel_math,33,trained,,,,45,0.9,True,3023725.0543999625,0.07489997205858014,1,40370176,3959.5184824025728,0.4123229024721594,16645548.14163191,5.504980724821591
