arm,unique_rows,seed,codec,effective_bits_per_value,heldout_bits_saved_per_token,retention_bits,task_score,retention_accuracy
arm_e,2000,11,sub0_0625,0.084336,0.06569,0.12295,,
arm_e,2000,11,sub0_125,0.147109,0.139303,0.260729,,
arm_e,2000,11,sub0_1875,0.209807,0.217336,0.40678,,
arm_e,2000,11,sub0_250,0.272528,0.282304,0.528377,,
arm_e,2000,11,sub0_375,0.398044,0.38188,0.71475,,
arm_e,2000,11,sub0_500,0.523419,0.453051,0.847959,0.37604245640636846,0.6936026936026937
arm_e,2000,11,sub0_625,0.648792,0.492749,0.92226,,
arm_e,2000,11,sub0_750,0.77413,0.513758,0.961581,,
arm_e,2000,11,sub0_875,0.899486,0.530567,0.993042,,
arm_e,2000,11,binary,1.022361,0.539587,1.009926,0.5299469294920395,1.0353535353535355
arm_e,2000,11,blend1_25,1.271595,0.547994,1.02566,0.5276724791508719,1.0303030303030305
arm_e,2000,11,blend1_50,1.512333,0.553459,1.03589,0.5291887793783169,1.0336700336700337
arm_e,2000,11,blend1_75,1.752652,0.554433,1.037711,0.5314632297194845,1.0387205387205387
arm_e,2000,11,uniform2,1.989885,0.551768,1.032724,0.5269143290371494,1.0286195286195288
arm_e,2000,22,sub0_0625,0.084336,0.052936,0.099104,,
arm_e,2000,22,sub0_125,0.147109,0.130689,0.244669,,
arm_e,2000,22,sub0_1875,0.209809,0.194291,0.363738,,
arm_e,2000,22,sub0_250,0.272543,0.261735,0.490004,,
arm_e,2000,22,sub0_375,0.398061,0.354056,0.662841,,
arm_e,2000,22,sub0_500,0.523463,0.422588,0.791143,0.244882486732373,0.37169517884914455
arm_e,2000,22,sub0_625,0.648857,0.469913,0.879741,,
arm_e,2000,22,sub0_750,0.774212,0.496227,0.929005,,
arm_e,2000,22,sub0_875,0.899585,0.51667,0.967277,,
arm_e,2000,22,binary,1.022468,0.530399,0.99298,0.5504169825625473,0.9984447900466561
arm_e,2000,22,blend1_25,1.271648,0.542425,1.015494,0.5564821834723275,1.0108864696734057
arm_e,2000,22,blend1_50,1.512211,0.547839,1.02563,0.5769522365428355,1.052877138413686
arm_e,2000,22,blend1_75,1.752714,0.551379,1.032256,0.5716451857467779,1.04199066874028
arm_e,2000,22,uniform2,1.990488,0.549032,1.027863,0.5890826383623957,1.077760497667185
arm_e,2000,33,sub0_0625,0.084336,0.066804,0.126536,,
arm_e,2000,33,sub0_125,0.147109,0.138828,0.26296,,
arm_e,2000,33,sub0_1875,0.209805,0.210711,0.399116,,
arm_e,2000,33,sub0_250,0.272536,0.274346,0.519649,,
arm_e,2000,33,sub0_375,0.398045,0.383952,0.727257,,
