arm,unique_rows,seed,r_star_bits_axis,bracketed_bits_axis,r_star_accuracy_axis,bracketed_accuracy_axis,raw_heldout_bits_saved_per_token,raw_task_exact_match,best_validation_nll
arm_e,2000,11,0.6112,True,0.8248,True,0.534284,0.514026,0.252801
arm_e,2000,22,0.7004,True,0.9441,True,0.534149,0.551175,0.250205
arm_e,2000,33,0.6249,True,0.9692,True,0.527945,0.572403,0.245211
arm_a,4000,11,0.7117,True,0.8799,True,0.559611,0.533738,0.235247
arm_a,4000,22,0.7869,True,0.9772,True,0.557511,0.557998,0.234011
arm_a,4000,33,0.7202,True,0.9036,True,0.552434,0.545868,0.228237
arm_b,8000,11,0.671,True,0.9955,True,0.578104,0.63533,0.222428
arm_b,8000,22,0.7078,True,1.0215,True,0.581899,0.613343,0.217107
arm_b,8000,33,0.747,True,0.9994,True,0.595081,0.604246,0.198676
arm_c,16000,11,0.7733,True,1.2068,True,0.617378,0.680061,0.195205
arm_c,16000,22,0.8158,True,1.3285,True,0.619884,0.680061,0.190777
arm_c,16000,33,0.9083,True,1.36,True,0.625717,0.668688,0.177441
arm_d,32000,11,1.0096,True,1.5338,True,0.646775,0.704321,0.174828
arm_d,32000,22,0.9826,True,1.3358,True,0.64394,0.695224,0.174104
arm_d,32000,33,1.0148,True,1.3246,True,0.649207,0.683093,0.161159
