condition,seed,left,right,adapter_block_bits,base_block_bits,bits_per_mapping_adapter,encoder_chosen
constant,11,0,32,77.628,77.628,2.4259,base
constant,11,32,64,2.788,76.972,0.0871,adapter
constant,11,64,128,5.575,154.412,0.0871,adapter
constant,22,0,32,125.485,125.485,3.9214,base
constant,22,32,64,2.788,126.55,0.0871,adapter
constant,22,64,128,5.575,254.195,0.0871,adapter
constant,33,0,32,123.701,123.701,3.8656,base
constant,33,32,64,2.788,121.859,0.0871,adapter
constant,33,64,128,5.575,243.797,0.0871,adapter
p1,11,0,32,130.353,130.353,4.0735,base
p1,11,32,64,2.788,129.81,0.0871,adapter
p1,11,64,128,5.575,259.855,0.0871,adapter
p1,22,0,32,137.149,137.149,4.2859,base
p1,22,32,64,2.788,136.126,0.0871,adapter
p1,22,64,128,5.575,273.052,0.0871,adapter
p1,33,0,32,140.95,140.95,4.4047,base
p1,33,32,64,2.788,141.174,0.0871,adapter
p1,33,64,128,5.575,282.783,0.0871,adapter
p2,11,0,32,132.139,132.139,4.1293,base
p2,11,32,64,105.655,131.49,3.3017,adapter
p2,11,64,128,137.768,263.267,2.1526,adapter
p2,22,0,32,139.393,139.393,4.356,base
p2,22,32,64,105.765,138.724,3.3052,adapter
p2,22,64,128,176.686,277.551,2.7607,adapter
p2,33,0,32,144.889,144.889,4.5278,base
p2,33,32,64,129.394,145.027,4.0436,adapter
p2,33,64,128,258.788,290.055,4.0436,adapter
p4,11,0,32,132.139,132.139,4.1293,base
p4,11,32,64,248.087,136.646,7.7527,base
p4,11,64,128,301.573,268.232,4.7121,base
p4,22,0,32,139.393,139.393,4.356,base
p4,22,32,64,240.174,135.388,7.5054,base
p4,22,64,128,338.073,274.509,5.2824,base
p4,33,0,32,144.889,144.889,4.5278,base
p4,33,32,64,240.174,137.309,7.5054,base
p4,33,64,128,365.977,282.519,5.7184,base
p8,11,0,32,132.139,132.139,4.1293,base
p8,11,32,64,248.087,136.646,7.7527,base
p8,11,64,128,425.855,283.437,6.654,base
p8,22,0,32,139.393,139.393,4.356,base
p8,22,32,64,240.174,135.388,7.5054,base
p8,22,64,128,466.943,277.039,7.296,base
p8,33,0,32,144.889,144.889,4.5278,base
p8,33,32,64,240.174,137.309,7.5054,base
p8,33,64,128,457.887,273.136,7.1545,base
