codec,family,seeds,bits_per_value,retained_gain_pct,retained_gain_halfspread_pct,relative_rmse,heldout_bits_saved_per_token
mdl:mdl_0.25,mdl_drop,3,0.2117,0.0,0.0,0.84868,0.0
mdl:mdl_0.5,mdl_drop,3,0.4992,0.0,0.0,0.68648,0.0
midtread2,midtread,3,0.6268,61.06,4.69,0.88132,0.50134
mdl:mdl_0.75,mdl_drop,3,0.7429,-0.17,0.25,0.60824,0.0
mdl:mdl_1,mdl_drop,3,0.9777,2.65,4.92,0.53656,0.37571
binary,uniform,3,1.0213,85.65,2.57,0.56254,0.58643
mdl_nodrop:mdl_1.1,mdl_nodrop,3,1.0298,85.9,2.63,0.56145,0.58657
mdl_nodrop:mdl_1.25,mdl_nodrop,3,1.1047,86.43,2.01,0.53231,0.59168
mdl:mdl_1.25,mdl_drop,3,1.2231,83.1,1.71,0.46571,0.58364
mdl:mdl_1.5,mdl_drop,3,1.497,93.48,1.07,0.39812,0.62365
mdl_nodrop:mdl_1.5,mdl_nodrop,3,1.4985,93.36,0.82,0.39791,0.62379
loraquant_2_08,loraquant,3,1.5918,95.42,1.96,nan,0.63501
mdl_nodrop:mdl_1.75,mdl_nodrop,3,1.7271,95.38,1.73,0.35598,0.63212
mdl:mdl_2,mdl_drop,3,1.9472,97.56,1.94,0.31425,0.63723
mdl_nodrop:mdl_2,mdl_nodrop,3,1.9485,97.31,1.63,0.31402,0.6373
uniform2,uniform,3,1.9716,98.62,1.66,0.31362,0.64086
mdl_nodrop:mdl_2.5,mdl_nodrop,3,2.4464,99.53,1.78,0.22538,0.64468
midtread3,midtread,3,2.4932,99.15,2.26,0.32164,0.64417
loraquant_3_09,loraquant,3,2.686,99.12,2.39,nan,0.64432
uniform3,uniform,3,2.8389,99.77,1.61,0.18423,0.64577
mdl_nodrop:mdl_3,mdl_nodrop,3,2.9797,100.34,1.37,0.15856,0.64608
mdl:mdl_3,mdl_drop,3,2.9797,100.34,1.37,0.15856,0.64608
uniform4,uniform,3,3.3927,100.71,1.25,0.11247,0.64649
mdl_nodrop:mdl_4,mdl_nodrop,3,3.7815,100.34,1.12,0.10265,0.64649
uniform8,uniform,3,7.2838,100.05,0.56,0.00756,0.64655
fp16,uniform,3,14.7207,100.04,0.31,0.00021,0.64655
