study,corpus,seeds,base_bits_per_token,bits_saved_per_token,r_star_bits_per_value,r_star_sd
rank_div_400,math,3,0.8919,0.4586,0.4942,0.0069
kind_instruct,instruction,3,2.1784,0.591,0.6375,0.0263
preamble_narrow,math,3,1.057,0.7435,0.6666,0.0095
div_400,math,6,0.891,0.5502,0.6822,0.013
plain_narrow,math,3,0.8919,0.5548,0.6836,0.0129
shouted_narrow,math,3,0.8447,0.5757,0.6869,0.0149
preamble_broad,math,3,1.057,0.7677,0.687,0.0165
kind_summary,summary,3,2.1043,0.5636,0.6948,0.1259
numbered_narrow,math,3,0.8721,0.5773,0.6979,0.0113
div_1200,math,6,0.891,0.5675,0.7125,0.0206
numbered_broad,math,3,0.8721,0.6015,0.7338,0.028
plain_broad,math,3,0.8919,0.5841,0.7356,0.0321
div_3600,math,6,0.891,0.5761,0.7455,0.0162
shouted_broad,math,3,0.8447,0.6032,0.7461,0.0286
symbolic_narrow,math,3,1.3465,1.0622,0.7628,0.0214
budget_4000,math,3,0.8919,0.569,0.7696,0.0519
rank_dup_32k,math,3,0.8919,0.6327,0.7707,0.0227
budget_8000,math,3,0.8919,0.5664,0.778,0.064
budget_1000,math,3,0.8919,0.5988,0.7879,0.0373
symbolic_broad,math,3,1.3465,1.0854,0.7906,0.002
budget_500,math,3,0.8919,0.6097,0.8931,0.05
kind_code,code,3,1.3688,0.1586,0.9037,0.0332
code_long,code,3,1.3688,0.1653,0.9056,0.0235
kind_dialogue,dialogue,3,2.5007,0.2768,0.9361,0.0908
