study,seed,plan,budget,placement,effective_bits_per_value,retained_gain,relative_rmse
arm_a,11,early_starved_05,0.5,early_starved,0.53511,0.75846,0.79341
arm_a,11,early_starved_1,1.0,early_starved,1.04235,0.9559,0.62845
arm_a,11,late_starved_05,0.5,late_starved,0.5174,0.72257,0.80082
arm_a,11,late_starved_1,1.0,late_starved,1.00725,0.91664,0.64259
arm_a,11,middle_starved_05,0.5,middle_starved,0.5174,0.76739,0.80092
arm_a,11,middle_starved_1,1.0,middle_starved,1.00722,0.92092,0.6426
arm_a,11,uniform_05,0.5,uniform,0.52335,0.80245,0.79859
arm_a,11,uniform_1,1.0,uniform,1.0224,0.97935,0.52439
arm_b,11,early_starved_05,0.5,early_starved,0.53511,0.80492,0.80547
arm_b,11,early_starved_1,1.0,early_starved,1.04013,0.98052,0.64685
arm_b,11,late_starved_05,0.5,late_starved,0.51737,0.7287,0.81361
arm_b,11,late_starved_1,1.0,late_starved,1.00516,0.91118,0.66255
arm_b,11,middle_starved_05,0.5,middle_starved,0.51737,0.77661,0.81327
arm_b,11,middle_starved_1,1.0,middle_starved,1.00511,0.92589,0.6618
arm_b,11,uniform_05,0.5,uniform,0.52334,0.82247,0.81082
arm_b,11,uniform_1,1.0,uniform,1.02238,0.98958,0.56107
arm_c,11,early_starved_05,0.5,early_starved,0.53511,0.77914,0.80665
arm_c,11,early_starved_1,1.0,early_starved,1.04004,0.95188,0.6488
arm_c,11,late_starved_05,0.5,late_starved,0.51742,0.68031,0.81428
arm_c,11,late_starved_1,1.0,late_starved,1.00504,0.87628,0.66348
arm_c,11,middle_starved_05,0.5,middle_starved,0.51742,0.73872,0.8139
arm_c,11,middle_starved_1,1.0,middle_starved,1.00499,0.88943,0.66249
arm_c,11,uniform_05,0.5,uniform,0.52336,0.79402,0.81162
arm_c,11,uniform_1,1.0,uniform,1.02243,0.94955,0.56328
arm_d,11,early_starved_05,0.5,early_starved,0.53511,0.72398,0.80714
arm_d,11,early_starved_1,1.0,early_starved,1.04008,0.9044,0.64988
arm_d,11,late_starved_05,0.5,late_starved,0.51736,0.64525,0.81351
arm_d,11,late_starved_1,1.0,late_starved,1.00505,0.82314,0.66208
arm_d,11,middle_starved_05,0.5,middle_starved,0.51736,0.69255,0.81328
arm_d,11,middle_starved_1,1.0,middle_starved,1.00498,0.84635,0.66159
arm_d,11,uniform_05,0.5,uniform,0.52334,0.73412,0.81132
arm_d,11,uniform_1,1.0,uniform,1.02236,0.90234,0.56258
arm_e,11,early_starved_05,0.5,early_starved,0.53511,0.82504,0.79311
arm_e,11,early_starved_1,1.0,early_starved,1.04228,1.00194,0.62769
arm_e,11,late_starved_05,0.5,late_starved,0.51733,0.75918,0.80136
arm_e,11,late_starved_1,1.0,late_starved,1.00714,0.95342,0.64355
arm_e,11,middle_starved_05,0.5,middle_starved,0.51733,0.80317,0.80139
arm_e,11,middle_starved_1,1.0,middle_starved,1.00712,0.94707,0.64335
arm_e,11,uniform_05,0.5,uniform,0.52331,0.84796,0.79875
arm_e,11,uniform_1,1.0,uniform,1.0223,1.00993,0.5251
