family,model,seed,arms,g1_min_training_region_accuracy,g1,g2_max_ambiguous_drift,g2,g3_targeted_gain,g3,g4_best_control_gain,g4
chain,llama31_8b_base,11,10,0.9765625,True,0.00390625,True,0.0439453125,False,0.00390625,False
chain,llama31_8b_base,22,10,0.96875,True,0.0009765625,True,0.0,False,0.00390625,False
chain,llama31_8b_base,33,10,0.9765625,True,0.0,True,0.0146484375,False,0.046875,False
chain,mistral_7b_base,11,10,0.95703125,True,0.00390625,True,-0.162109375,False,0.1435546875,False
chain,mistral_7b_base,22,10,0.953125,True,0.0146484375,True,0.244140625,False,0.2578125,False
chain,mistral_7b_base,33,10,0.94921875,True,0.1015625,False,-0.0966796875,False,0.2041015625,False
chain,qwen25_7b_base,11,10,0.9921875,True,0.501953125,False,0.0517578125,False,0.111328125,False
chain,qwen25_7b_base,22,10,0.9765625,True,0.15625,False,-0.017578125,False,0.359375,False
chain,qwen25_7b_base,33,10,0.98828125,True,0.3779296875,False,0.1083984375,False,0.099609375,False
count,llama31_8b_base,11,10,0.609375,False,0.0,True,0.0048828125,False,0.0166015625,False
count,llama31_8b_base,22,10,0.6953125,False,0.1142578125,False,-0.11328125,False,-0.1015625,False
count,llama31_8b_base,33,10,0.73828125,False,0.0576171875,True,0.0185546875,False,0.0185546875,False
count,mistral_7b_base,11,10,0.98046875,True,0.0,True,0.1435546875,False,0.0048828125,False
count,mistral_7b_base,22,10,0.984375,True,0.001953125,True,0.0029296875,False,0.0439453125,False
count,mistral_7b_base,33,10,0.96875,True,0.0,True,0.001953125,False,0.0087890625,False
count,qwen25_7b_base,11,10,0.5234375,False,0.0322265625,True,0.0107421875,False,0.208984375,False
count,qwen25_7b_base,22,10,0.73828125,False,0.0751953125,True,-0.01171875,False,0.04296875,False
count,qwen25_7b_base,33,10,0.625,False,0.1318359375,False,0.064453125,False,0.1025390625,False
field,llama31_8b_base,11,10,0.98828125,True,0.2041015625,False,0.0107421875,False,0.0458984375,False
field,llama31_8b_base,22,10,0.96875,True,0.158203125,False,0.185546875,False,0.146484375,False
field,llama31_8b_base,33,10,0.9765625,True,0.2197265625,False,0.056640625,False,0.2119140625,False
field,mistral_7b_base,11,10,0.94140625,True,0.1845703125,False,0.0,False,0.099609375,False
field,mistral_7b_base,22,10,0.97265625,True,0.126953125,False,0.03125,False,0.3828125,False
field,mistral_7b_base,33,10,0.98046875,True,0.16796875,False,0.0625,False,0.1015625,False
field,qwen25_7b_base,11,10,0.99609375,True,0.5068359375,False,0.7197265625,True,0.9306640625,False
field,qwen25_7b_base,22,10,0.99609375,True,0.1669921875,False,0.3857421875,True,0.650390625,False
field,qwen25_7b_base,33,10,0.99609375,True,0.19140625,False,0.4658203125,True,0.89453125,False
middle,llama31_8b_base,11,10,1.0,True,0.005859375,True,0.03125,False,0.3193359375,False
middle,llama31_8b_base,22,10,1.0,True,0.013671875,True,0.12109375,False,0.064453125,False
middle,llama31_8b_base,33,10,0.98828125,True,0.0263671875,True,-0.0009765625,False,0.3798828125,False
middle,mistral_7b_base,11,10,1.0,True,0.0771484375,True,0.0595703125,False,0.2216796875,False
middle,mistral_7b_base,22,10,0.9921875,True,0.1943359375,False,0.197265625,False,0.2783203125,False
middle,mistral_7b_base,33,10,1.0,True,0.1650390625,False,0.0107421875,False,0.03125,False
middle,qwen25_7b_base,11,10,1.0,True,0.1328125,False,0.3955078125,True,0.3271484375,False
middle,qwen25_7b_base,22,10,1.0,True,0.0185546875,True,0.1064453125,False,0.2197265625,False
middle,qwen25_7b_base,33,10,1.0,True,0.056640625,True,0.0126953125,False,0.4345703125,False
